,FTMIGMI/LBEATREU inst_corr,FTMIGMI/LBEATREU hist_corr,RU20INTR/STI inst_corr,RU20INTR/STI hist_corr
139,0.8417176511982382,0.7913817297211357,0.9386622836376469,0.3311867381366143
140,0.8417176511982382,0.799321308133824,0.9386622836376469,0.29847389580292355
141,0.8417176511982382,0.7939421676420859,0.9386622836376469,0.07075967237465645
142,0.8417176511982382,0.8223836801031886,0.9386622836376469,0.0463661134940476
143,0.8417176511982382,0.8391523210023847,0.9386622836376469,0.09355127116866505
144,0.8417176511982382,0.8315305267786185,0.9386622836376469,0.062068070432684
145,0.8417176511982382,0.7913501563577833,0.9386622836376469,0.06896347594559125
146,0.8417176511982382,0.7942848231868194,0.9386622836376469,0.0949264108761905
147,0.8417176511982382,0.8212646445751384,0.9386622836376469,0.1690064706060442
148,0.8417176511982382,0.8541778643220094,0.02729824452348393,0.09766452219534895
149,0.8417176511982382,0.8534047474209722,0.015226510187314041,0.06304195718441381
150,0.8417176511982382,0.8186388683061192,0.6830686871020363,0.07232758173558287
151,0.8417176511982382,0.7758945590846544,0.6830686871020363,0.10352530365603213
152,0.6593227002162152,0.8026304663745485,0.6830686871020363,0.1178006153139614
153,0.6088134099950165,0.8767486313878498,0.8430798179225139,0.048326292525997495
154,0.8677891753511419,0.866801463304807,0.589855572628902,0.09410254531992054
155,0.8677891753511419,0.8708757535406048,0.7400005710170795,0.05329154917453364
156,0.8677891753511419,0.8869424876165821,0.6674062935586137,0.2300294871130466
157,0.8677891753511419,0.8851531498524065,0.7897523238074733,0.21106887905085442
158,0.8677891753511419,0.8861587711322928,0.7897523238074733,0.20772414377269982
159,0.7278715538970085,0.9123058176267491,0.8428527581400005,0.27310207710354556
160,0.8533532370417782,0.9187929019997221,0.5289168374637093,0.3726124638740745
161,0.8533532370417782,0.9186908425462958,0.6243378284539169,0.5140263692115927
162,0.8533532370417782,0.9181386471210798,0.26739414681311735,0.44721446648149904
163,0.8533532370417782,0.9128384357977545,-0.2691884388428819,0.2918682070836052
164,0.8533532370417782,0.9170501694170271,0.6645104775525215,0.3253798098455719
165,0.8533532370417782,0.9137739335511448,0.6645104775525215,0.34212796237129334
166,0.8533532370417782,0.9191024209679522,0.7187237758134488,0.372959166613062
167,0.8533532370417782,0.9338088002529394,0.5101584288322627,0.3434285128679279
168,0.8533532370417782,0.9377204646263899,0.3808625645966317,0.42340293274814733
169,0.9621646055663193,0.9383016701964868,0.20797331983149964,0.3468838220823781
170,0.9621646055663193,0.9343415694851727,0.6338061714424847,0.3727626416950148
171,0.9621646055663193,0.9331601796139648,0.8786046015234866,0.4531687189532765
172,0.9621646055663193,0.93740097686185,0.917493932533157,0.43650416751875415
173,0.9621646055663193,0.9604885393796544,0.9384341762254874,0.4377273980917057
174,0.9621646055663193,0.9652582886091897,0.9384341762254874,0.4232664696336128
175,0.9621646055663193,0.951155795594668,0.9384341762254874,0.4681939014574797
176,0.9621646055663193,0.959972545456534,0.896176509430082,0.4816616415525135
177,0.9621646055663193,0.9612862887472364,0.6127679103502515,0.5053230082270215
178,0.9621646055663193,0.949331559160869,0.42276600551168075,0.49691232717654915
179,0.9621646055663193,0.9517864616141752,0.3152288004218915,0.4383632449265635
180,0.9621646055663193,0.9301462630983894,0.6785627280703311,0.48392187515140156
181,0.9621646055663193,0.9183888433863753,0.7726472197491591,0.48457156710411825
182,0.9621646055663193,0.9099008191779792,0.31562144548831844,0.415252409441497
183,0.9621646055663193,0.9113695077323481,0.30521142204722695,0.31484872585375195
184,0.9621646055663193,0.9022216446552301,0.7129493487528596,0.35458634527447364
185,0.8296138412182582,0.9095759549627929,0.7129493487528596,0.45067564480794964
186,0.7788573468585602,0.9188494702700418,0.7129493487528596,0.42785455822423424
187,0.7788573468585602,0.9215560642623853,0.9165297820542335,0.46299457681785233
188,0.7788573468585602,0.9149288528152781,0.9165297820542335,0.44834546727629065
189,0.8988916617880085,0.9267709312072568,0.9165297820542335,0.5073903811373851
190,0.8988916617880085,0.928560343365893,0.9165297820542335,0.45697380969053647
191,0.8988916617880085,0.9295116950894674,0.9165297820542335,0.5390310431040567
192,0.8988916617880085,0.9312515157861536,0.6981710106053595,0.5492268699577626
193,0.8988916617880085,0.9283716857258719,0.43537457834205245,0.4631443026405272
194,0.8988916617880085,0.9345257867772342,0.8550562862884,0.46971550172350507
195,0.8988916617880085,0.9050053381860088,0.7638187652665067,0.42607871721971896
196,0.8988916617880085,0.8915440763973066,0.8043478182849164,0.5181609219561236
