,FNERTR/M1CXIAMA inst_corr,FNERTR/M1CXIAMA hist_corr
164,-0.24124867622353569,-0.43897545439004027
165,-0.4973177169463651,-0.45457491612575046
166,-0.852184912762179,-0.45637340265438225
167,-0.7205492332391176,-0.47840444074379207
168,0.40788597757150785,-0.5082420661803505
169,0.4668391016642612,-0.4186929671089232
170,0.2819802633319969,-0.4024130560207075
171,-0.6081486634871761,-0.4077717401024979
172,-0.7250957988221366,-0.4303235012137674
173,-0.40140961710300604,-0.44367525322778006
174,-0.2126669110601962,-0.4281963801879051
175,-0.442708209986425,-0.4362135781329997
176,-0.7292258226170959,-0.45410442904038173
177,-0.3887247711336938,-0.4865170410309738
178,0.22100110031110307,-0.23685262874459187
179,0.3127484041475508,-0.20238678277346966
180,0.2888465131482844,-0.2056993977918545
181,-0.11295275819617702,-0.2464573580010719
182,-0.520544707689107,-0.25937742557780646
183,-0.21011967941950824,-0.2144634509867278
184,0.0024305155058534705,-0.20670364895395063
185,-0.06994946472644911,-0.1592324880137959
186,-0.3557116389410326,-0.18226819772570152
187,-0.16054873248052562,-0.10602035212423877
188,0.18814337529944272,-0.053410122511600766
189,0.2076175561187473,0.03973720653801328
190,0.3294449496322214,0.05370693270219307
191,0.5325359673182858,0.06803768541717582
192,0.10317417638166748,0.05972201255486469
193,-0.843183584027512,0.06939760702952281
194,-0.843183584027512,0.07727889680411724
195,-0.843183584027512,0.09829610495220499
196,-0.9837354619896064,0.04892273402092134
197,-0.9837354619896064,0.03545414988044068
198,-0.7827908982581525,0.14052835460756857
199,-0.5466126910681468,0.20616077411580389
200,-0.7712233289889013,0.10908771421607302
201,-0.4327077483029114,0.0714092390530088
202,-0.3114080791110241,0.04000990635238796
203,-0.09846407161606631,0.043675803789584265
204,-0.16301950182887665,0.06870233898180679
205,-0.32076740754518385,0.043688667273051145
206,-0.6126522798373768,0.048140458428235375
207,-0.5564893514933866,0.020599911617655866
208,-0.4883778718459694,-0.06752310315158795
209,-0.5243456720398338,-0.06298908467418056
210,-0.06263579547386977,-0.11364709709805876
211,0.042462324203252695,-0.1917600113365922
212,0.47183430791309333,-0.20313437576221152
213,0.390143543875276,-0.2824323830668814
214,0.40794357395207687,-0.10915865180277208
215,0.5099274631938666,0.014634388948427036
216,-0.6262777397262239,0.012179788808431485
217,0.15255727465598895,0.016667567788536328
218,0.6389603381411042,0.1537636146850652
219,0.5002307518102713,0.2804361419380052
220,-0.23010803303687438,0.24683783299527254
221,-0.1033014875702802,0.29657268918928803
222,0.20592306115255574,0.30013465490851915
223,-0.07596225957143014,0.3080433606152542
224,-0.23758898215611213,0.2876777153113073
225,-0.025482117776935365,0.339129256083386
226,-0.18739733987082555,0.32906686309684063
227,-0.1788590506063635,0.35772958846303393
228,-0.027330708749235582,0.40208474737195143
229,-0.5218779827387862,0.4078446296987383
230,-0.7008220970751825,0.45257182064587126
231,-0.10851022341040649,0.40042186349537134
232,0.2247884511980558,0.3426860404755339
233,0.4260202522834512,0.3101998669774037
234,0.5922629376154552,0.4483799362704475
235,0.8520711723393938,0.4302213777755384
236,0.7335981359533889,0.4434117347047861
237,0.31200421775735543,0.42402119736527644
238,0.3638538359142799,0.4494680218954244
239,-0.481539929717318,0.44165967000931367
240,-0.6016166389014515,-0.002082515045238323
241,-0.6385311986623279,-0.04423456981678782
242,-0.6385311986623279,-0.040914311867525546
243,-0.02384821853629866,-0.06889189041084678
244,-0.289713418886394,-0.07174985227857553
245,-0.5043623962382164,-0.09118679533901057
246,-0.022061238679245393,-0.10284781668318364
247,0.31554397497337894,0.009842991787012968
248,0.43166027091138215,0.030031942854640493
249,-0.03504075110392076,0.02604705882134349
250,-0.2109144853778489,0.011437229306325944
251,-0.3564428152477231,-0.039019241447166175
252,-0.32798413714069785,-0.035625930366496326
253,-0.026649305650257308,-0.022855556669793588
254,0.03204803543575366,0.0054696429169570834
255,-0.02208450686050758,0.0040412957294375116
256,-0.3254381599148937,-0.1490743569145078
257,-0.5245492091009211,-0.22409802178286128
258,-0.4675081792752332,-0.3196977950090214
259,0.0031542976053407787,-0.32188352139720977
260,0.10557370681558632,-0.3173594988045522
261,-0.46996739668862125,-0.3724135347080754
262,-0.21353431945619314,-0.16582376404956053
263,0.11065649580167862,-0.10212448375892712
264,0.07232455659179976,-0.07291991043846441
265,0.229636418794377,-0.0363716136095848
266,0.33801850403270967,-0.015387405250432694
267,0.6466022785638424,0.022645918209602378
268,0.15362679223393733,0.22215191728249306
269,-0.612399326018411,-0.1325848699609263
270,-0.8858482719395082,-0.1541537216057452
271,-0.4988905072669876,-0.18166088017695992
272,-0.30361543872444335,-0.27365872767968596
