,FNERTR/FTMIGMI inst_corr,FNERTR/FTMIGMI hist_corr
166,0.09079634395602011,-0.16454424832114917
167,0.19863365340633427,-0.1534475669194887
168,0.3167237418188384,-0.19861228627640515
169,0.474222374130478,-0.07121518025930734
170,0.5240343442781538,-0.03824914306067945
171,-0.03623754694461661,-0.01362138880939789
172,-0.3708899943393526,-0.0658471661180556
173,-0.1988685973469628,-0.05374803746521257
174,0.025822345439807545,-0.055905942270752976
175,-0.356179354930892,-0.05367594855038289
176,-0.5560794073766256,-0.23589942466345187
177,-0.30882508635808115,-0.23834484316783572
178,-0.005237612750739592,-0.006609774752372146
179,-0.13231499282471051,-0.0610052112627425
180,0.13301135564728028,-0.11517647041204629
181,0.13389156945312108,-0.15056078858456018
182,-0.3242290190900152,-0.1611867092504404
183,-0.1332009203656371,-0.11890071877077471
184,-0.15143535691711044,-0.0748076087586244
185,-0.1079711772299288,-0.02146100111903908
186,-0.0007376406863644081,0.0047286164304690135
187,-0.6158561267618042,0.019224970345379417
188,-0.28441359780203795,-0.16578451248302917
189,-0.05926339792864711,-0.07472826947590949
190,-0.08411489068507752,-0.11984908285833533
191,0.10793254714765742,-0.21031449730435606
192,0.050182391452911826,-0.19540487163916892
193,0.0163056499161768,-0.1987126169472618
194,0.1306877194459828,-0.17910047992522682
195,-0.09463989826606391,-0.17527966801750824
196,-0.4231920344358365,-0.20822686335931348
197,-0.6934713635928215,-0.2476648065694657
198,-0.7128816698672927,-0.22466581629925883
199,-0.6384166236919518,-0.2206030149198628
200,-0.6658675600530835,-0.28484436565179344
201,-0.47823735378184173,-0.2807748693686041
202,-0.22975021394771816,-0.3507549257476338
203,-0.07881682676666144,-0.36159965063083993
204,-0.21454987458066582,-0.3600619213131596
205,0.07048594018379091,-0.34277125166605826
206,-0.16525727109183652,-0.31981941467666064
207,-0.17829110154222078,-0.3418485073586606
208,-0.29678374400128193,-0.39598191555561446
209,-0.21560835563715783,-0.3605200856809425
210,0.2465976779659963,-0.24424630206429968
211,0.24519664892205212,-0.29569878929071836
212,0.5002234554397005,-0.26631626148508136
213,0.4273564008804821,-0.24717242912744364
214,0.2650179075812079,-0.15510523744150334
215,0.2762287184942028,-0.20503638909376398
216,0.5349669794368763,-0.20733206580568653
217,-0.04491068663176107,-0.17433068841342156
218,-0.5064672678075688,-0.258309974334919
219,-0.6849574230891351,-0.19881235015054224
220,-0.4752552835930776,-0.16278962754437318
221,-0.20211690894830223,-0.14694316877414554
222,0.08573184796384657,-0.1287282956302748
223,0.21989120873673001,-0.07464251161574922
224,0.14059570240724306,-0.11963168073157161
225,0.19302328523470139,-0.010627984295196388
226,0.11946207725861788,-0.011761086284428146
227,0.11015170323954296,0.026458547242801618
228,0.05036433984587734,-0.011673197313517928
229,0.007158449728470333,-0.014739864176245496
230,-0.29649163083791896,0.1147365150723201
231,-0.16520937358998253,0.08083525755769817
232,0.1745180059968753,0.07488485883582881
233,0.5709092881821097,0.08367053686819438
234,0.4496786679741787,0.20752174378513585
235,0.5917684994140896,0.20861047306565875
236,0.6130677822418185,0.2535762298046928
237,0.18204892497686148,0.26696174252950367
238,0.6569079735507629,0.324049078276735
239,0.16848130826747573,0.3221261558597658
240,-0.4966384068651415,0.2796626418407252
241,-0.6166748843247306,0.2763943956391062
242,-0.4682189223817769,0.2518543151355291
243,0.07811351573170051,0.26248960769260093
244,-0.9423891745291312,0.26052773228258164
245,-0.7796805096366866,0.2277077711846255
246,-0.43856280014012294,0.1768235488925605
247,-0.34912518461718967,0.04340594760155301
248,-0.26399584880474514,0.05389973762466441
249,-0.5256980579941399,-0.018531037719185735
250,-0.3013631044177372,-0.021357118772592415
251,0.354798791913136,0.018776378658187667
252,0.24642794009897728,0.012787866169450235
253,0.23435006396645153,0.046537170459419984
254,-0.04482853458814615,0.02761554475623629
255,-0.2706388898749795,-0.025003382575422027
256,0.2904974860335994,-0.09429647268002667
257,0.4856553240850351,-0.004019464615744619
258,0.20525249859617942,-0.09062283340834071
259,-0.8706528096329482,-0.0917582689328891
260,-0.5633796039136659,-0.15534207581855916
261,-0.49206109526595454,-0.15775401556328394
262,-0.09858413506397282,-0.02678563201723112
263,0.050347061525224765,-0.03261205136943437
264,0.0779516118256116,-0.057711923026894714
265,0.1922213099889816,-0.054000559926663194
266,0.3109612498865383,-0.039980776008436615
267,0.5958813781467824,-0.008899766269305519
268,0.5004648071965021,0.08006102393928673
269,0.2857138335772732,0.2063086582651492
270,0.01738601753911898,0.22103588758749826
271,-0.6999222023504384,0.3175962167236057
272,-0.5895976147787071,0.19024724223187717
273,-0.04021086952796589,0.12594384822698249
274,0.4045774712431036,0.16041182378477092
275,0.4176557573612202,0.12089210841353501
276,0.494426974676847,0.09459331300719853
277,0.25896594233015946,0.2452792058143933
278,0.00329013928405054,0.29576555746216615
279,-0.209742666035929,0.022907350581089232
280,-0.1020326975365336,0.13349089252371493
281,0.1758832985175089,0.13776746671784884
282,0.44236090432853037,0.17763317756445277
283,-0.11311069548132835,0.14369824003856382
284,-0.45648651260795586,0.11744846142955977
