,FNERTR/JPEIGLBL inst_corr,FNERTR/JPEIGLBL hist_corr,LG30TRUU/NAGLAS inst_corr,LG30TRUU/NAGLAS hist_corr
139,0.031781215215953,,-0.11199085647997661,0.24317797874060856
140,0.6050563874705696,,0.17377305315755734,0.33152688559984134
141,0.6050563874705696,,0.6523458144629519,0.33838081227650224
142,0.6050563874705696,0.6270075629729509,0.15373485191371283,0.3604686723103167
143,0.6625356511742257,0.6615747787478644,0.1898295819689394,0.3042823678234083
144,0.5173107233138099,0.5973624966545243,0.6689103593994198,0.27812050271122957
145,0.5996306468681943,0.617645076670446,0.39905881555442807,0.2736749063607068
146,0.5027428135191749,0.5295028424621121,0.46020495432703956,0.20904114449711236
147,0.17927675125465536,0.5031792209542911,0.8701171798692742,0.19317346925817286
148,0.8479423364622372,0.5439532048216021,0.6441803808652492,0.4552015985637537
149,0.9868761136134571,0.5372571759320649,0.27855354374311647,0.4138709223092073
150,0.23985870802374745,0.5260064708100014,0.18148889479025881,0.3515224140037406
151,-0.02485360735015445,0.41278591464473224,0.5252068670044813,0.21496741242398887
152,0.47894473393212617,0.3964841925569185,0.30656792046826714,0.5422351979094343
153,0.7150958310591633,0.39508474437292,0.23768063612224946,0.33684571539815494
154,0.5239219469945995,0.4006911124185069,0.31316616020904414,0.3560232720300205
155,-0.05831377247850242,0.28866867064739715,0.11745327940842663,0.299396388724238
156,0.2508979953635972,0.21876930067935596,0.18671657726493346,0.2520925203905094
157,0.8763408568695701,0.3532091578411554,0.5880653821759458,0.26625614585240875
158,0.8763408568695701,0.3358147606698684,0.5203154827535673,0.2533292274517016
159,0.309598749301216,0.317459248141135,0.5102052573118216,0.2689956266283439
160,0.3477979440108048,0.37392170585798984,0.4452788401074994,0.3266523770291383
161,0.6229999637078633,0.5045229672982392,0.41398038296673895,0.34698013470948724
162,0.35757497673997257,0.46547410309767645,0.4411301173668584,0.3443987927718785
163,0.046878454423811486,0.35869831466688046,0.47271218165355877,0.3472194786410377
164,0.25756738656840134,0.32398296432367135,0.781596161608172,0.3467609060584731
165,0.5479370841353935,0.4050832363285278,0.781596161608172,0.3459203204329814
166,0.5479370841353935,0.30283614672863973,0.6975165152313041,0.3587681184949574
167,0.6358563067791424,0.31519593408926566,0.7036689423342797,0.36918014880269706
168,0.5982531432396514,0.29947468728741217,0.9017256296900066,0.3820880257626632
169,0.6634402927957284,0.3577846723275405,0.6376978676894139,0.3929382607867225
170,0.4672717670415139,0.27876712034482576,0.45185665220021887,0.3780554580509485
171,0.9766407280159516,0.409026409614382,0.3373059167881425,0.36286562823830054
172,0.9766407280159516,0.4125323224974626,0.021143629959989883,0.3415502663106101
173,0.9766407280159516,0.4358795917132249,-0.09732227504557166,0.36932176918899545
174,0.7294765848587224,0.43601989693924803,0.1389126385927793,0.2044583890496023
175,0.6899291049192625,0.44860230978875426,0.41871129392238077,0.25989206997210035
176,0.6899291049192625,0.4742795346269264,0.2775733148710096,0.2486815365840376
177,0.7835690114232866,0.5218962754559915,0.330886406479441,0.2483043887405849
178,0.1308431713475234,0.5303253009205515,0.330886406479441,0.32173053593330503
179,0.5845972872416115,0.5113715099741868,0.7191788348510932,0.35671288667385015
180,0.8762669774099773,0.5115397818147243,0.5744612317173466,0.379277767445876
181,0.1577342180329327,0.5060351767112788,0.31841688310677096,0.3642822376975577
182,-0.3504495931284452,0.44493889899179967,0.10581284339879314,0.22541808868294586
183,-0.07412250377902008,0.35063237956708615,0.015445632178651853,0.21839271939967272
184,0.9178856136790086,0.38775826398364927,0.17384888648787897,0.2268410464253105
185,0.9178856136790086,0.4121525469212546,0.19256877629755584,0.17454600605951165
186,0.7960595553761991,0.42456266557599376,0.473190937347278,0.34663059374580635
187,0.7960595553761991,0.29277129888624404,0.6583395264180723,0.30866053299590096
188,0.7960595553761991,0.3583837894505921,-0.07211779647398281,0.25672539898843333
189,0.7960595553761991,0.3583847995566402,-0.254370124552824,0.18309342983450247
190,0.5360453974701059,0.3256728692417831,-0.09429327067955895,0.18130834480220906
191,0.29465090710542924,0.2917065636583232,0.112744285393963,0.16061203787282344
192,0.1481291287342558,0.40214664811005923,0.112744285393963,0.08957959301202663
193,0.40733362622138336,0.17896813047539908,0.112744285393963,0.12595749410557275
194,0.7037668455148557,0.1628274726671183,0.8750612920336108,0.1686134922077768
195,0.9420566000475099,0.20963828306051657,0.341128254154586,0.18743417707359317
196,0.4085000760752497,0.18757862695965807,0.7051871106036725,0.2163703905697309
197,0.9743501394461825,0.23314665915226523,0.8153160554410988,0.19924169233246117
198,0.9314804142476063,0.20991829039048288,0.6240486336891063,0.23956578957981337
199,0.9314804142476063,0.24197684019971308,0.5713532228009575,0.23406836397211594
200,0.9314804142476063,0.2706804194256829,0.5144593508369081,0.23315779830293615
201,0.4907395662890314,0.26036730077917497,0.5707224831725839,0.22116554330157606
202,0.14413997330796818,0.24159365543149022,0.7091606974160856,0.23735280216019625
203,-0.16788196364165484,0.1328320936928634,0.39704570159290503,0.2350463468599195
204,0.6665615464663992,0.21614822872730827,0.1256087154685869,0.27931368510476934
205,0.6665615464663992,0.30816022720568925,0.0933530451043673,0.2582740948196736
206,0.6665615464663992,0.30593323011651,0.7397192208586031,0.2631091216360674
207,0.6665615464663992,0.3252727154896193,0.6221067564282643,0.31956993795672417
208,0.6665615464663992,0.31527100690801324,0.09908243930758905,-0.10392735726548212
209,0.8313816154675439,0.31991056472627094,0.6861326786500316,-0.027070056972039222
210,0.7970675797242693,0.3357590656388394,0.5939899528132884,0.07730826719978047
211,0.6445316497052328,0.3181404496536862,0.5580885608292719,0.22366477119637282
212,0.583872671845585,0.30728447343157395,0.6090620526383909,0.32443857374455193
213,0.7354137245387958,0.4879353749258431,0.3783928391366404,0.31706144518064544
214,0.6201290049541789,0.5105405042863528,-0.11047453489461642,0.2380103360971087
215,0.7325713404282517,0.5438383517170328,-0.4458169663709044,0.13903073366566762
216,0.5752398201784499,0.5448424233388912,-0.45389597550596794,0.10038932955707426
217,0.44536397329925403,0.5270222560408339,0.40561198079021876,0.11258775650713318
218,0.44536397329925403,0.5282619852767986,0.40561198079021876,0.04663043445040488
219,0.8750019152185243,0.4570372986601741,0.6751353997092266,0.03805621343570162
220,0.7601185938833737,0.45379103950917976,0.44680465296638255,0.07628093062725474
221,0.3864030120556489,0.38013465063993745,0.5485197263943657,-0.012773980420096729
222,0.19283698626497206,0.3787795358313652,0.9956946775835919,0.05618998899108474
223,-0.3313683133373796,0.28140862984723836,0.9956946775835919,0.20550192595568412
224,-0.03525200326439362,0.22536051277909255,0.9512142546594583,0.20290380891777404
225,0.64659473108392,0.44026578007823464,0.9512142546594583,0.22218482157047337
226,0.4375554065452287,0.4105345216668813,0.9512142546594583,0.22105641219429978
227,0.11008270533691088,0.28914508382693316,0.9512142546594583,0.25508668975052723
228,0.42318876674887224,0.29134297273291704,0.9512142546594583,0.248714925845548
229,0.33119891885150027,0.23953442757127383,0.9512142546594583,0.2558784856724858
230,0.5151058233799823,0.3106509049231864,0.9512142546594583,0.3137687486488693
231,0.4583494884580482,0.2656545700100051,0.7877348992999564,0.31093215924783724
232,0.5578465763148877,0.279420211543127,0.34058029294896547,0.27360317242326493
233,0.5561889771514094,0.25528978290790433,0.19713374844838116,0.19301569481464562
234,0.6502418427818233,0.2522138175201798,-0.1358314441422691,0.14026943154467345
235,0.6938107930136888,0.22887168754334847,-0.38093167592229304,0.05334808324640156
236,0.43536456089526976,0.27510140069140776,-0.1940956738854861,0.03549805664830024
237,0.6633800927379311,0.3283063514740931,0.42944154784681254,0.17488658419348507
238,0.6135291173673311,0.33682925720957607,0.42944154784681254,0.2602797310885878
239,0.19914394889674222,0.25783616172363794,0.7615348878373367,0.3361151487156988
240,-0.4150989360909898,0.26390141083713037,0.5464271932336358,0.302896014976426
241,-0.5094475316102588,0.12369284991924584,0.4236942400860812,0.2851102481348888
242,-0.18786741412955507,0.11278703625868812,0.793127649527564,0.21523568734236945
243,0.5368967969610324,0.1428225377406,0.793127649527564,0.21424717088726106
244,0.44934568126204266,0.13369194994664918,0.5916511043883961,0.15790314939089553
245,0.7082811194215294,0.24771552010844913,0.022337183406725244,0.01588167634209788
246,0.7082811194215294,0.24807833861963954,0.22147723632311797,0.0051336236861100806
247,0.01218995272371147,0.22403696457081826,0.36684370498091085,-0.005568823292892822
248,-0.054073059618688836,0.19997570665827624,0.5924965603866013,-0.012229696169582529
