,LGER/MXBR inst_corr,LGER/MXBR hist_corr,LEGATRUU/NAGLAS inst_corr,LEGATRUU/NAGLAS hist_corr
73,-0.11396706092061712,-0.36601543443491696,0.22837179108529893,0.11312374889801032
74,0.6820908003929887,-0.3507800576211569,0.17541191907906664,0.11447399022415788
75,0.5903429056477894,-0.3114484786724372,-0.47971461785124725,0.02077157939997858
76,0.689649252156101,-0.24591438080448494,-0.3671456833227723,-0.0009818705423207945
77,0.2779693824712345,-0.2786880911806027,-0.22508262921353858,0.02256996733681893
78,-0.0113035485569995,-0.2204455323980985,-0.2674027577877453,-0.04455443251813255
79,0.7611281303525782,0.02660364163906827,-0.6540783510509414,-0.17183677361986516
80,0.30588855759292244,0.03284297015445766,-0.2559047120877889,-0.16202513564919463
81,-0.6031182808769885,-0.06847755463064822,-0.11659809078797054,-0.06906150754087592
82,-0.3925496802530915,-0.13829305872168562,-0.5981562645277542,-0.14306899618026547
83,0.9214255588188113,0.013744157863403834,0.009969932827458668,-0.12342973871908614
84,0.5993000722697204,0.02714099941310226,0.02783633258639225,-0.10823882545309384
85,0.35936020957912634,0.028996785657144163,0.4050397386805761,-0.09915473539156199
86,0.2695171756254301,0.024381843489433598,0.9611336773035343,-0.07100758938272787
87,0.2695171756254301,0.13597981761173414,0.03028432792299823,-0.09295699071343617
88,0.047759169126389694,0.16082125477878514,0.03028432792299823,0.019583788253789557
89,0.038327860316533,0.16026784659191226,0.10141600662113164,0.016974892175539998
90,0.25545105142113494,0.159641691353145,-0.7522588231855968,-0.010794505545368118
91,0.8316985876150198,0.16496596673437147,-0.1717110230189057,-0.014301263092685756
92,0.4464435711426258,0.15852099237056794,0.5809804518343562,0.0005816827211451077
93,0.45809128935292176,0.21419436856504678,-0.0011265589809436275,-0.03338747535887392
94,0.6064819692872265,0.33638223961115243,0.7267611806926549,-0.04488727847389626
95,0.8087272503688772,0.36262496517759396,0.00824208763199984,-0.050965597583217705
96,0.789529423264417,0.34566740136659113,-0.8328228825907067,-0.06872138924736386
97,0.33236826845826395,0.35561621748207944,-0.6802717675912437,-0.06193111696872109
98,0.2172914239289552,0.3354031935395336,-0.18158418936108925,-0.04914139605157007
99,0.037857727218676085,0.2973735341360821,-0.8739653852801396,-0.10601532236345369
100,0.5748143991966047,0.3430339427782023,-0.02657315622154005,-0.08597924813467984
101,0.09591977218590983,0.2790746792703957,0.80925498851546,0.030952373898402025
102,-0.42436366402369596,0.2318909798220354,-0.23588278408826482,0.044481927820790426
103,-0.5552950898468896,0.3173558965694315,-0.6710173581646968,0.018311504260844092
104,0.06353794892416749,0.3937249039671904,-0.13607123639931093,0.13623194360249546
105,0.25114851896631146,0.25533233641412395,0.5128585883783343,0.14818317624488783
106,0.8012396087291512,0.221478897330989,-0.5520439869647482,0.11585274516089791
107,-0.06557586352520771,0.24746464556042222,-0.654384886873964,0.09922020235293183
108,-0.925254122644836,0.15593335990079113,-0.3960203363869876,0.0385415970755368
109,-0.009181513972451281,-0.009290372663433919,-0.8678240820369791,-0.013255935988720926
110,-0.009181513972451281,0.04345755178700788,0.2523335790038838,-0.21443950582154805
111,0.16459707660354594,0.042575364168956686,0.8656936016074509,-0.1191939727777726
112,0.2325311490275182,0.05314228478776322,-0.24025475724035314,-0.07291493170878544
113,0.6796980672311351,0.05750155794481579,0.13887972498566806,-0.0298049246980875
114,0.8626752647276388,0.08746048635649747,-0.5054905955206466,-0.1472534167695066
115,-0.20228007708714013,0.05074777537991558,-0.48220181050411065,-0.15622657914838278
116,-0.20228007708714013,-0.1051930923208397,-0.4765632253481851,-0.20964278044902587
117,0.2558020569099822,-0.12356994157114642,0.5674173104285696,-0.1742850627310241
118,0.2558020569099822,0.008176095237693784,0.06404321397888729,-0.1183892488317647
119,0.1490962860302323,-0.009648564710217468,-0.5397377030405623,-0.1153987371109787
