,CAC/SPXT inst_corr,CAC/SPXT hist_corr
173,0.7297532867916487,0.4257474774487779
174,0.7297532867916487,0.4412832707910034
175,0.7297532867916487,0.43344625294835554
176,0.7430578507015649,0.41575110011258365
177,0.2643611574084124,0.43110907155150696
178,0.20881999742988552,0.34921464138451674
179,0.5512701430408529,0.3649678854960886
180,0.5512701430408529,0.36788582254572
181,0.5512701430408529,0.3200770646082298
182,0.536897921298593,0.22904302597624127
183,0.6479608465857493,0.40171754877112514
184,0.6479608465857493,0.47452049360345144
185,0.6479608465857493,0.28566798703162544
186,0.9471382105260251,0.43761928407408685
187,0.9471382105260251,0.3789111140727524
188,0.9471382105260251,0.3909022951801667
189,0.9003989796662151,0.4151596556001835
190,0.9003989796662151,0.3656484440176619
191,0.9354634043067245,0.3801914459297352
192,0.6482752012378208,0.4962863636022736
193,0.6828323370110752,0.5677745131440114
194,0.12765324687097165,0.4494183346529042
195,-0.4404240947765085,0.3321961111851392
196,0.5324468872976963,0.3021079928574642
197,0.849458256245342,0.3548282018574363
198,0.849458256245342,0.35011753525114586
199,0.40390340274780273,0.3044975373045257
200,0.4249887124920885,0.43421477503957506
201,0.5105172031919946,0.430674173257248
202,0.5105172031919946,0.4309121703180599
203,0.8462587525012758,0.4569456151614036
204,0.8462587525012758,0.4541498720453396
205,0.8462587525012758,0.4626493902015139
206,0.8462587525012758,0.46224661551678653
207,0.8462587525012758,0.44786138196417913
208,0.8371701228446562,0.46243467980009845
209,0.8371701228446562,0.4667743647323131
210,0.8371701228446562,0.46185056592242846
211,0.6056353614492066,0.4119887255991447
212,0.740408431110293,0.410366765773715
213,0.46335430270879113,0.40639531125475475
214,0.7128770756837935,0.27384362387978173
215,0.7128770756837935,0.14183718220593822
216,0.7785526481786904,0.32970532097777716
217,0.24728467910525812,0.4154718516328883
218,0.30285016309554114,0.41886565061790954
219,0.30285016309554114,0.40082190265751566
220,0.30285016309554114,0.35323869383839634
221,0.30285016309554114,0.4129694987920488
222,0.30285016309554114,0.4550717701850472
223,0.30285016309554114,0.3603834592865748
224,0.30285016309554114,0.3537026636314638
225,0.30285016309554114,0.24878344771986793
226,0.30285016309554114,0.18175059428532342
227,0.30285016309554114,0.13253008625730703
228,0.30285016309554114,0.12887675129892337
229,0.30285016309554114,0.13522646604954286
230,0.30285016309554114,0.06508602583734523
231,0.30285016309554114,0.0871320097932631
