,FNERTR/SPXT inst_corr,FNERTR/SPXT hist_corr,SPAEREDT/GBIEMDCW inst_corr,SPAEREDT/GBIEMDCW hist_corr
143,-0.220871994744048,0.3655741150443423,0.8499420028728302,0.3624386026787217
144,-0.33793085786885696,0.27273007206417094,0.5382651195162915,0.5363924337030908
145,-0.2588358381119415,0.3111474181839713,0.2276939127962084,0.4709038482609311
146,-0.3116112408027365,0.19529508858569883,0.16694439392188132,0.5114911907510039
147,0.032185262884474396,0.21277738266342017,0.9639858939759474,0.46679417373160786
148,0.42560866234569567,0.21018047930627984,0.6238351938562035,0.508315206689499
149,0.413946027655178,0.25210728999904686,0.5681498873581025,0.46871523488239014
150,0.6111624837310036,0.2611623532517913,0.9767025052685179,0.4358807952930909
151,0.6111624837310036,0.24833675694380344,0.9767025052685179,0.47837161627054614
152,0.8529540401808939,0.1451815991219471,0.8702261196621243,0.4606337032594912
153,0.0064776216211321425,0.10967061120042637,0.8702261196621243,0.4869352380395284
154,0.11029721074346338,0.06213275516462292,0.8702261196621243,0.5143015820490319
155,0.03387378900192711,0.22138262126450878,0.8453037605744802,0.5880340206602227
156,-0.3149289293860631,0.1557480968405399,0.6634781473453082,0.6017795713076531
157,-0.18302984289112875,0.15080784582981904,0.6634781473453082,0.6252459299018988
158,0.6004670950508024,0.092644179335398,0.7693268555145576,0.6109964259182967
159,0.26659254773399566,0.3805932907309327,0.4980053261769062,0.6373121591503725
160,0.24320464183496207,0.12923105314593575,0.363629127395062,0.6827188882970988
161,0.5787388905099403,0.23163879934156265,0.341957112484142,0.6438266197549056
162,0.5878932569037696,0.22368023017427002,0.2821328865574283,0.6494834626388212
163,0.7840834978453579,0.32018394714641346,0.2555556930244382,0.6413028504415057
164,0.9252635467648831,0.3555180913484142,0.13288353913435583,0.36163382046282183
165,0.35217792992591734,0.3639447952452618,0.4352498947631937,0.3787617258636313
166,0.14360049733828684,0.4121988555990992,0.820162063002299,0.35719189771648013
167,0.07420978698262184,0.3890083060316565,0.820162063002299,0.40227911973735736
168,-0.3517973969178784,0.41447188027856136,0.9076756593020024,0.4690917191589037
169,-0.06359873219145278,0.37176905127668547,0.728375275441462,0.5340027375372673
170,0.39470536288049723,0.3761263738480859,0.7290106267618096,0.5390786375132371
171,0.35201517182137637,0.3593265603620018,0.8573066934966129,0.5367869739491801
172,0.8152556474531998,0.34319918180957454,0.8573066934966129,0.5380303343289363
173,0.649026634674665,0.39363808039535697,0.436901492395818,0.5292186258561482
174,0.614577234954563,0.41781123238718004,0.25525475768744327,0.5209374637411084
175,0.36677823331722825,0.4332152640446509,0.48118064697990975,0.4828386788533349
176,-0.34794203422983183,0.43129804658488907,0.5303131280892219,0.4766600790325108
177,-0.6413853380863602,0.41996305602258466,0.7839738342412143,0.46246247052103895
178,-0.6693520306466607,0.419872122417878,0.7839738342412143,0.4587032387724643
179,-0.08157683479148559,0.4079917794873162,0.5698268547490914,0.438582164680369
180,-0.17247901678902652,0.3834712304038617,0.015733336541370362,0.4271711622436661
181,0.00936737166237855,0.30470637389705885,0.743612390534715,0.40582650360934885
182,-0.06944976019823458,0.3988715999014482,0.743612390534715,0.3899076911683114
183,-0.5615569378476064,0.24938436990670454,0.9915172507075115,0.41540327957269857
184,-0.7115554098395376,0.2254712383240022,0.9915172507075115,0.4132025366824351
185,-0.30494797422715847,-0.06904909082468862,0.9915172507075115,0.31228755445585965
186,-0.29837431690961375,-0.07334131783449116,0.9915172507075115,0.5527585661052036
187,-0.05922093790160128,-0.07093552376228045,0.9915172507075115,0.5536035687038466
188,0.003092463871331904,-0.0665050635245502,0.92746200724081,0.5389288227547361
189,-0.11190784345128481,-0.022476195992533487,0.766297942236884,0.5805640367659599
190,-0.027693249793108447,0.01930860937264164,0.763554882075435,0.5501102153409221
191,-0.6796902066956586,0.023344357897859786,0.763554882075435,0.5091980098116381
192,-0.5971312920805788,-0.3392295237497208,0.6869929210238223,0.4634386844837421
193,-0.39388350469168615,-0.252861742909079,0.6869929210238223,0.4822598955906338
194,-0.4838758620845058,-0.28875551154436596,0.6869929210238223,0.48945668755366334
195,-0.5457847294115885,-0.45315046360749933,0.7650428113209161,0.5597731716825421
196,-0.4103841179469453,-0.4916036741120118,0.5064742166440348,0.6314592862468663
197,0.42444226356391723,-0.48987646634599286,0.667933258143982,0.6251157296894876
198,-0.12305974297307697,-0.4236812232317517,0.9690494390990787,0.6178825042800348
199,-0.4914884566560448,-0.44292887345657184,0.9690494390990787,0.6084761789292918
200,0.1759132295261472,-0.39630570546586696,0.9690494390990787,0.596541454761732
201,-0.24803193284268996,-0.4012290356649985,0.9579635930114521,0.6765238989029706
202,-0.6389341069627621,-0.403000830001589,0.5324506148839934,0.7117206841430823
203,-0.9101157107965059,-0.41934433076492633,0.26430761643043055,0.6496953831020432
204,-0.6574536315964166,-0.5116264203705779,0.6380064022384785,0.6498863996226054
205,-0.6670551785634926,-0.46682826149718687,0.7594104506801987,0.6423340550484142
206,-0.6952821741250187,-0.49515639905772163,-0.1321809658990096,0.6361069579720123
207,-0.5754990829130396,-0.494329753933326,-0.3442654764462417,0.6349035660071898
208,-0.01928259548863645,-0.5012653826147717,-0.1654091898807175,0.5142747253939903
