,CAC/RU20INTR inst_corr,CAC/RU20INTR hist_corr
168,0.597173999308499,0.6962286568292698
169,0.597173999308499,0.7255038040269948
170,0.597173999308499,0.7308421827095833
171,0.597173999308499,0.7576933708861202
172,0.9588437881856224,0.7655303822216522
173,0.530275454179165,0.7664881819273
174,0.8625343511362571,0.741467491330294
175,0.8927580968007002,0.7501100327193454
176,0.6350663407512527,0.719269432505532
177,0.05506339512668139,0.6846152956932577
178,0.21073020214032692,0.5841134397749241
179,0.7128759512686935,0.5557813489921037
180,0.7128759512686935,0.47517492835821656
181,0.9844318366212161,0.4235657780325751
182,0.4744126613508427,0.3862334505657895
183,0.33150554309341457,0.395570131442906
184,0.5875375859509048,0.34202273112215803
185,0.879009197941803,0.25075628737164984
186,0.879009197941803,0.29736582247373794
187,0.879009197941803,0.2679912690225897
188,0.8120355299848536,0.3890739316780418
189,0.6238698109815244,0.38610599111035965
190,0.6238698109815244,0.38804106202376937
191,0.17016245166163932,0.37736406292563834
192,0.2928465290328982,0.2629671568659482
193,0.6612841135808307,0.29526836026512326
194,0.6612841135808307,0.28871101089614204
195,0.9274570695586636,0.25917822617458763
196,0.9354106492921713,0.3585109805691116
197,0.5978964786967073,0.34796985214980947
198,0.5615111661666993,0.3290744394067111
199,0.5663806585498773,0.3509945303194593
200,0.5663806585498773,0.3839058235997507
201,0.5663806585498773,0.39704522091327604
202,0.5663806585498773,0.393471076894385
203,0.5663806585498773,0.4165753835025863
204,0.9882227340479088,0.43796637026358376
205,0.8922822334728636,0.46811728672268393
206,0.8922822334728636,0.4763906501881611
207,0.6338079551804167,0.4549730155012091
208,0.584932622383539,0.42637753488022134
209,0.584932622383539,0.4535074657845672
210,0.584932622383539,0.4468323960843505
211,0.584932622383539,0.5056001177954169
212,0.584932622383539,0.5258056812218793
213,0.584932622383539,0.5289771792701911
214,0.8484952177608612,0.571276319392606
215,0.9871360039022339,0.59677107886877
216,0.9871360039022339,0.5825901545861131
217,0.9871360039022339,0.5800192599515112
218,0.9871360039022339,0.6112371407659785
219,0.9871360039022339,0.6141001607566167
220,0.9871360039022339,0.6153102728606009
221,0.9871360039022339,0.5565398370325563
222,0.7384113555922212,0.5398902701152564
223,0.3481772010626936,0.42033910674646463
224,0.22752104013618016,0.4123567490274919
225,0.11490494779077223,0.2844257468741497
226,0.3235067153019905,0.26834845237628224
227,0.6817864079042728,0.22862746831020667
228,0.8636163258342715,0.19110398620100205
229,0.8885083181328776,0.313467037835909
230,0.9295085222141823,0.3123805661814462
231,0.9295085222141823,0.3094055668709578
232,0.8322164048579141,0.21993168168162086
233,0.8089051389028232,0.28731228184866253
234,0.8089051389028232,0.2614767692428867
235,0.8089051389028232,0.25824258098930797
236,0.8420492657744174,0.3654450760044094
237,0.8137087171716927,0.33795812645376927
238,0.8137087171716927,0.33153261341121476
239,0.8137087171716927,0.3277370696620744
240,0.8137087171716927,0.3268817799364815
241,0.8359579424233582,0.29223081147781604
242,0.9065409588416502,0.2718033526013217
243,0.9065409588416502,0.28340227673808194
244,0.8471902223779272,0.2838807950033033
245,0.5137699913288125,0.33336398872498424
246,0.5971787660536024,0.3480867406703771
247,0.5598481357966825,0.4973565147056366
248,0.6609009246178449,0.5389694280755123
249,0.6382935073836007,0.501527125045517
250,0.8990613932494687,0.48197716157505066
251,0.8925722914054597,0.5243416512177534
252,0.8277806057726832,0.5436484899633367
253,0.8821106594710992,0.5372230654367418
254,0.9654563538319069,0.5426404728351073
255,0.7282933371550032,0.48565038600290794
256,0.8472696586504818,0.5328146162358433
257,0.8650119785557306,0.5467147862550381
258,0.8650119785557306,0.5269229210445824
259,0.8650119785557306,0.5371463137896342
260,0.8650119785557306,0.5622057122681102
261,0.9925264126242797,0.568948855186325
262,0.9672268476187889,0.5729601110579076
263,0.9672268476187889,0.5999662363744709
264,0.9455806795830471,0.6373790662933569
265,0.8119762392388573,0.6094631993508373
266,0.8119762392388573,0.6073691769242404
267,0.8119762392388573,0.6713823494519663
268,0.8119762392388573,0.6859627163717149
269,0.8119762392388573,0.6487399796218876
270,0.8119762392388573,0.6270299238159225
271,0.8119762392388573,0.6493774361421708
272,0.8119762392388573,0.654434020717654
273,0.8119762392388573,0.6375708490534905
274,0.8119762392388573,0.6150787022176927
275,0.8119762392388573,0.6169730362430995
276,0.8119762392388573,0.6635775656066437
277,0.8119762392388573,0.6468498257343611
278,0.8119762392388573,0.6609306361374805
279,0.8119762392388573,0.6268269287065711
280,0.8119762392388573,0.6411078281435248
281,0.8119762392388573,0.6423614607021501
282,0.8119762392388573,0.614916374029781
283,0.8119762392388573,0.6385379230569344
284,0.8119762392388573,0.6621557374857755
285,0.9570789210602406,0.6608194151350202
286,0.63970824586751,0.7542144328474354
287,0.6528573589444003,0.7692364844665701
288,0.6971487545832931,0.7440383303382128
289,0.8245804684786252,0.8115253126795807
290,0.8245804684786252,0.8197451695156995
291,0.8245804684786252,0.826231086716888
292,0.8245804684786252,0.8305899608237103
293,0.8816942222287525,0.8590600328678454
294,0.8816942222287525,0.860846344547557
295,0.8816942222287525,0.8557969554573085
296,0.9892627045696609,0.8531250409809694
297,0.9892627045696609,0.8757526269279247
298,0.9892627045696609,0.8757820406417864
299,0.9892627045696609,0.8768798163662634
300,0.3930854004765528,0.8649108581706249
301,0.0448080740096002,0.7627270968764148
302,0.4938066537984576,0.7424466198259554
303,0.5997520010307752,0.759575454885621
304,0.7977721230307544,0.7592662669548074
305,0.7977721230307544,0.7394976619367681
306,0.7977721230307544,0.7420051075545129
307,0.7977721230307544,0.7433632010792174
308,0.7977721230307544,0.6921835730070007
309,0.7303330397681839,0.7053760450696406
310,0.4133506052982887,0.6912634959390214
311,0.4133506052982887,0.5769384655684818
312,0.4133506052982887,0.5564066196856237
313,0.4133506052982887,0.5652439346486434
314,0.9713014940077412,0.5635193125254816
315,0.8091271005759639,0.5480072980256055
316,0.93190415040642,0.5710123643845302
317,0.93190415040642,0.5486462047474667
318,0.93190415040642,0.5460933093234396
319,0.93190415040642,0.5074497034218808
320,0.93190415040642,0.5208138582812248
321,0.93190415040642,0.5561308358626239
322,0.93190415040642,0.571802522194474
323,0.93190415040642,0.6922875376762757
324,0.93190415040642,0.7113706835301591
325,0.7290174742874295,0.7233540454655368
326,0.5507408513303027,0.6685637053868544
327,0.5507408513303027,0.6856078635214262
328,0.7473528569376167,0.6924023354974994
329,0.7301971272540373,0.7002611148404765
330,0.6336007992521387,0.7133362786899548
331,0.5420115855925671,0.6162741265320488
332,0.5757685989082819,0.6283031322809267
333,0.9092026045652515,0.6891932018123119
334,0.9092026045652515,0.7036797935152977
335,0.935557740102117,0.6974278481235517
336,0.8242432630738303,0.6876738489802463
337,0.6821202488840106,0.6691408080459768
338,0.7662907992289083,0.6791739672137366
339,0.7662907992289083,0.6852956543392934
340,0.916832754907504,0.6780775419551345
341,0.8660876640358265,0.68893409214549
342,0.8660876640358265,0.6874388133463553
343,0.8660876640358265,0.6792804530808594
344,0.6310422564906428,0.727926348550661
345,0.277350036037762,0.6920257177285726
346,0.733006128889241,0.7017199079217281
347,0.69020894614627,0.6712509342674657
348,0.7929681043128284,0.6673406683285104
349,0.9814348160303777,0.6765426157800429
350,0.9814348160303777,0.6642820776258196
351,0.8813689425557281,0.6458941898902413
352,0.7149208582967828,0.6582136042921114
353,0.4081285898481267,0.6999005212456316
354,-0.16282809319766,0.6713092873749285
355,0.1667482237560147,0.5888901365597999
356,0.44321750132412574,0.581925160500577
357,0.3895699894433268,0.5374932413648439
358,0.7998368301849773,0.5718004590438907
359,0.9534894349523281,0.6034181945882546
360,0.22562074199713752,0.5177113663131954
361,0.356885988716157,0.4921063466723963
362,0.356885988716157,0.5061707161851307
363,0.356885988716157,0.45081493213436424
364,0.356885988716157,0.44167496381767624
