,FNERTR/HSI inst_corr,FNERTR/HSI hist_corr
175,-0.828317251589904,-0.3351134026266947
176,-0.61405677188897,-0.3496451038863073
177,-0.12729435902317107,-0.29991347719557415
178,0.11308686008090553,-0.32244612065261014
179,0.41576725534578884,-0.26237089328356816
180,0.43625241363661044,-0.2728521815616382
181,-0.07359705360817936,-0.26561173811608424
182,-0.40819236326227226,-0.31082877610090504
183,0.11267161672246123,-0.2645748954686511
184,0.2220365607855671,-0.3064291456765342
185,-0.29124372597703224,-0.28485763257754787
186,-0.5863860553208323,-0.3553121326816509
187,-0.23487991119308055,-0.3620926578876915
188,0.22157302415401905,-0.2926700511511674
189,-0.0012301363243752367,-0.3191902372584386
190,0.22173174104787896,-0.030767762380052747
191,0.05379458340711763,-0.05364881456595993
192,-0.5691127750237782,-0.052981120863567724
193,-0.1825567257252475,-0.0957093070828502
194,-0.36361403513800833,-0.09795603722201902
195,-0.3665373113970901,-0.03871460406802576
196,-0.10642506417811995,0.016486722854826007
197,-0.5970371526827039,0.1048576868973213
198,-0.2854925657247877,-0.0278640125298363
199,-0.0554312800721941,0.04066778211543573
200,-0.0789024978036458,-0.003210662303478615
201,0.255576143492383,-0.020399022136869647
202,0.042390479191040616,-0.021175043077508688
203,-0.2937933426571365,-0.030863666141888717
204,-0.5227356049172628,-0.022074563165164787
205,-0.9597548700538849,-0.07632659090301777
206,-0.9597548700538849,-0.15938325137002407
207,-0.5963622852657938,-0.23024624052998124
208,-0.4770010360202298,-0.19946009810814372
209,0.017974237810037152,-0.15453887065719962
210,0.4679860231368761,-0.2273745105069329
211,0.15790655466014683,-0.17861750737564888
212,0.07956915739071675,-0.20982224164229937
213,-0.7205837820137464,-0.22900953936975216
214,-0.8792379416412928,-0.24425350358203637
215,-0.6338876260900475,-0.35436146846593025
216,-0.4709787189359306,-0.34058523844496796
217,0.2554091205374935,-0.32219910316653677
218,0.08059715444516255,-0.31395624774671776
219,-0.2548338805368612,-0.3107070234670791
220,-0.3953193885951333,-0.3054245047535218
221,-0.25874117603351754,-0.3088379667183759
222,-0.09270169026883525,-0.3045570423261879
223,-0.27065055133457894,-0.3644306355759418
224,-0.4462571270096127,-0.4295560114658557
225,-0.27145022364866633,-0.3638776869468912
226,-0.48495692344774866,-0.40428144334981464
227,-0.436359048458512,-0.3443039579334452
228,-0.21172560375552593,-0.3158437726654538
229,-0.15916078623666727,-0.3084177148245004
230,-0.23821867223762844,-0.33768936553364515
231,0.017864547479098877,-0.2976019885836559
232,0.07628827695540898,-0.29604020922219537
233,0.1319789666424475,-0.2711365754755915
234,0.0015516855181329624,-0.26947337598169185
235,-0.8743151028312268,-0.23350255008455342
236,-0.3784978642124385,-0.290984417246451
237,0.11774595731744424,-0.15140400762416428
238,0.10009171817764642,-0.16804105584499987
239,0.10733566795559331,-0.10721473179525448
240,0.573436723487001,-0.08369965242107195
241,0.7963585977291623,0.06548042703414401
242,0.3042294638096601,0.13419458099107065
243,0.6187190336023128,0.1655306045714824
244,0.1737564016363753,0.17209447648746742
245,-0.45731478727037655,0.07690372141567632
246,-0.7292663942281242,0.1511220572139176
247,-0.7292663942281242,0.08587601690108727
248,-0.10582160723395345,0.1289450823179053
249,-0.10582160723395345,0.12477878222246302
250,-0.7241747528101973,0.051537707623308136
251,-0.4889247597168649,-0.022561329049291035
252,-0.19441702674342973,0.02422803583175988
253,-0.47407917623575324,-0.09733368980156461
254,-0.5058656765818779,-0.09858773731702229
255,0.41645526278698713,-0.07469153846778463
256,0.16951083410638604,-0.08463879291415802
257,0.18276153318335217,-0.04793415935654008
258,-0.19569695529435924,-0.032058508519702725
259,-0.4049609114206926,-0.10329926467811971
260,0.1676844517603394,-0.08998060427372744
261,0.45521781980538767,-0.018249781218815608
262,0.015344959634338858,-0.07676486794522976
263,-0.5448024725289295,-0.18718087539213574
264,-0.617016443303725,-0.18898561150904145
265,-0.5240129615519598,-0.2573888175229905
266,-0.18372265038651536,-0.24110892210031726
267,-0.14803104577926618,-0.17446772773401564
268,0.04248465192505795,-0.08047991714550665
269,0.16013631932975786,-0.09118869876841158
270,0.09341048177223327,-0.0904828191978165
271,-0.4527524680006829,-0.1077673186706987
272,-0.7199443867228477,-0.1190961017063574
273,-0.7199443867228477,-0.08426109563127379
274,-0.7199443867228477,-0.08659706035883845
275,-0.8277422590246332,-0.029386896191680147
276,-0.048541418068724786,-0.04199256284379639
277,0.36285821986699124,-0.06700500232587027
278,0.4691425039966397,-0.04547612761106318
279,0.6369563254505877,-0.08036242719280279
280,0.14537557389045638,-0.10725977979491857
281,-0.16387545779420246,0.05720530218068494
282,-0.10139169659571962,0.012256460074815269
283,0.15589239016637632,-0.08928471188513977
284,0.2975879190240456,0.029956891987126193
285,0.4334490984053345,0.023965744782476945
286,-0.15699893346239127,0.06094955309959446
287,-0.5301973621910593,0.018726031253545848
288,-0.33357299108534666,0.014995563192898825
289,0.009467059598496814,0.0428715480173296
290,0.22156820833802673,0.004650916717166
291,0.4394529026174368,0.06175858981548463
292,0.11488885873741306,0.04130096920411375
293,-0.3346540741593964,0.04024257695972788
294,-0.13078306668464051,0.14214692080048327
295,0.33041349049403157,0.15076581278124823
296,0.37173109668282706,0.21996187229870826
297,0.028477887224685475,0.31680567554674127
298,-0.372387786983818,0.2907021643254284
299,-0.3920247605485256,0.2653822587071845
300,-0.6355458677952963,0.2470826926430315
301,-0.7171618586312576,-0.0031601537379627094
302,-0.7171618586312576,-0.006381835878570801
303,-0.7171618586312576,-0.060304807277638
304,-0.2775579272015762,-0.04138147548125235
305,-0.0795354030866099,-0.12935843254141433
306,0.3965867886778259,-0.15787415382044354
307,0.22429688503326223,-0.09236412454592317
308,-0.2889936853048213,-0.1914326318958377
309,-0.7261998212111985,-0.15650822236188608
310,-0.5026169131700473,-0.19600255290296614
311,-0.16818045144649824,-0.21871446239299705
312,-0.37758464827999644,-0.1963450049787963
313,-0.5613455887000116,-0.2932683088575945
314,-0.5159213653486941,-0.3194459704305589
315,-0.8823826364044829,-0.355689410248274
316,-0.814273927491148,-0.3589283433127026
317,-0.6256199961171628,-0.39436974048654283
318,-0.0005338331698149699,-0.5093094457311582
319,0.801220526176123,-0.3653034997967749
320,0.7497809117761692,-0.14209784859365795
321,0.43983232260601557,-0.12252765255769892
322,0.21274774343416636,-0.12342401071713606
323,0.36205670896141945,0.05695480617962932
324,0.454661540055322,0.14017673074793455
325,0.3691613161436253,0.17992837399507042
326,0.4240589638974379,0.27249613158867897
327,0.16663301483120455,0.2643025950898391
328,0.20416683975614336,0.23466814384436502
329,0.42902429640042167,0.2591354800162969
330,-0.43002118187574256,0.3452352862318944
331,0.22741297998208176,0.23893458523126296
332,0.637129249909718,0.3380243817785637
333,0.11792851127297581,0.2999145947345225
334,0.10272913542452647,0.2967781932648412
335,-0.164518026880375,0.32201708999636947
336,0.4635462064834256,0.36412933305678685
337,0.1613792493324038,0.47558552474945526
338,-0.250873041224254,0.34565820285157284
339,-0.3683657124794416,0.3864114109575076
340,-0.37756654211139007,0.36324507898441727
341,-0.6788477786867724,0.24061045314521726
342,-0.6788477786867724,0.19088493851144775
343,0.05044819650315971,0.18875745372950534
344,-0.025978712696591005,0.2024890534610935
345,-0.4952327909720477,0.176607899387048
346,-0.3846604888625981,0.07447255529619683
347,-0.48434760626570245,0.05186572349076795
348,-0.5743746587219704,-0.08090621351270165
349,-0.4850005467198744,-0.10761075151480488
350,-0.7113384077434589,-0.15796342610958966
351,-0.7790025187541527,-0.22991098187943967
352,-0.9187746779768361,-0.23103497767963033
353,-0.7317662167547627,-0.289482009807382
354,0.3481729909180761,-0.2876367433576595
355,0.535335447180938,-0.24309087070849492
356,-0.0413535174281283,-0.25783751333380683
357,-0.6408365581937825,-0.2711956998807298
358,-0.33750492912176516,-0.2721504154405225
359,0.2963304316545671,-0.35636432264500323
360,-0.09248845385697083,-0.30878308259090687
361,-0.22941032222830546,-0.3074759490383307
362,0.05390160804474022,-0.23998738737476072
363,-0.08727667496929593,-0.1715819088042497
364,-0.12472032141917945,-0.18079153754320498
