,XNBI/VIX inst_corr,XNBI/VIX hist_corr
167,-0.44309578680494643,-0.3423569850695932
168,-0.44309578680494643,-0.3421501008540905
169,-0.9405101331729246,-0.33325639903412
170,-0.6535233417884182,-0.33295101534190835
171,-0.5541620521224571,-0.3390877427564894
172,-0.8129421246305205,-0.34430513269812546
173,-0.7217735510400116,-0.34234061658622145
174,-0.3488642479663129,-0.33849071069118564
175,-0.15792710524507456,-0.3593606688762827
176,0.18497533605126715,-0.28415182650149773
177,-0.26197214039235295,-0.2921408874592834
178,-0.26197214039235295,-0.29570768877335496
179,-0.6250313476241777,-0.26358429705054176
180,-0.7051740376171484,-0.13841631058624973
181,-0.7051740376171484,-0.38469649370941145
182,-0.8943587407034684,-0.3634039934248257
183,-0.9004223755073629,-0.22280190217733561
184,-0.9004223755073629,-0.3361022676563735
185,-0.8163183343848398,-0.2832130248134461
186,-0.5763783532747118,-0.2930621376808179
187,-0.5763783532747118,-0.3082681889083494
188,-0.5763783532747118,-0.31909873207605954
189,-0.382030006111099,-0.347320426790882
190,-0.8386824882862888,-0.4827155047223557
191,-0.8386824882862888,-0.4893294044512822
192,-0.07821809014713195,-0.4172591469294827
193,0.4016641683363107,-0.3370874050031978
194,-0.3673100880070072,-0.31789815435919117
195,-0.5927769848957535,-0.357065793460139
196,-0.35993233963401866,-0.3221139893099883
197,-0.049265622954528104,-0.2363973726269833
198,-0.20936541027314565,-0.4235722124904219
199,-0.5464656397618771,-0.40217649897747604
200,-0.5464656397618771,-0.4120251382648593
201,-0.5464656397618771,-0.4074729183212034
202,-0.5464656397618771,-0.40190178217821443
203,-0.9300552743807015,-0.38743220542410645
204,-0.9300552743807015,-0.4116687799857222
205,-0.9300552743807015,-0.4096511490308831
206,-0.5335859686160053,-0.3912581112515034
207,-0.9458185528428357,-0.406245571711386
208,-0.9458185528428357,-0.39443670566807004
209,-0.9458185528428357,-0.31151738347655816
210,-0.9458185528428357,-0.3025440186574417
211,-0.9458185528428357,-0.3103040211859011
212,-0.5460200740178932,-0.07820743180346533
213,-0.6980646528111729,-0.01884300175712114
214,-0.6980646528111729,-0.17159948632973676
