,LEGATRUU/FTMIGMI inst_corr,LEGATRUU/FTMIGMI hist_corr
162,0.29597288724186765,0.3887769956562189
163,0.12362097924966103,0.4015061345988952
164,-0.4561726778207749,0.3379935725247495
165,-0.26044660235469674,0.28433506501802047
166,0.6369372464969486,0.29348995000421396
167,0.6027303514196625,0.2825233760668031
168,0.23887870983044404,0.34370850154480853
169,-0.1560060213950802,0.3166634283735662
170,-0.14668878979172667,0.353696056028815
171,-0.4187857993992168,0.2673960155460902
172,-0.10431097542658925,0.26558440772375075
173,0.6780080542193186,0.21179119334754637
174,0.4172315536214841,0.23464267717702733
175,-0.20409813636408064,0.24625589581107224
176,-0.14019368024472392,0.18184398839339594
177,0.19469111304361636,0.1629611544934644
178,0.7584995900550745,0.162188189327359
179,0.7584995900550745,0.14952157999352045
180,0.7313670194861477,0.11365367508687119
181,0.02865667234054652,0.10487724068143964
182,-0.37500374527091446,-0.07343981882178965
183,-0.636220552010656,-0.10602498528019189
184,-0.39794041046740003,-0.10410699408177176
185,-0.3607541865055392,-0.2782993989591415
186,-0.6448995040473846,-0.25677133647815387
187,-0.2918983648603817,-0.2197558222129067
188,0.5539277287370505,-0.2909467677508956
189,0.6505799452511091,-0.190402189545386
190,0.6231352681408813,-0.2758838511554563
191,0.27591064794542824,-0.27409835572222413
192,0.18036284414821646,-0.2750568756654723
193,-0.03800816154301307,-0.22099992651088998
194,-0.34544704995610354,-0.23572405207301
195,-0.8296429436724188,-0.3864146966149163
196,-0.8460681924656344,-0.3892248927341232
197,-0.016789402110639028,-0.3684425431469611
198,0.20062801111818532,-0.3060585876053362
199,0.5544163258702814,-0.3589651068645391
200,0.22898438473494212,-0.3852477882468454
201,-0.029500475068926543,-0.3799589979429598
202,-0.296493959564035,-0.3894661302672304
203,-0.35146851432931037,-0.39318951902511723
204,-0.01241464078599563,-0.3858494246326574
205,0.32824278715859795,-0.393262924949472
206,0.5798754950581707,-0.21292505912385729
207,0.7681247282690925,-0.050686298816475614
208,0.46994307869726726,0.08330632567831278
209,0.8690679360835984,0.080856819546935
210,0.8690679360835984,0.08890351502750574
211,0.5949629920857528,0.13330546110148134
212,0.40164366806220564,0.13492280912238974
213,0.19881662305651315,0.13844171419247678
214,-0.045434116305020485,0.152476272310226
215,-0.3987402781048944,0.06385942864086668
216,-0.508461252188095,0.11299622311475704
217,-0.006527491704920251,0.243893157170663
218,-0.06788840788111981,0.26101581276106756
219,0.3558759086807633,0.25679544261595416
220,0.5125071934575207,0.28944122870014605
221,0.7439674296553211,0.34842557071901115
222,0.5484912249189633,0.37554157021194023
223,0.7782661806073821,0.527624939684254
224,0.7642420743154417,0.5680081317154936
225,0.12632113391932676,0.5591277564788841
226,0.4845354332480604,0.5304858383817271
227,0.6211298671023346,0.583710271592962
228,0.19214277793938467,0.549103739778717
229,0.0019202172626572572,0.4486902926200733
230,0.42179846426159795,0.441430347533412
231,0.5153455722965973,0.4060610574079885
232,-0.09969232869752781,0.40393421383281114
233,-0.12449409883995853,0.30529480538937737
234,0.28931838460547404,0.2969119271905414
235,0.14351725849515454,0.3728648777215387
236,-0.19376534241469257,0.24703557633282908
237,0.09542745329995428,0.34097806102426964
238,0.4993720858701127,0.3412590050138124
239,-0.1092820862695965,0.3340422096397428
240,0.23739757569698847,0.36146754762806427
241,0.8188572635122325,0.3575716777702225
242,0.7332739381620651,0.3248174256847473
243,0.35064150464432164,0.2817459946412014
244,0.37495301718331503,0.28643068107610825
245,0.4609625947688267,0.0064385065748373055
246,0.5646917025728363,0.07814323505944791
247,0.20273217694846205,0.03139538902589302
248,-0.051999756973332346,0.02171204125558659
249,-0.2656335073126736,-0.005805527644388116
250,-0.19092930018861887,-0.07062273621989307
251,-0.018019271313987152,-0.0116727226297296
252,-0.30670638255107885,-0.15266084294128643
253,-0.023154924098353076,-0.13781324457471622
254,0.5816961648836395,-0.09295573264769924
255,0.6891676156505766,-0.048411546746822486
256,0.8297084642598084,0.20451110137656997
257,0.9827595027838877,0.17191133377062942
258,0.6232689238798401,0.3283075268908486
259,0.2725407745547925,0.3357466983190202
260,0.26129883838471346,0.3507275124014872
261,-0.004920688376356142,0.43033644493278683
262,0.005299083606719616,0.33671277357463913
263,0.1587653431781643,0.28249011178647637
264,-0.2395412376179791,0.27826441821770753
265,-0.35790975861539726,0.2065401044170381
266,0.17902302333423126,0.21335770993519285
267,0.4251162586991541,0.19649353765236938
268,0.318890977036741,0.16934224661256503
269,0.37125145505992374,0.1613004879843715
270,0.6173937997181352,0.19946317813855063
271,0.7456674021712071,0.2855806980143175
272,0.6132985874955366,0.3200854776801299
273,0.7082962083363616,0.3353712133127263
274,0.791378575186555,0.44274807448933967
275,0.7705844863648281,0.4303294852400116
276,0.6230859082340179,0.42085459945152776
277,0.6230859082340179,0.4016897164560538
278,0.4350693009330725,0.23065110799686717
279,0.0780080105843502,0.15503042991237842
280,0.41561596921873556,0.23044812904356674
281,0.41561596921873556,0.2612672209388542
