,TYVIX/000001.SS inst_corr,TYVIX/000001.SS hist_corr
185,-0.9116218830054882,-0.4352409114611339
186,-0.9116218830054882,-0.4166849119476727
187,-0.9116218830054882,-0.3837302178103331
188,-0.9116218830054882,-0.4191294852639538
189,-0.9116218830054882,-0.4451724207192054
190,-0.6615064032695576,-0.44608724867429594
191,-0.49933291317511186,-0.2886957836182853
192,-0.262833044846233,-0.2299289346594134
193,-0.6990951001008433,-0.39875066196659226
194,-0.8853769792657161,-0.280609639052473
195,-0.8853769792657161,-0.295307508711428
196,-0.9370374456711569,-0.3189795519626261
197,0.17236641100495323,-0.2803510779949188
198,0.6450547926807875,-0.11402536934314275
199,0.42119058291120864,-0.05639699885725875
200,-0.12695154462789962,-0.026730603568975008
201,-0.7423649499065413,-0.00027944619648018567
202,-0.7655252020105714,-0.032064463682962105
203,-0.7655252020105714,-0.10625388199839567
204,-0.7655252020105714,-0.08413162495722196
205,-0.7655252020105714,-0.07995189050032944
206,-0.7655252020105714,-0.08162255931430686
207,-0.5700588977366324,-0.07201249997664588
208,-0.934131080615433,-0.05802481355493149
209,-0.934131080615433,-0.04199565213852718
210,-0.934131080615433,-0.0366634881673257
211,-0.934131080615433,-0.02802210823879058
212,-0.934131080615433,-0.03798340905675193
213,-0.8887878723109639,0.054971390592350816
214,-0.8887878723109639,0.0068130700433098115
215,-0.8887878723109639,0.3197300974256659
216,-0.8887878723109639,0.22640159757283257
217,-0.8887878723109639,0.2758325976126554
218,-0.8887878723109639,0.25407210469301394
219,-0.8887878723109639,0.19100358229659015
220,-0.631683855083155,0.05910919343442654
221,-0.09537330083613348,-0.0986494750232088
222,0.054063000337399594,-0.03874185787287432
223,0.054063000337399594,-0.0390146623281247
224,0.054063000337399594,-0.05086408761160078
225,0.054063000337399594,0.03074729069185169
226,0.054063000337399594,0.04561889227487521
227,0.054063000337399594,0.037349034751853104
228,-0.873707082373742,0.0742259588966376
229,-0.873707082373742,0.06716871650018405
230,-0.873707082373742,0.048447169479915626
231,-0.873707082373742,0.04733061918776791
232,-0.873707082373742,0.0429682491493763
233,-0.873707082373742,0.022647557859620433
234,-0.873707082373742,0.032238884531839825
