,TWSE/SHCOMP inst_corr,TWSE/SHCOMP hist_corr
179,0.2411802174968113,0.6123763620881025
180,0.2411802174968113,0.6122582441406641
181,0.2411802174968113,0.6088950462978242
182,0.2411802174968113,0.603643516460851
183,0.2411802174968113,0.5999510007750375
184,0.2411802174968113,0.5911747824919754
185,0.2411802174968113,0.609237127923927
186,0.2411802174968113,0.6267796045745501
187,0.2411802174968113,0.6327902822338263
188,0.2411802174968113,0.63821167118385
189,0.2411802174968113,0.6622219762576029
190,0.2411802174968113,0.6477724200659266
191,0.2411802174968113,0.6488866270917535
192,0.2411802174968113,0.661487956060642
193,0.2411802174968113,0.6659287615792493
194,0.2411802174968113,0.7263972467424327
195,0.2411802174968113,0.6716355124858236
196,0.8909580755909202,0.8153823385964145
197,0.4922180675565097,0.8175253668524213
198,0.4922180675565097,0.8373343648449186
199,0.4922180675565097,0.833402698127543
200,0.4922180675565097,0.7703031498841652
201,0.4922180675565097,0.7841626369639294
202,0.4922180675565097,0.7361463178963707
203,0.4922180675565097,0.7433347284814724
204,0.4922180675565097,0.7402811325756581
205,0.4922180675565097,0.7497124809567012
206,0.4922180675565097,0.7675986557890012
207,0.4922180675565097,0.7185854388182423
208,0.4922180675565097,0.7197154959842318
209,0.4922180675565097,0.7150779195892512
210,0.4922180675565097,0.7061353381452025
211,0.5302416032881136,0.6878388918060231
212,0.5302416032881136,0.7448133565295458
213,0.5302416032881136,0.7518522413148947
214,0.8971250260177911,0.7651157882958997
215,0.8971250260177911,0.7709425223712155
216,0.4779536669519541,0.751496538562666
217,-0.21405976069929303,0.5852654436018103
218,0.26957136969369927,0.586423083472323
219,0.26957136969369927,0.5979059520672789
220,0.26957136969369927,0.5025880134877948
221,0.26957136969369927,0.5066506114324842
222,0.6243892366965689,0.4077074663964706
223,0.6243892366965689,0.35208873270390223
224,0.6243892366965689,0.41897259361493727
225,0.6243892366965689,0.4398885370130299
226,0.6243892366965689,0.4379659353841055
227,0.6243892366965689,0.42956726772785053
228,0.6243892366965689,0.39884073432109596
229,0.6243892366965689,0.40085544679443874
230,0.6243892366965689,0.355588068493282
231,0.6243892366965689,0.33987723960592825
232,0.6243892366965689,0.3594667267535317
233,0.7772935321054901,0.36871125869159016
234,0.7772935321054901,0.2944227827690332
235,0.7772935321054901,0.2890741019334103
236,0.7772935321054901,0.27934839998163713
237,0.7772935321054901,0.08775011808476814
238,0.7772935321054901,0.07535895202018134
239,0.7772935321054901,0.340226013322724
240,0.6650190670224218,0.34424210606663874
241,0.6650190670224218,0.48005029563599344
242,0.6650190670224218,0.48078694386263005
243,0.7159203695309139,0.44828045614938056
244,0.7159203695309139,0.5521374282508652
245,0.7159203695309139,0.5232757701594409
246,0.7159203695309139,0.49659784201368745
247,0.7159203695309139,0.47408383608107163
248,0.7159203695309139,0.5247570204090621
249,0.7159203695309139,0.5199618834469403
250,0.7159203695309139,0.5182092004072612
251,0.7045250224561297,0.49066066221423865
252,0.4092902990229656,0.49914356929786613
253,0.43185667569630665,0.4751774134690828
254,0.9721895038265775,0.6187299163328315
255,0.9721895038265775,0.6513576714981909
256,0.79012287738734,0.6175364805295487
257,0.6406043006349256,0.5959432418330075
258,0.6406043006349256,0.5909766270859047
259,0.6406043006349256,0.5948952607530138
260,0.6406043006349256,0.5983014909125177
261,0.9215811174151679,0.5998662284894336
