,SPX/SPXT inst_corr,SPX/SPXT hist_corr
170,0.7307773573922242,0.999984016734446
171,0.9121084217840515,0.999984871164961
172,0.9121084217840515,0.9999861184277369
173,0.9121084217840515,0.9999869382963342
174,0.9777014362967826,0.9999877806055211
175,0.9777014362967826,0.9999877471436395
176,0.9777014362967826,0.9999877043558503
177,0.9777014362967826,0.9999873506571065
178,0.9777014362967826,0.9999876874192302
179,0.9777014362967826,0.9999866225806501
180,0.6413983138789269,0.9999771202523021
181,0.6413983138789269,0.9999757498024959
182,0.6413983138789269,0.9999748394053739
183,0.6413983138789269,0.9999558340173668
184,0.6413983138789269,0.999956763228599
185,0.6413983138789269,0.9999542896477339
186,0.923568762262635,0.999953508928265
187,0.923568762262635,0.9999621903493238
188,0.923568762262635,0.9999652275733985
189,0.43765713946821244,0.9999651409727841
190,0.6052016650736534,0.9999731846259613
191,0.8986063911100778,0.9999766273500328
192,0.8986063911100778,0.9999813180534108
193,0.8986063911100778,0.9999800296991797
194,0.9284286732211688,0.9999778119800833
195,0.6425569864758996,0.9999793500093025
196,0.6425569864758996,0.999980839901704
197,0.6425569864758996,0.9999821799308891
198,0.9338299776928499,0.9999828394956309
199,0.6591620394493091,0.9999822611687639
200,0.6591620394493091,0.9999838896462572
201,0.6591620394493091,0.9999782460493419
202,0.6591620394493091,0.9999834551250363
203,0.6591620394493091,0.9999823587588705
204,0.6591620394493091,0.9999831582482259
205,0.6591620394493091,0.9999827604185844
206,0.6591620394493091,0.9999883064219441
207,0.6591620394493091,0.9999880834579057
208,0.6591620394493091,0.9999877840403097
209,0.6591620394493091,0.9999869606690074
210,0.6591620394493091,0.9999873640848694
211,0.6591620394493091,0.9999871950097271
212,0.6591620394493091,0.9999855962250731
213,0.6591620394493091,0.9999832887441528
214,0.6591620394493091,0.999980111149712
215,0.6591620394493091,0.9999778582628465
216,0.6591620394493091,0.9999810546495586
217,0.6591620394493091,0.9999793007952967
218,0.6591620394493091,0.9999737054382521
219,0.6591620394493091,0.99997087051199
220,0.6591620394493091,0.9999682022540661
221,0.6591620394493091,0.9999688407154307
222,0.6591620394493091,0.9999551702583828
223,0.6591620394493091,0.9999792009406436
224,0.6591620394493091,0.9999660499178532
225,0.6591620394493091,0.999927225599913
226,0.6591620394493091,0.9999242783663941
227,0.6591620394493091,0.9999280456937112
228,0.6591620394493091,0.99990900903805
229,0.6591620394493091,0.9998849346728182
230,0.6591620394493091,0.9998902110476856
231,0.6591620394493091,0.9998890481146135
232,0.6591620394493091,0.9998787481089655
233,0.6591620394493091,0.999880490237656
234,0.6591620394493091,0.9998439594278272
235,0.6591620394493091,0.9998519125606201
236,0.6591620394493091,0.9998776781055707
237,0.6591620394493091,0.9998977558497036
238,0.6591620394493091,0.9998816045874381
239,0.6591620394493091,0.9998966966333941
240,0.6591620394493091,0.999886822451535
241,0.6591620394493091,0.9998834951523642
242,0.6591620394493091,0.9998685039142322
243,0.6591620394493091,0.9998709894647227
244,0.6591620394493091,0.9998730188824587
245,0.6591620394493091,0.9998551144225171
246,0.6591620394493091,0.9998473140353633
247,0.6591620394493091,0.9998946881254327
248,0.6591620394493091,0.999866459150837
249,0.6591620394493091,0.9998566234743378
250,0.6591620394493091,0.9998764846716909
251,0.6591620394493091,0.9999093308041049
252,0.6591620394493091,0.9999032990789869
253,0.6591620394493091,0.99990518140535
254,0.6591620394493091,0.9999042458224695
255,0.6591620394493091,0.9999245576574968
256,0.6591620394493091,0.9999216210179341
257,0.6591620394493091,0.9999266077931229
258,0.6591620394493091,0.9999164350459566
259,0.6591620394493091,0.9999021794568427
260,0.6591620394493091,0.9999178671165647
261,0.6591620394493091,0.9999019933152662
262,0.6591620394493091,0.9998980565764852
263,0.6591620394493091,0.9999074749671616
264,0.6591620394493091,0.9998979683571603
265,0.6591620394493091,0.9999037472955029
266,0.6591620394493091,0.9999118738490649
267,0.6591620394493091,0.9999221390240073
268,0.6591620394493091,0.999919433843718
269,0.6591620394493091,0.9999175442024345
270,0.6591620394493091,0.9999453067042015
271,0.6591620394493091,0.9999442289675787
272,0.6591620394493091,0.9999416119540332
273,0.6591620394493091,0.9999404281932868
274,0.6591620394493091,0.9999406876971101
275,0.6591620394493091,0.9999422720910073
276,0.6591620394493091,0.9999405184289222
277,0.6591620394493091,0.9999207871541915
278,0.6591620394493091,0.9999319063687674
279,0.6591620394493091,0.9999209904380787
280,0.6591620394493091,0.9999194978656465
281,0.6591620394493091,0.9999194966358129
282,0.6591620394493091,0.9999203565073636
283,0.6591620394493091,0.9999122312536093
284,0.6591620394493091,0.9999237689926429
285,0.6591620394493091,0.9999148807883884
286,0.6591620394493091,0.9999568926771992
287,0.6591620394493091,0.999903691783653
288,0.6591620394493091,0.9998473818718823
289,0.6591620394493091,0.9998316696927841
290,0.6591620394493091,0.9998458192224976
291,0.6591620394493091,0.9998604655720363
292,0.6591620394493091,0.9998158524996577
293,0.6591620394493091,0.9998243068444922
294,0.6591620394493091,0.999816020298472
295,0.6591620394493091,0.9998149979784571
296,0.6591620394493091,0.9998186051991975
297,0.6591620394493091,0.9998151761743587
298,0.6591620394493091,0.9997990598827885
299,0.6591620394493091,0.9998201601317166
300,0.6591620394493091,0.9998001286072608
301,0.6591620394493091,0.999783417429862
302,0.6591620394493091,0.999796238116215
303,0.6591620394493091,0.9998078228523023
304,0.6591620394493091,0.9998054327542628
305,0.6591620394493091,0.9997951930499895
306,0.6591620394493091,0.9997629420849957
307,0.6591620394493091,0.9997698939557047
308,0.6591620394493091,0.9997665275932316
309,0.6591620394493091,0.9997947618338904
310,0.6591620394493091,0.999800613028488
311,0.6591620394493091,0.9997630080182073
312,0.6591620394493091,0.999741245121445
313,0.6591620394493091,0.9997286747919796
314,0.6591620394493091,0.9997659497878356
315,0.6591620394493091,0.9997513090182926
316,0.6591620394493091,0.9997862949196582
317,0.6591620394493091,0.9997850848338663
318,0.6591620394493091,0.9997910848908211
319,0.6591620394493091,0.9997902287818425
320,0.6591620394493091,0.9997800689630617
321,0.6591620394493091,0.9997243881701476
322,0.6591620394493091,0.9997307576128311
323,0.6591620394493091,0.9997011713833941
324,0.6591620394493091,0.9996933606856682
325,0.6591620394493091,0.999685944057416
326,0.6591620394493091,0.9997084133822632
327,0.6591620394493091,0.9997289679509698
328,0.6591620394493091,0.9997946451157148
329,0.7844894330827618,0.999709650490391
330,0.6629066219546349,0.9999357048489729
331,0.9490732100715296,0.9999475567022675
332,0.9490732100715296,0.9999555773652119
333,0.9441513436499628,0.9999631889000881
