,KOSPI/MXBR inst_corr,KOSPI/MXBR hist_corr
175,0.26497695993262904,0.3358388036440868
176,-0.1946452623926388,0.3295107650202048
177,0.05217278051788585,0.32247212464044134
178,0.7153928938172552,0.33951898507150324
179,0.7153928938172552,0.43262666104103403
180,0.5728922644893597,0.47098191892941965
181,0.7071770465265362,0.47454723012333716
182,0.3638708103870558,0.445805827875256
183,-0.22261790473779994,0.4903652143322527
184,0.06325831718694394,0.47206323680455337
185,-0.019587305498168672,0.4709019438382744
186,-0.0865303995982188,0.39734474165179884
187,0.5153700263120989,0.36729958003924995
188,0.5153700263120989,0.29675244727416333
189,0.5153700263120989,0.38950616992085146
190,0.6817972459791937,0.34828262297555657
191,0.0852465305353288,0.3678748891073807
192,0.3195422337170348,0.31148678380549233
193,0.7326814342523961,0.35222574523462746
194,0.6035218341151708,0.35284857712475476
195,0.17461643724739176,0.2568214434328749
196,0.2776678700471518,0.190244243620517
197,0.4592827023213845,0.2687552716109426
198,0.3676892298983417,0.29342056089130913
199,-0.18961318357854712,0.2542557245897123
200,0.18542365402380695,0.17275023077327567
201,0.9090818025539025,0.21337236508997873
202,0.9090818025539025,0.21763312975417315
203,0.6206417219282812,0.1551314431790137
204,0.3863012189773043,0.17152249032416242
205,0.6568474026316609,0.2833618579800987
206,0.9313372229836567,0.31929692399275206
207,0.4932377701264082,0.3234684105935936
208,-0.20919608841593584,0.33586042704245855
209,-0.10161976030438491,0.2757065774799743
210,0.0033441382409908115,0.23598949945176625
211,-0.21485992232580683,0.23691821423436393
212,-0.352353463282503,0.17311994627229194
213,-0.11168135616421156,0.182670599396918
214,0.15333132501912325,0.1605890534365912
215,0.8955727163993354,0.21796774005014655
216,0.8955727163993354,0.21387601667851752
217,0.8955727163993354,0.22443741560297623
218,0.6853404336979528,0.2348286267740535
219,0.4913632454449195,0.28563796856704604
220,0.6456451336568967,0.28132301761987855
221,0.880722817879509,0.4213512721931531
222,0.5676909733291419,0.4906162707897353
223,0.47041552461147973,0.4054112262387606
224,0.5655201062688119,0.43377801413561273
225,0.19967528651898067,0.46061789988714197
226,0.00046693481953113307,0.38575960443471274
227,0.4724074748109442,0.38614118264672576
228,0.45148771726627457,0.2901599136153839
229,0.6073969879415223,0.3518318163394979
230,0.76024423039984,0.381991666128031
231,0.6090305352106967,0.3792430971739078
232,0.7023071011671763,0.436557756179508
233,0.5654088440232207,0.43391245572980264
234,0.41838813018403953,0.515952952523864
235,-0.018117676283971883,0.4710767180675392
236,-0.039478103226814165,0.5160370886296778
237,0.6663184886435916,0.4463777332190678
238,0.5634091911030213,0.449089740741929
239,-0.06920177559151808,0.45523318298672516
240,-0.6012727853882828,0.22279224698922875
241,-0.8035149793352723,0.15976760053988506
242,0.0046594622795136775,0.057384703808008204
243,0.4307060757308856,-0.014964871685241963
244,0.14809409737452223,-0.05386685277897194
245,0.2838902722999832,-0.0022310793590934346
246,-0.07357977161657672,-0.06253860978363929
247,-0.6842016476013691,-0.19208945490184554
248,-0.8388224795761268,-0.19669298258678597
249,0.5199700749959904,-0.13843698570704674
250,0.5049171039347943,-0.12545926251410522
251,0.41908693521388884,-0.16984774265493044
252,0.4026696636590114,-0.1261922009143376
253,0.06626214834371186,-0.13498848138003336
254,-0.18467503895245618,-0.23375168068348276
255,0.26024911965023667,-0.18285321002773222
256,0.8689313659446559,-0.1305722873288974
257,0.8689313659446559,-0.05194391427873033
258,0.4099151963497675,-0.05011824031129105
