,HSI/TWSE inst_corr,HSI/TWSE hist_corr
182,0.6331111021394867,0.7989746071890393
183,0.9379862640416832,0.7989695090126879
184,0.7170917843459238,0.8008767347115308
185,0.7170917843459238,0.7978148106151878
186,0.7170917843459238,0.818325023672773
187,0.7170917843459238,0.8224797344325702
188,0.7170917843459238,0.8398055535126492
189,0.7594214699900794,0.8485289977428027
190,0.7594214699900794,0.8555270990150582
191,0.7594214699900794,0.8520923538198575
192,0.7594214699900794,0.8599488925978848
193,0.7594214699900794,0.8585570986787435
194,0.7594214699900794,0.8640463790995714
195,0.7594214699900794,0.8571544369100322
196,0.7594214699900794,0.9232746160931461
197,0.7594214699900794,0.9312683531132941
198,0.5638333078461403,0.9169428370505488
199,0.5638333078461403,0.9232199230898777
200,0.5638333078461403,0.8732031718453493
201,0.8134930002849077,0.857676989742899
202,0.8134930002849077,0.8750579581240445
203,0.8134930002849077,0.8662377716998843
204,0.8134930002849077,0.8563580249822422
205,0.8134930002849077,0.8493080855235511
206,0.8134930002849077,0.8233886661434849
207,0.8134930002849077,0.8327854088373706
208,0.8134930002849077,0.8091703522772794
209,0.8134930002849077,0.8051801748331273
210,0.7078005241836739,0.7711390637368856
211,0.7078005241836739,0.7569260880632425
212,0.7078005241836739,0.7161504274064353
213,0.7078005241836739,0.7666509000225233
214,0.7078005241836739,0.743300285865552
215,0.8499455680379122,0.7484678062874485
216,0.20103045265108113,0.6291682573176866
217,0.7318815915036911,0.6199379806164085
218,0.7318815915036911,0.6302981839291213
219,0.7318815915036911,0.650286071437603
220,0.7318815915036911,0.6985289284037995
221,0.7318815915036911,0.6387468599598481
222,0.7318815915036911,0.6585806419190321
223,0.7318815915036911,0.6133522857404894
224,0.7318815915036911,0.5680855277492204
225,0.7318815915036911,0.5997805743644916
226,0.7318815915036911,0.6046511720276778
227,0.7318815915036911,0.6237475420436751
228,0.7318815915036911,0.646393927845081
229,0.7318815915036911,0.6635869999757109
230,0.7318815915036911,0.6765793195883909
231,0.7318815915036911,0.6738599420985356
232,0.7318815915036911,0.714856974570656
233,0.7318815915036911,0.7008732120353612
234,0.7318815915036911,0.6897945553475987
235,0.7318815915036911,0.6743403099315456
236,0.7318815915036911,0.6731766791932184
237,0.7318815915036911,0.6646787241963443
238,0.7318815915036911,0.8588777155511272
239,0.9611944205518813,0.860143259465973
240,0.9611944205518813,0.8595422807552126
241,0.9611944205518813,0.848598034526835
242,0.8314521430592144,0.826662048516565
243,0.8314521430592144,0.8515831857224002
244,0.8314521430592144,0.8260401100279474
245,0.8314521430592144,0.8539133455710528
246,0.8314521430592144,0.8599091672290117
247,0.8314521430592144,0.8723182340959492
248,0.8314521430592144,0.8686608592089069
249,0.8314521430592144,0.8653682068915134
250,0.8310994559979292,0.8187948456021426
251,0.9661223792752628,0.792039829292624
252,0.6337420635606871,0.7543163073777518
253,0.6337420635606871,0.8093631960688195
254,0.6337420635606871,0.8050376616704686
255,0.6337420635606871,0.7883302487622359
256,0.9729958960221494,0.7717663813473354
257,0.9729958960221494,0.7732925264396094
258,0.9729958960221494,0.766328606192052
259,0.9729958960221494,0.7577695510322139
260,0.9784654466597698,0.7247085183705055
261,0.9784654466597698,0.7642208444686834
