,CAC/FNERTR inst_corr,CAC/FNERTR hist_corr
170,0.09646460980879651,0.12526866907753761
171,0.07303806651930948,0.1280705925986824
172,0.2545660601230534,0.12771093717465587
173,0.7200980439742433,0.1430125313076319
174,0.032066212546722254,0.16536959834139647
175,-0.2296881185758282,0.17238103841564967
176,-0.09757283307460547,0.15050480592381507
177,0.13221222065245755,0.15773290997960368
178,0.1445704131738742,0.15348426901165102
179,0.3758101531587399,0.037467465661575196
180,0.5113710439112165,0.06761292230972718
181,0.7464784295063288,0.3490971659451282
182,0.4936861195419334,0.38892428859165706
183,-0.17140450858642542,0.25606277130241506
184,-0.027321271596523942,0.2444765675808776
185,0.0943766640425399,0.2518138479594345
186,0.4858941336982277,0.21215173238404433
187,0.21134047519292556,0.2524527088540437
188,0.013285127171505064,0.2980294276013903
189,0.13381746133533595,0.19145473304903382
190,-0.22968571600802654,0.16132352457786567
191,-0.5494611166734766,-0.0626127285819639
192,-0.6397882827593782,-0.008996357080205727
193,0.37054051432382024,0.012356189277718832
194,0.7773869606832617,0.05718928600163307
195,0.36452852710148376,0.03997049881390145
196,0.48488220289091283,0.07371531069996017
197,0.13670674965107465,0.08782500187523731
198,-0.4124675890290731,0.112145467324379
199,-0.9408382157278256,-0.23042478145973877
200,-0.9408382157278256,-0.2287419972940398
201,-0.20366945136108633,-0.24213727223076117
202,-0.49995405283824684,-0.2918090858046404
203,-0.8425343470106231,-0.4258107638481569
204,-0.9412043788603313,-0.43739229265606827
205,0.038472348337509246,-0.4434381253575304
206,0.33737153624144917,-0.436800451221843
207,0.4665565280681273,-0.3883801911838436
208,0.1986214531844979,-0.4078803177886923
209,-0.018838742112336722,-0.36203867528525435
210,-0.12118493039175103,-0.370973814317314
211,-0.38300564189685044,-0.3863534122714506
212,-0.1629453114394143,-0.40831311326715874
213,0.4635080542379361,-0.21584090766856803
214,0.7664593044824012,-0.1878024424173835
215,0.7797205295061235,-0.1943335359170567
216,0.45549074364848674,-0.2777181058721491
217,-0.11011686769330159,-0.2693874913521371
218,-0.5485273472966112,-0.3711550238818572
219,-0.5418429926770034,-0.3815364797113898
220,0.044142242569341315,-0.33140269731237465
