,SPX/NDWLIT inst_corr,SPX/NDWLIT hist_corr,SPX/FTMIGMI inst_corr,SPX/FTMIGMI hist_corr,SPX/GBIEMDCW inst_corr,SPX/GBIEMDCW hist_corr
128,0.48958348710027333,,0.5910217698861645,,0.9351002757655967,
129,0.6875332583689441,,0.5910217698861645,,0.9351002757655967,
130,0.5492170137633784,,0.5910217698861645,,0.9351002757655967,
131,0.43726249215655055,,0.5910217698861645,,0.9351002757655967,
132,0.42716710522124623,,0.5910217698861645,,0.9351002757655967,
133,0.11596409074206834,,0.6810506563968187,,0.9351002757655967,
134,0.17576683544517954,,0.5444791156033065,,0.9351002757655967,
135,0.5394204105506101,,0.5444791156033065,,0.9351002757655967,
136,0.62358158674997,0.25554829812134283,0.5444791156033065,0.3759719325453862,0.9351002757655967,
137,0.3327432370951776,0.23745045439981693,0.5444791156033065,0.3626844130147563,0.5803355498108045,
138,0.6253080997799957,0.19151077226040092,0.5444791156033065,0.3963771754413682,0.5133912147872921,
139,0.6351092439242191,0.08920455871322008,0.5444791156033065,0.35016301560573704,0.8775073458695731,0.011411209099101153
140,0.16988567715224592,0.0527356064550311,0.5444791156033065,0.3545558055647985,0.8775073458695731,0.07120268994632041
141,0.13905015874803475,0.04926743119688182,0.5444791156033065,0.4058255589528304,0.8775073458695731,0.08513489590238571
142,0.24615359630380163,0.06465334693136694,0.7254345473924985,0.3127663848623269,0.8775073458695731,0.1868528873151797
143,0.4055557525865416,0.16393043851732111,0.8256167428483435,0.3458209551964442,0.8775073458695731,0.21063365244167528
144,-0.10002467564348232,0.07644155111434753,0.7154415465914107,0.2999869711744931,0.680765246026798,0.2892772503344346
145,-0.461311784252597,-0.05320969796041339,0.7154415465914107,0.28820529159028707,0.6974654613986033,0.4613334101870446
146,0.20268762757013234,-0.004082025086884232,0.7154415465914107,0.2722134465228733,0.4662805024496224,0.37637113411415135
147,0.3432917322610615,-0.021328783109237137,0.8609149920839435,0.4018161289599645,0.7344118616103724,0.3346697809508873
148,0.17676357056419403,-0.06130730720536959,0.9249855484839501,0.3660010731689115,0.6908395466416283,0.38464528252886127
149,0.2434840305093207,-0.11710745892856161,0.9249855484839501,0.3265956244843168,0.18098013882419897,0.36753418469445703
150,0.40006367053545533,-0.144266423866693,0.9249855484839501,0.2963880757472411,0.27532988630815586,0.3140396224413476
151,0.34544810564543393,-0.12436587923002551,0.8223238339312686,0.29885769065909984,0.27532988630815586,0.2950350957804863
152,0.5481581177125976,-0.14544647723408627,0.8223238339312686,0.33036539375185486,0.27532988630815586,0.2719004815984513
153,0.7775726594698755,0.09814055257155758,0.8223238339312686,0.4106713668406257,0.6245209047924134,0.20519284325189277
154,0.5948732843320761,0.2117037339541156,0.8223238339312686,0.6142256303804318,0.6245209047924134,0.21712037914893234
155,0.3976724937512397,0.1992866277705829,0.8962377524975891,0.6160628512557216,0.8810233169050391,0.35247426861937825
156,0.33330291743562035,0.2462478396999944,0.44593845823707207,0.6534126276937988,0.4271903104898057,0.38180537063372655
157,0.371010707190903,0.3974720839539931,0.3696327183302567,0.7432636030034577,0.7853064921909279,0.3636324218156293
158,0.37210605131628044,0.4550509880436463,0.2675633476723741,0.7919514845204987,0.7853064921909279,0.3731217453060565
159,-0.02298422336114443,0.3229564216706945,-0.22583123064918129,0.4061400727482684,0.539932217580605,0.6004596902142861
160,0.005939984779865425,0.3240741979412736,-0.03402552290153411,0.39324419166484487,0.4106039161116466,0.609940843064805
161,0.43167480740347947,0.32588996665716236,0.3036408989784889,0.40932847380984544,0.36866282804248335,0.5494696756691405
162,0.8160533854002263,0.29293529808073915,0.5970807040126214,0.29444279821426406,0.4915365186902972,0.5248612616036573
163,0.5799220585707247,0.33982298559259105,0.7831455213610939,0.3323855328268541,0.3344875531277471,0.6603468067689344
164,0.34501118993183133,0.33718878575308214,0.5225581541761196,0.3371870446423418,0.12387639583742541,0.4024974461193092
165,0.5798410651089794,0.3746842267635063,0.6600864217191968,0.3685940672030295,0.2514031846998307,0.4202002927769534
166,0.5798410651089794,0.41216238350313195,0.6600864217191968,0.408879197075168,0.26333260680106035,0.42530064812631696
167,0.6535974408135113,0.4418161820864717,0.6600864217191968,0.40180556666874423,0.06587696719735502,0.34448708591031557
168,0.6289644122385063,0.4441196982602325,0.5192997926147799,0.406333761566342,0.19954614839749932,0.4003560575774538
169,0.36789026365632954,0.44221286726711934,0.04979072162329023,0.37556033752880724,0.4049006548846511,0.367634298103556
170,0.3312396437355869,0.42749106006819443,0.3011952341120643,0.3593918430707271,0.6144596999919256,0.37039818968781246
171,0.4318775047881425,0.4419962542319988,0.9093558854606115,0.3961106499484709,0.9479078184826062,0.38577472475789965
172,0.5775093180398865,0.488985931215869,0.9093558854606115,0.4059090547369544,0.9479078184826062,0.38366816645798774
173,0.7289207126293119,0.5054781867742426,0.8759511413091731,0.4139483216912496,0.6686829411787608,0.40346196818620517
174,0.6589293755597572,0.5084603401573939,0.7687361447236589,0.4082156560401469,0.6687046130453398,0.42915301986375765
175,0.892365105024439,0.4967081991543089,0.6395611190511784,0.402650838206666,0.8201164950242281,0.4177877999400187
176,0.8032246257548835,0.49886757826493155,0.31844153790222446,0.37408918928717527,0.6747684107614246,0.40493957419470233
177,0.35896919293888,0.5156357601196739,0.22064251775122803,0.3607078567121244,0.6082508179674715,0.3955699827808375
178,0.4969447225868688,0.5081770423108793,0.7924046855288376,0.36075766818653526,0.8663459683438935,0.39513540539313585
