,FTMIGMI/SPX inst_corr,FTMIGMI/SPX hist_corr
170,0.29740305780813675,0.3593918430707271
171,0.8911027538280553,0.3961106499484709
172,0.8911027538280553,0.4059090547369544
173,0.8863029769664943,0.41394832169124957
174,0.7907067599905548,0.408215656040147
175,0.6637089119289898,0.402650838206666
176,0.3184786016466202,0.37408918928717527
177,0.20774043386286842,0.3607078567121244
178,0.7675025257715489,0.36075766818653526
179,0.9199833276301261,0.32068395650062026
180,0.47743285678136343,0.19715827908616593
181,0.6868292940951606,0.43872239222773207
182,0.6868292940951606,0.41122620273900207
183,0.6868292940951606,0.35590312475986446
184,0.6868292940951606,0.5614498562941108
185,0.6868292940951606,0.5490603525005027
186,0.7473967326310768,0.5491596137906383
187,0.7473967326310768,0.5304194190337997
188,0.7473967326310768,0.48089285739591675
189,0.4471241680833012,0.4831954858018609
190,0.4257143906129953,0.5357731789243086
191,0.8170689463719113,0.6715126630070549
192,0.8170689463719113,0.6959833888004812
193,0.2358941375230703,0.6118362801709923
194,0.3435733342259209,0.5537342406400176
195,0.8446011118726005,0.5649042102634994
196,0.42910249766793107,0.5040920086752003
197,0.11162408184180746,0.500729506060598
198,-0.05979716233614449,0.44653445517356016
199,0.36926656154405113,0.4895681375186637
200,0.36926656154405113,0.49700426535388137
201,0.8511956100301358,0.5016554852556397
202,0.8511956100301358,0.5325373865716961
203,0.8511956100301358,0.4923051676275316
204,0.9639800896757207,0.5210236442344016
205,0.8114213621596527,0.5286092741434901
206,0.4196953680895438,0.5038865523966305
207,0.3872261753760018,0.5084475109185842
208,0.6070344230869658,0.4941921211730825
209,0.6504544762167169,0.45011242407221097
210,0.8486254363157555,0.4637638367867904
211,0.592458849188716,0.45652881790160144
212,0.399518076247094,0.41525469633099366
213,0.7165079149683903,0.2852336055012385
214,0.8317959330249757,0.2135686055484226
215,0.49992038447634723,0.2567397584050782
216,0.23147527408949795,0.20276877559791537
217,0.4774794566909893,0.16260029187670966
218,0.7603067305598366,0.2311290183888831
219,0.8315983659215272,0.23722203175639525
220,0.8315983659215272,0.32915580893485324
221,0.8315983659215272,0.3063576712512796
222,0.8315983659215272,0.30387515333056386
223,0.5921645685220702,0.3050271440887219
224,0.5921645685220702,0.25883501811425597
225,0.5921645685220702,0.2664118103994219
226,0.5921645685220702,0.26040472355171
227,0.5921645685220702,0.31633993139853406
228,0.5921645685220702,0.3670342271070666
229,0.5921645685220702,0.3726270863369273
230,0.5921645685220702,0.3887753027270501
231,0.5921645685220702,0.4450958346465297
232,0.6762348002803356,0.3512109606246739
233,0.765140395069869,0.3304726592950814
234,0.765140395069869,0.3248280765976702
235,0.669694733507885,0.33602095031950185
236,0.3683599272270207,0.38812553974171643
237,-0.11200675521647666,0.22716507203141056
238,0.10107670779751805,0.2394271481549243
239,0.6424950630311365,0.30584364067219066
240,0.6424950630311365,0.2691632619540526
241,0.6424950630311365,0.24142677280915442
242,0.6424950630311365,0.2992549246079551
243,0.6424950630311365,0.29663854447866644
244,0.8298813122932422,0.2691905873741292
245,0.8298813122932422,0.26859595096443317
246,0.8298813122932422,0.19842543082362718
247,0.8298813122932422,0.2098918283687624
248,0.8298813122932422,0.19455310030685713
249,0.8298813122932422,0.10438244450445192
250,0.926339530502549,0.1033326602447618
251,0.926339530502549,0.16385959817565338
252,0.926339530502549,0.15748696355002947
253,0.926339530502549,0.21362528237263362
254,0.7496892799290072,0.2499826002430855
255,0.9778499139308664,0.3674597053455653
256,0.9778499139308664,0.37513592293519576
257,0.9778499139308664,0.4333558874975859
258,0.927428482206615,0.4000424691118405
259,0.5012616993751408,0.5020078721207325
260,0.4568001984958801,0.5579014759420405
261,0.4568001984958801,0.5026085358458867
262,0.4568001984958801,0.45029074551900156
263,0.6329488685367531,0.4827762111206344
264,0.944909014897899,0.5262724144254329
265,0.944909014897899,0.5336546496818673
266,0.944909014897899,0.5907037076107083
267,0.944909014897899,0.607683720421273
268,0.944909014897899,0.6028869574404541
269,0.944909014897899,0.6057283913086091
270,0.944909014897899,0.6250421200471853
271,0.944909014897899,0.6259830541084453
272,0.944909014897899,0.62936693214378
273,0.944909014897899,0.593986418811704
274,0.944909014897899,0.5976380167504904
275,0.8585641986477962,0.5783765612510381
276,0.8585641986477962,0.6011115751091957
277,0.8585641986477962,0.5102626126842605
278,0.8585641986477962,0.4712473930436212
279,0.8585641986477962,0.37715370577282
280,0.8585641986477962,0.40151757221006784
281,0.34136685381942156,0.5141776880416864
282,0.1062129250590494,0.39416164332759673
283,0.8539275846183365,0.402579303405881
284,0.8539275846183365,0.4330182660582044
285,0.8539275846183365,0.41627093940227866
286,0.8539275846183365,0.3175578556495436
287,0.8539275846183365,0.31955490680985954
288,0.7987820275814691,0.3559420323553782
289,0.9221767246562429,0.38157146168564693
290,0.8347665129340295,0.37080132559661727
291,0.9408555216348525,0.46484022486998366
292,0.9408555216348525,0.43785738914899575
293,0.9408555216348525,0.44390114232593597
294,0.9408555216348525,0.42922196984412636
295,0.9408555216348525,0.4596656174024614
296,0.9408555216348525,0.4427482460670695
297,0.9408555216348525,0.4176218374459966
298,0.7053026357238599,0.3740264432121768
299,0.9608947698945781,0.4666949286656822
300,0.9608947698945781,0.5271274157703448
301,0.9608947698945781,0.5440267315304523
302,0.9608947698945781,0.5870826576556417
303,0.9608947698945781,0.5927650113420431
304,0.9608947698945781,0.7222152731643495
305,0.9313274562418185,0.7211248528735769
306,0.9313274562418185,0.7170080846067401
307,0.9313274562418185,0.6810128434290924
308,0.6771168844428236,0.6540090320595713
309,0.7728181990958484,0.6339518204414761
310,0.7728181990958484,0.5939682906762954
311,0.9579951994195138,0.5827603870708254
312,0.9579951994195138,0.572884890611761
313,0.9579951994195138,0.5258223478357996
314,0.9579951994195138,0.5854603305477506
315,0.7518311969085808,0.5743736287422186
316,0.7089619369518625,0.5716213682211664
317,0.7089619369518625,0.5223668080570743
318,0.7089619369518625,0.5592941078019021
319,0.7089619369518625,0.5558450205744891
320,0.7089619369518625,0.5314860891447641
321,0.7089619369518625,0.45297877318112
322,0.7089619369518625,0.45373369400112856
323,0.7089619369518625,0.4597065973651682
324,0.7089619369518625,0.41265822522348594
325,0.9464875194644126,0.41299377280964417
326,0.8013277639056868,0.5413669000242112
327,0.5729740039003545,0.5492520416693601
328,0.7785645313225612,0.5507947675654102
329,0.400254460549216,0.5762249816093783
330,0.3479091693275704,0.4420412543632388
331,0.7094896428063583,0.6072190742112438
332,0.7094896428063583,0.6706200394028062
333,0.7573526502384533,0.6615401885008614
334,0.8387000961972605,0.6908965343651575
335,0.8662385764454549,0.689084772736852
336,0.8047009056437159,0.7000593324713343
337,0.6049335829126171,0.7055436769023277
338,0.41683392845998407,0.6678929852329272
339,0.22974595117135568,0.6613231775345086
340,0.40654046843768893,0.608812861786972
341,0.5549142674452004,0.5649035512438105
342,0.6597365294520854,0.5740745132200479
343,0.6597365294520854,0.5662543181153253
344,0.9778149545957412,0.5706907484455451
345,0.5605967296456635,0.5960858047230183
346,0.3432418205345055,0.6299027910661987
347,-0.15520771801667746,0.5586687775633092
348,-0.24075126059592925,0.5543796202197941
349,0.5630825586849081,0.5502060361718716
350,0.9020517509369845,0.5505957285798244
351,0.9020517509369845,0.5506111761519762
352,0.6084526935328779,0.57107785692503
353,0.6011359675425485,0.5226817317221039
354,0.6011359675425485,0.48395860918750405
355,0.6011359675425485,0.47018163578736955
356,0.8784803074526742,0.4495477385515053
357,0.7495646008241347,0.4527566732600474
358,0.46976072800001056,0.39986042987723686
359,0.6789261194857241,0.44635383112597427
360,0.6789261194857241,0.46669558032948905
361,0.6789261194857241,0.49136521230078517
362,0.6789261194857241,0.4896502935783775
363,0.8627968967117245,0.5594517906619784
364,0.8072218398213267,0.5500573538910372
