,LG30TRUU/SPXT inst_corr,LG30TRUU/SPXT hist_corr
172,0.7890767718533654,0.8823170699124063
173,0.7890767718533654,0.8849928828706682
174,0.80609011648789,0.8877776466129191
175,0.80609011648789,0.892484896485192
176,0.80609011648789,0.8972430361399327
177,0.80609011648789,0.9222254460342972
178,0.80609011648789,0.9226077118974262
179,0.8742651038486935,0.9223268765829369
180,0.6401968907970725,0.8758150830799823
181,0.6401968907970725,0.9269004896031401
182,0.6401968907970725,0.9404805924983278
183,0.6401968907970725,0.8955743127439025
184,0.6401968907970725,0.9115951158409124
185,0.6401968907970725,0.9066385275907329
186,0.8081099383307397,0.9129894881805626
187,0.8081099383307397,0.9177817666939294
188,0.8081099383307397,0.9110412350366992
189,0.40122134903863255,0.9358428818706352
190,0.6016686924754228,0.9539563549942268
191,0.6016686924754228,0.9613448808538404
192,0.6016686924754228,0.9440970016943481
193,0.6016686924754228,0.9079004996070915
194,0.6379516166645588,0.8774336487896429
195,0.5102101325175868,0.8688316296800993
196,0.5102101325175868,0.8831059425797733
197,0.5102101325175868,0.8857199323241293
198,0.8553491804411871,0.890221217351733
199,0.6341333920323737,0.8877660593127775
200,0.6341333920323737,0.900390943252475
201,0.6341333920323737,0.9017366222145704
202,0.6341333920323737,0.9127320976223567
203,0.6341333920323737,0.9032576300410993
204,0.6341333920323737,0.9058602546871112
205,0.6341333920323737,0.9085733943741691
206,0.6341333920323737,0.9100770563575514
207,0.6341333920323737,0.912905183605447
208,0.6341333920323737,0.9127545208804564
209,0.6341333920323737,0.9094038291315736
210,0.6341333920323737,0.9104068431507013
211,0.6341333920323737,0.9091876433327296
212,0.6341333920323737,0.8922431762904997
213,0.6341333920323737,0.8791515092400553
214,0.6341333920323737,0.8872540343147515
215,0.6341333920323737,0.9079262229288481
216,0.6341333920323737,0.9369263381840952
217,0.6341333920323737,0.9553846521002389
218,0.6341333920323737,0.9469066982896192
219,0.6341333920323737,0.9377343897571809
220,0.6341333920323737,0.9304051553170891
221,0.6341333920323737,0.9279311591693528
222,0.6341333920323737,0.898839439454536
223,0.6341333920323737,0.8974051935519451
224,0.6341333920323737,0.8809270916731692
225,0.6341333920323737,0.8454202278553643
226,0.6341333920323737,0.8155652509245177
227,0.6341333920323737,0.8230579729394133
228,0.6341333920323737,0.8212634969588387
229,0.6341333920323737,0.8060008243013341
230,0.6341333920323737,0.7988634238977633
231,0.6341333920323737,0.7758357443334851
232,0.6341333920323737,0.7668853053596478
233,0.6341333920323737,0.7646500752481322
234,0.6341333920323737,0.782751658167432
235,0.9996617771799271,0.7777829749362019
236,0.9996617771799271,0.7861906812866919
237,0.9996617771799271,0.8224986606174914
238,0.9996617771799271,0.8176605578191761
239,0.9996617771799271,0.8351077649685703
240,0.9996617771799271,0.8202986833858887
241,0.9996617771799271,0.8206240496499547
242,0.9996617771799271,0.8315042949419853
243,0.9996617771799271,0.8342353514467459
244,0.9996617771799271,0.8369187939077193
245,0.9996617771799271,0.8587270976489878
246,0.9996617771799271,0.843877940165269
247,0.9996617771799271,0.8613354637489351
248,0.9996617771799271,0.8877897147458378
249,0.9996617771799271,0.8750289791622371
250,0.9996617771799271,0.8403691547644592
251,0.9996617771799271,0.8357854792584092
252,0.9996617771799271,0.8421102801931706
253,0.9996617771799271,0.864927240368042
254,0.9996617771799271,0.8581866276290209
255,0.9996617771799271,0.8907322406887663
256,0.9996617771799271,0.8762752092329684
257,0.9996617771799271,0.8842433996621363
258,0.9996617771799271,0.834457304700848
259,0.9996617771799271,0.7991430158867587
260,0.9996617771799271,0.7697326190354367
261,0.9996617771799271,0.6570892540652172
262,0.9996617771799271,0.6982297494458128
263,0.9996617771799271,0.7466993485346939
264,0.9996617771799271,0.7357408670438157
265,0.9996617771799271,0.7386665731201589
266,0.9996617771799271,0.7577823578766795
267,0.9996617771799271,0.7818173056098352
268,0.9996617771799271,0.7849944527799596
269,0.9996617771799271,0.7795428931972568
270,0.9996617771799271,0.7818456250655833
271,0.9996617771799271,0.7858342577473594
272,0.9996617771799271,0.8120818764491414
273,0.9996617771799271,0.8168492249196754
274,0.9996617771799271,0.8178747555681712
275,0.9996617771799271,0.8149136720059695
276,0.9996617771799271,0.8277677576042012
277,0.9996617771799271,0.7690778727854143
278,0.9996617771799271,0.7992626796858094
279,0.9996617771799271,0.7774211684098897
280,0.9996617771799271,0.8289758988654728
281,0.9996617771799271,0.8332833278877723
282,0.9996617771799271,0.8303555758407684
283,0.9996617771799271,0.8801244268767144
284,0.9996617771799271,0.8634832687893244
285,0.9996617771799271,0.8492072217340829
286,0.9996617771799271,0.8500964796248627
287,0.9996617771799271,0.8506934901079777
288,0.9996617771799271,0.8379354795345577
289,0.9996617771799271,0.8280333827872495
290,0.9996617771799271,0.8374201082005506
291,0.9996617771799271,0.8768223924641282
292,0.9996617771799271,0.8884842995188467
293,0.9996617771799271,0.8901330019356415
294,0.9996617771799271,0.8891120565113274
295,0.9996617771799271,0.8849746145380025
296,0.9996617771799271,0.8880626718728201
297,0.9996617771799271,0.8903598556551233
298,0.9996617771799271,0.8762388338543051
299,0.9996617771799271,0.900692598352151
300,0.9996617771799271,0.8875992430210773
301,0.9996617771799271,0.8936404260851852
302,0.9996617771799271,0.9068973877584188
303,0.9996617771799271,0.9063655781198388
304,0.9996617771799271,0.8959739456714014
305,0.9996617771799271,0.8973543545812136
306,0.9996617771799271,0.9059027207503174
307,0.9996617771799271,0.884400870722472
308,0.9996617771799271,0.8755481898454823
309,0.9996617771799271,0.8692668451983953
310,0.9996617771799271,0.8023248534385988
311,0.9996617771799271,0.7967225993026977
312,0.9996617771799271,0.7846812450711468
313,0.9996617771799271,0.8024326267858758
314,0.9996617771799271,0.7790345486265476
315,0.9996617771799271,0.7711326351543201
316,0.9996617771799271,0.8028807133501872
317,0.9996617771799271,0.7937839405739785
318,0.9996617771799271,0.7881211002407504
319,0.9996617771799271,0.7750467838601646
320,0.9996617771799271,0.7088133318436772
321,0.9996617771799271,0.7119957904973498
322,0.9996617771799271,0.7090850602383187
323,0.9996617771799271,0.7009832654695367
324,0.9996617771799271,0.691005391535298
325,0.9996617771799271,0.6977784243032464
326,0.9996617771799271,0.7859168292795566
327,0.9996617771799271,0.7819319848637147
328,0.9996617771799271,0.7524932501365228
329,0.8295710406690922,0.766919856875294
330,0.5720234594179637,0.8754581224647994
331,0.7951437338267056,0.8785893722039072
332,0.7951437338267056,0.8950703978778634
333,0.8779760851919812,0.8929886634647086
334,0.8708564756560931,0.9174495274713236
335,0.8708564756560931,0.9157703755814819
336,0.8708564756560931,0.9125260446242673
337,0.7669478226035666,0.9051634393097634
338,0.7669478226035666,0.8953097620896548
339,0.5919237091681059,0.8918248732403867
340,0.7755547155031612,0.9134299828979224
341,0.7755547155031612,0.8856087376719902
342,0.7755547155031612,0.8895279199324064
343,0.7755547155031612,0.8727035926356734
344,0.7755547155031612,0.8824960030937398
345,0.8419161118235801,0.8851424826341336
346,0.8419161118235801,0.8898441288341166
347,0.8419161118235801,0.889737903112654
348,0.8419161118235801,0.893543987084617
349,0.7657320678305808,0.8953460002582123
350,0.8245117414248162,0.9061971492302973
351,0.8245117414248162,0.9042813078611779
352,0.8245117414248162,0.9006062658178063
353,0.8115207147792523,0.9011721056066493
354,0.8115207147792523,0.8913011533276489
355,0.8115207147792523,0.8898755908363648
356,0.8115207147792523,0.8778475644178274
357,0.8115207147792523,0.8759779441966448
358,0.9075088624047293,0.8811741618170341
359,0.9628291618270004,0.8875439026506055
360,0.9628291618270004,0.8855360614791363
361,0.9628291618270004,0.8792491905548641
362,0.9628291618270004,0.8409731127485827
363,0.8854247080629718,0.8774976554634891
364,0.8454613106978592,0.8878689691540047
