,FTMIGMI/FTMIGMI inst_corr,FTMIGMI/FTMIGMI hist_corr,NAGLAS/NDDLCA inst_corr,NAGLAS/NDDLCA hist_corr
136,0.9366684678223258,1.0,-0.027361243106537897,0.13667079460155535
137,0.9366684678223258,1.0,0.35723431091880714,0.14005015140681012
138,0.9366684678223258,0.9999999999999998,0.8131191357119983,0.14107350699747534
139,0.9366684678223258,0.9999999999999998,0.8673226367059017,0.27824274396103915
140,0.9366684678223258,1.0,0.6024986236571325,0.30601550984973275
141,0.9366684678223258,1.0,0.7846581856326338,0.3082018163441197
142,0.9366684678223258,1.0,0.415539261457938,0.18087057130082296
143,0.9366684678223258,1.0,0.17794678663833904,0.3749418150451437
144,0.9366684678223258,0.9999999999999998,0.4459010844352421,0.332514253752794
145,0.9366684678223258,1.0,0.4459010844352421,0.31436288608935475
146,0.9366684678223258,1.0,0.7560463996139891,0.3119971596326498
147,0.9366684678223258,1.0,0.2793026667788805,0.29895847615216253
148,0.9366684678223258,0.9999999999999999,0.31913562875276624,0.1840221354128285
149,0.9366684678223258,1.0,0.5184619747867008,0.3177350003573739
150,0.9366684678223258,1.0,0.14224130411506697,0.3080121242942403
151,0.998167125462933,0.9999999999999999,0.0608154748803746,0.2932969563016855
152,0.6435040776503599,1.0,0.13410445884017963,0.05061460077936672
153,0.65135297431783,1.0,0.26833107385649213,0.39141502351249335
154,0.65135297431783,1.0,0.4958240426842993,0.26115628753824205
155,0.65135297431783,0.9999999999999998,0.40379633074199867,0.2649304131717709
156,0.65135297431783,1.0,0.2019477410698464,0.2347082870971068
157,0.65135297431783,1.0,0.8880780614438645,0.23108005268572074
158,0.65135297431783,1.0,0.8880780614438645,0.2611384102336235
159,0.765035371905167,1.0,0.5502579438604399,0.2657176889352796
160,0.9014757472795476,0.9999999999999999,0.4097179271514555,0.275525496196499
161,0.9014757472795476,1.0,0.8575616259664011,0.3375538401709665
162,0.9014757472795476,1.0,0.8575616259664011,0.33635096995547914
163,0.9014757472795476,1.0,0.5261166444661683,0.3363596533784341
164,0.9014757472795476,0.9999999999999999,0.6723140445361598,0.3530603262324729
165,0.9014757472795476,1.0,0.33746988590197796,0.3518908245834957
166,0.9014757472795476,0.9999999999999999,0.43023644490758,0.34287601646178356
167,0.9014757472795476,1.0,0.7577828698109947,0.3564461356709066
168,0.9014757472795476,1.0,0.685226130121957,0.36223789046034377
169,0.9014757472795476,0.9999999999999999,0.2694078397615391,0.3453171324890593
170,0.9014757472795476,1.0,0.3424129663488506,0.3663971277064184
171,0.9014757472795476,1.0,0.5969229466826806,0.37738049460490924
172,0.9014757472795476,1.0,0.6202475109551973,0.37043525283024953
173,0.9014757472795476,1.0,0.30232131210604657,0.3412252660422312
174,0.9014757472795476,1.0,0.7155587004294552,0.4553015359035372
175,0.9014757472795476,1.0,0.6485327019188879,0.3458152036846891
176,0.9014757472795476,1.0,0.27870275966478286,0.39853136469616735
177,0.9014757472795476,0.9999999999999998,0.2248058716353046,0.3978251050968923
178,0.9014757472795476,1.0,0.7763067116371145,0.4354152516251489
179,0.9014757472795476,1.0,0.8603295989056005,0.4393924189240427
180,0.9014757472795476,0.9999999999999998,0.31451101130566145,0.48426637624773367
