,SENSEX/LF94TRUU inst_corr,SENSEX/LF94TRUU hist_corr
179,0.5102833060501055,0.19947962738262717
180,0.8494683176050497,0.17173028096338408
181,0.8649517647743059,0.18755986146086248
182,0.6376897286951972,0.19583047534292594
183,0.782136440466813,0.20355331625472506
184,0.7368721339283445,0.18928827585940441
185,0.29627737996886677,0.20318435531126952
186,-0.3528630448979629,0.20455516758976452
187,-0.4132874947697531,0.1333854466733966
188,-0.3276309772559507,0.08146983055646735
189,-0.5788485643999238,0.0698691268784633
190,-0.31705039736582163,0.05814264886260279
191,-0.17873678865228443,-0.09568523931337451
192,0.1366933879502583,-0.22103112035727143
193,0.8571707263823555,-0.17918184520299024
194,0.9336518991435176,-0.18016962985013318
195,0.08014886469450087,-0.02041939383392673
196,-0.2517444581236053,-0.0040574351983857174
197,0.10891772734990565,0.005125867725329502
198,0.5815088931819066,0.028342007985734274
199,0.4366118329276281,0.014621902678018665
200,0.4747460277490894,0.05669936112190235
201,0.8456631178660027,0.13670476637153678
202,0.8112426964198135,0.25956850026692035
203,0.16366181167846233,0.21214393488245564
204,-0.11198969093079486,0.1625431784750335
205,-0.13801626892762156,0.07591513396055692
206,-0.08399766678566101,0.0960143315227436
207,-0.18235382572026124,0.026979354280952335
208,0.15917253876825518,0.06362568832715519
209,0.28011435450909566,0.1403044300887957
210,0.3120361389156824,0.2143194138784208
211,0.32592311900634746,0.25859783143509124
212,0.4911696894228133,0.2678002425628288
213,0.6190951680123588,0.30401020012963204
214,0.40294334672447074,0.3030912629897826
215,0.5418033058394961,0.30748415687260533
216,0.766891905787515,0.3100571953038095
217,0.5576827913934516,0.2987094215006836
218,0.07703427141771238,0.38230460711941106
219,0.6748779106087656,0.36000842857016985
220,0.45540285952163834,0.3603565933574172
221,-0.030803873983269395,0.34483819942469746
222,0.6912138807347042,0.3001640159023351
223,0.8653877597474998,0.13337029518420335
224,0.13324807106844397,-0.06198765599865801
225,-0.41469040035842064,-0.08057342918415494
226,-0.3052814177022542,-0.10983034299163193
227,0.0012515115127656653,0.010857785834825336
228,-0.0681270866727503,-0.08529894400066797
229,0.3800381807753306,0.12230134399640416
230,0.6166476577459435,0.012358906778424363
231,0.7708347991892013,-0.03144418060669187
232,0.3354162343384633,-0.03990946395513985
233,0.5645718766751238,-0.06906673843353654
234,0.7039286319618113,-0.04997875310605225
235,-0.44828493842356326,-0.07421469086632303
236,-0.2820571358645328,-0.15288363405308392
237,-0.027288630660952308,-0.2188699102470316
