,FTMIGMI/LBUSTRUU inst_corr,FTMIGMI/LBUSTRUU hist_corr
164,0.5714273786602092,0.6806710352702118
165,0.7323243797661093,0.668599690363541
166,0.4823576260503197,0.6483847970496811
167,0.9082747718999923,0.6482997884439701
168,0.9082747718999923,0.659088575506653
169,0.7245259280408644,0.6461552486312397
170,0.9486832035859196,0.6519052831850622
171,0.8305432744034064,0.6362411848262763
172,0.6023305618089209,0.6216859239487598
173,0.6023305618089209,0.6280836074214395
174,0.6023305618089209,0.6163741869003903
175,0.9498181226574949,0.5554688661816226
176,0.9498181226574949,0.5804930767620028
177,0.9498181226574949,0.548320979478029
178,0.9498181226574949,0.38082938487708895
179,0.9498181226574949,0.3746217275360919
180,0.9498181226574949,0.4361414131187269
181,0.9498181226574949,0.503948095363451
182,0.7885317658633216,0.40133918257212203
183,0.5540213541917323,0.43106149899410434
184,0.6952679696894287,0.4286566500491161
185,0.56919088030164,0.4089131530546211
186,0.937054164356026,0.47067901911240373
187,0.937054164356026,0.49128335650144717
188,0.9938573707202314,0.5354430807082711
189,0.9938573707202314,0.5571131304430285
190,0.9938573707202314,0.5609639649734712
191,0.9938573707202314,0.5594509427195933
192,0.9938573707202314,0.5812633360520155
193,0.9081412629648016,0.5741215882425746
194,0.6668161448801866,0.5693375113938952
195,0.6668161448801866,0.5133033687881208
196,0.6668161448801866,0.47054532654347025
197,0.7844329295611187,0.5059282115673844
198,0.7844329295611187,0.5288312192212994
199,0.7844329295611187,0.5244206644225012
200,0.7844329295611187,0.523418598410052
201,0.8078777974672187,0.4920000599695432
202,0.550336745633133,0.4804136578222637
203,0.4607849403131721,0.4881176447389598
204,0.5088962056849405,0.4474591150750431
205,0.5636021851931982,0.3304577585857833
206,0.7999087313363092,0.42217223996588127
207,0.7999087313363092,0.4454896695736157
208,0.6485525993651217,0.4259719289535582
209,0.6485525993651217,0.46610379113437855
210,0.6485525993651217,0.4553612466829707
211,0.7513591947318701,0.39411087823649765
212,0.7758249568650597,0.36763539363038494
213,0.6490371921810407,0.35217209310223796
214,0.644144020225283,0.382849847040067
215,0.644144020225283,0.42178115800811583
216,0.644144020225283,0.4896538668309736
217,0.8937601442405964,0.4563231427647816
218,0.6428435390223369,0.4267703810774566
219,0.7191264526749198,0.4241925399214455
220,0.9019732090414998,0.4543594771702208
221,0.9019732090414998,0.49373255099536556
222,0.8135467573508901,0.5021434651460112
223,0.8135467573508901,0.6291236502272002
224,0.8135467573508901,0.6986228752161378
225,0.7799499012963753,0.6676525681880146
226,0.7799499012963753,0.6550643387057886
227,0.7799499012963753,0.7374457081036155
228,0.7799499012963753,0.73268117981345
229,0.7799499012963753,0.7169790112604796
230,0.7799499012963753,0.7125221743577886
231,0.7799499012963753,0.6763523272879863
232,0.6656491343626001,0.6728011747126477
233,0.636955030911687,0.7331993708583058
234,0.636955030911687,0.6540500197837942
235,0.636955030911687,0.6803637530258985
236,0.6052989885766994,0.6436835506454675
237,0.9268214610471608,0.676216706127555
238,0.9268214610471608,0.6627766575627106
239,0.9268214610471608,0.667672466627796
240,0.9268214610471608,0.7299090189133421
241,0.9268214610471608,0.7421422682442507
242,0.9268214610471608,0.7146755783086335
243,0.9268214610471608,0.6911760205532749
244,0.9268214610471608,0.6814814983984693
245,0.9036242943804923,0.5978022738848165
246,0.7250545732178891,0.6329371190658363
247,0.5131461093064197,0.6548265260279025
248,0.8775358617260454,0.7111942657940845
249,0.8775358617260454,0.7331349055008317
250,0.5634263316779402,0.6497219486247625
251,0.7529927571782936,0.6649547206694763
252,0.9034825681306689,0.6652727270986969
253,0.5650606009003716,0.676483790734815
254,0.5981641656937252,0.6976656586446642
255,0.8350771228437657,0.6727109052933954
256,0.9338917201942745,0.7353701129659447
257,0.9338917201942745,0.7431201797816182
258,0.9338917201942745,0.7403615777532006
259,0.9338917201942745,0.707043911893182
260,0.9646126429936223,0.6899632827911577
261,0.5703041885704916,0.6975026594475427
262,0.9446896749091785,0.7340446693427882
263,0.9446896749091785,0.7275556227232124
264,0.9446896749091785,0.7291072711958837
265,0.9446896749091785,0.7371320063173371
266,0.9446896749091785,0.7424384655916036
267,0.9446896749091785,0.7315752022678091
268,0.9446896749091785,0.715666872750496
269,0.9446896749091785,0.711882765778179
270,0.9446896749091785,0.6638908905688689
271,0.9446896749091785,0.6617211910322883
272,0.9446896749091785,0.7111779371769041
273,0.9446896749091785,0.6863165084888487
274,0.9446896749091785,0.6742577666396168
275,0.9446896749091785,0.6589986758749635
276,0.9446896749091785,0.6068572176201845
277,0.9446896749091785,0.5968777012038728
278,0.9446896749091785,0.6168909373267635
279,0.8455102242752672,0.5212107520760356
280,0.904251806416056,0.6926114443573436
281,0.904251806416056,0.6905676031415882
282,0.904251806416056,0.7544463267490388
283,0.904251806416056,0.7593410674542637
284,0.904251806416056,0.6722904512231632
285,0.6845482995316043,0.6297756268982287
286,0.5206893400699492,0.6877957444126623
287,0.7688075964408871,0.7681151273776995
288,0.9939008981122757,0.7457358609960646
289,0.7268693648229378,0.7421581210783985
290,0.7268693648229378,0.6924121188445612
291,0.7268693648229378,0.6924045924477311
292,0.8653732983002219,0.6982849941933245
293,0.7938292779370006,0.7060157281778379
294,0.7938292779370006,0.7157126967483741
295,0.7938292779370006,0.7281606253342967
