,LG30TRUU/SENSEX inst_corr,LG30TRUU/SENSEX hist_corr
174,0.03688450339329565,0.23586086019046618
175,0.5939595137799994,0.2154276023126358
176,0.6379227020667368,0.21065370056727334
177,0.47508958607641655,0.18931039760438884
178,0.5896869242502897,0.21433185587187614
179,0.5896869242502897,0.26713435258940205
180,0.5896869242502897,0.2651636826102683
181,0.5868422301591665,0.27529725909888686
182,0.05498377655159656,0.22703888142482223
183,-0.26435633768400923,0.16055627309204826
184,0.08377443206818308,0.1549942754133248
185,0.4232142884212474,0.1419074802276243
186,0.46900328865253565,0.12332722883393507
187,-0.0985925114762596,0.016421274078916616
188,-0.14663440805965614,-0.03806869010475749
189,-0.14663440805965614,-0.03181140352706994
190,0.7332188067296251,0.17798186582078263
191,0.2402679765007361,0.22602333662621676
192,0.053222792507987546,0.16140290176054506
193,0.6097975321072718,0.23087775838799726
194,0.5987423445239111,0.19788427694437238
195,0.17467305031939173,0.24023466698116816
196,0.34029482649287224,0.24655169974011437
197,0.34029482649287224,0.32931499468246767
198,0.34029482649287224,0.406969491290221
199,0.4118616383259924,0.40271550246783333
200,-0.2835581456683011,0.3236709265460534
201,-0.3651287614853712,0.1935773037645293
202,-0.0665721779852002,0.21164594186965052
203,-0.059698926942637155,0.1340433649958396
204,0.2557744931162183,0.17327637219886258
205,0.7186104518902191,0.21580811795421906
206,0.5498571967311889,0.24986515162223996
207,0.5786795278866983,0.2822549887925174
208,0.5204948074906037,0.24385243767672116
209,0.8939596436153845,0.277098854448415
210,0.8196305300135021,0.3038715115428761
211,0.7536706022089019,0.3119708199357289
212,0.7536706022089019,0.3143836091123683
213,0.9681967668775915,0.31478633323574545
214,0.4928236847550499,0.37047966909562213
215,0.4928236847550499,0.32060809505846316
216,0.6317818369456201,0.31688603009190397
217,0.16041944657091342,0.31132897039995333
218,0.4501532415989785,0.24822798783505248
219,0.6825305372945561,0.055088256426700316
220,0.5900972431038177,-0.03975736591586473
221,0.28882649522902853,-0.06726255192573745
222,0.31991679991419497,0.018946938240027706
223,0.14985802181802196,0.150006046669794
224,0.051371390943948964,0.08341027291604658
225,0.5050914799846824,0.24979372951895773
226,0.7962870345299061,0.188022632211812
227,0.20053747403342728,0.1739837199273883
228,0.16874459199124892,0.06159248649283847
229,0.6651427734591222,0.1467851114145719
230,0.6651427734591222,0.12379494514813398
231,0.481537592714006,0.1397748365424532
232,-0.016316245511361283,0.08818289224413972
233,0.27118598155899987,0.05361092186447692
234,0.29073238375242744,0.017391752469155013
235,0.18352469721192083,0.008901258798092088
236,0.40646046124234336,0.034086923466435486
237,0.26571999391736006,0.048766140580032404
238,0.1506594912691484,-0.00802186749941628
239,0.5004834653751654,0.02183929268129658
240,0.4775496844611345,0.0016053483736489867
241,0.6911034621868667,0.01264097584761163
242,0.03775898225554133,-0.054886617961030046
243,-0.5288701010487775,-0.11550867767710386
244,-0.580935197212147,-0.14223899620745425
245,0.24723577164556673,-0.17697109917221973
246,0.6899780929944329,-0.1300384150769033
247,0.8066139164161252,-0.06348966325092469
248,0.6443458549130843,-0.08397305153716302
249,0.8939179159979387,-0.09088554089295277
250,0.8939179159979387,-0.07053989065563725
251,0.8939179159979387,-0.17070397506635024
252,0.6863831080229411,-0.18057121075828922
253,0.37194458460735036,-0.23145959733551102
254,0.8952971304276074,-0.20770008054984618
