,SPXT/SPX inst_corr,SPXT/SPX hist_corr,SPXT/LG30TRUU inst_corr,SPXT/LG30TRUU hist_corr,SPX/LG30TRUU inst_corr,SPX/LG30TRUU hist_corr
203,0.6592829024623608,0.9999823587588704,0.6337974976779817,0.9032576300410993,0.6325348845932045,0.9023307000425964
204,0.6592829024623608,0.999983158248226,0.6337974976779817,0.9058602546871111,0.6325348845932045,0.9049483322359165
205,0.6592829024623608,0.9999827604185844,0.6337974976779817,0.9085733943741692,0.6325348845932045,0.9076507985383804
206,0.6592829024623608,0.9999883064219441,0.6337974976779817,0.9100770563575514,0.6325348845932045,0.9091415818726163
207,0.6592829024623608,0.9999880834579057,0.6337974976779817,0.9129051836054471,0.6325348845932045,0.9120291822227408
208,0.6592829024623608,0.9999877840403099,0.6337974976779817,0.9127545208804564,0.6325348845932045,0.9118887638169482
209,0.6592829024623608,0.9999869606690075,0.6337974976779817,0.9094038291315737,0.6325348845932045,0.9086102768244455
210,0.6592829024623608,0.9999873640848694,0.6337974976779817,0.9104068431507014,0.6325348845932045,0.9096384095805472
211,0.6592829024623608,0.9999871950097271,0.6337974976779817,0.9091876433327296,0.6325348845932045,0.9084516066830063
212,0.6592829024623608,0.9999855962250731,0.6337974976779817,0.8922431762904995,0.6325348845932045,0.8914112331091715
213,0.6592829024623608,0.9999832887441528,0.6337974976779817,0.8791515092400553,0.6325348845932045,0.8782238720902571
214,0.6592829024623608,0.999980111149712,0.6337974976779817,0.8872540343147515,0.6325348845932045,0.8865413915072109
215,0.6592829024623608,0.9999778582628466,0.6337974976779817,0.907926222928848,0.6325348845932045,0.9069940830574122
216,0.6592829024623608,0.9999810546495586,0.6337974976779817,0.9369263381840952,0.6325348845932045,0.9365479186117142
217,0.6592829024623608,0.9999793007952966,0.6337974976779817,0.9553846521002389,0.6325348845932045,0.9550346786582892
218,0.6592829024623608,0.9999737054382521,0.6337974976779817,0.9469066982896192,0.6325348845932045,0.9463813738983731
219,0.6592829024623608,0.99997087051199,0.6337974976779817,0.937734389757181,0.6325348845932045,0.9374489831767827
220,0.6592829024623608,0.9999682022540661,0.6337974976779817,0.9304051553170891,0.6325348845932045,0.9303703041190046
221,0.6592829024623608,0.9999688407154306,0.6337974976779817,0.9279311591693526,0.6325348845932045,0.927919751081003
222,0.6592829024623608,0.9999551702583828,0.6337974976779817,0.898839439454536,0.6325348845932045,0.8987058286669621
223,0.6592829024623608,0.9999792009406437,0.6337974976779817,0.8974051935519451,0.6325348845932045,0.898516999287301
224,0.6592829024623608,0.9999660499178533,0.6337974976779817,0.8809270916731692,0.6325348845932045,0.8815487294236478
225,0.6592829024623608,0.999927225599913,0.6337974976779817,0.8454202278553642,0.6325348845932045,0.8435087318926316
226,0.6592829024623608,0.9999242783663941,0.6337974976779817,0.8155652509245178,0.6325348845932045,0.8137696390903171
227,0.6592829024623608,0.9999280456937112,0.6337974976779817,0.8230579729394132,0.6325348845932045,0.8214280619739991
228,0.6592829024623608,0.99990900903805,0.6337974976779817,0.8212634969588388,0.6325348845932045,0.8192834007762125
229,0.6592829024623608,0.9998849346728184,0.6337974976779817,0.8060008243013342,0.6325348845932045,0.8033873688095976
230,0.6592829024623608,0.9998902110476856,0.6337974976779817,0.7988634238977633,0.6325348845932045,0.7962409309636687
231,0.6592829024623608,0.9998890481146135,0.6337974976779817,0.7758357443334851,0.6325348845932045,0.772483125242653
232,0.6592829024623608,0.9998787481089654,0.6337974976779817,0.7668853053596478,0.6325348845932045,0.7633221731448689
233,0.6592829024623608,0.999880490237656,0.6337974976779817,0.7646500752481321,0.6325348845932045,0.7605535654185458
