,FTMIGMI/SPAEREDT inst_corr,FTMIGMI/SPAEREDT hist_corr
162,0.36951100199731535,0.5965270902426748
163,0.010580355233900848,0.6028928174758665
164,-0.5659402569514673,0.5195756285402091
165,0.007338158767501384,0.4676634353029028
166,0.5960632806446008,0.5445480786083449
167,0.9775240242246355,0.5389064441243602
168,0.7407513285586187,0.5459908300812925
169,0.4452954952850325,0.561789472860714
170,0.5857811106520195,0.5775641971498533
171,0.4301018172599073,0.5725476623168134
172,-0.11457611942252373,0.5259698781214289
173,-0.4093382806998654,0.45899942090766116
174,0.13209195110633287,0.40771877933482215
175,0.5249518549746862,0.23230642291562945
176,0.3164636140960369,0.23551495142942686
177,0.42358101145808374,0.2010083836984837
178,0.23517098992027696,0.2885848446989205
179,-0.13956924772414936,0.25061149062338717
180,0.09051008138633536,0.26566064580870336
181,0.4640649268200503,0.31244911940455583
182,0.5278176749906552,0.2945070281175558
183,0.20597816807283242,0.3078624729030636
184,-0.21151475078668053,0.30835141491584567
185,0.38497286964590643,0.28808324170777133
186,0.7492689924040923,0.48667117290571604
187,0.7069720113246525,0.5170284909549243
188,-0.06185444691515618,0.4232614745590175
189,-0.3843554569147485,0.25532825389746416
190,-0.6063386520418759,0.23021230550632066
191,0.19819494719128591,0.14810918836249598
192,0.31780087962345555,0.1433572816051161
193,0.08568072779966913,0.08874744220320448
194,0.29162795973524064,0.15115957002557526
195,0.5347678923466802,0.31040317172978965
196,0.7448509496635787,0.3107780527727376
197,-0.22507984752937615,0.2845924859196497
198,-0.49840836863760535,0.1848384007278003
199,-0.4279764209449882,0.11975752223994197
200,-0.8112886679786999,0.09687686562522531
201,-0.5874321670544749,0.09092495611589334
202,-0.26913587496406655,0.06406004711743629
203,-0.059485527949344835,0.08661165693924251
204,0.12237224343104107,0.02313162178606965
205,0.6960410967077182,0.03338609520839956
206,0.593221996236468,0.10906170638670049
207,0.2869595723909168,0.10273140978286577
208,0.056902119286732285,-0.11719465839380273
209,0.27726116082176055,-0.12519652125571568
210,0.3817813291537416,-0.1301031284450081
211,0.3754405360220767,0.1520483456512266
212,0.7756438281112896,0.1370552180408226
213,0.6627380247326767,0.14426979822551722
214,0.1414972210448632,0.13027584057360733
215,0.009279331173867433,0.15551422822986824
216,-0.4712077103431447,0.15499707862035456
217,-0.6371101323728856,0.0724250444793214
218,-0.26998797742880776,-0.02316916375189342
219,0.26635737643168844,-0.03851579833775058
220,0.5974472599022645,0.11060994186978572
221,0.603430936602995,0.11476569823232065
222,0.603430936602995,0.12336619501190012
223,0.35622892764618014,0.23558897667634907
224,-0.1616447192861182,0.20723894747459068
225,-0.30380287528821237,0.20049681408501066
226,0.288262815175106,0.19450057981922952
227,0.39558249371830223,0.2013478353538855
228,-0.00013564581207400412,0.14957537180055627
229,-0.30470539507649375,0.1141889940983555
230,-0.16488363205286233,0.1363408155706925
231,0.6059002430790776,0.14976266481076747
232,0.7803138900474281,0.11272566618742964
233,0.13890713727162085,0.04154877257538864
234,-0.5075835470510034,-0.06724700218472193
235,-0.761184315105584,-0.07948037273331697
236,-0.2839627505618082,-0.1432170629470633
237,0.09450882835955118,-0.10818773941476797
238,0.07863321988262229,-0.0799808168095981
239,-0.6941583572508443,-0.1286876491633477
240,-0.5443061346971136,-0.10955863211996614
241,0.2723623283234972,-0.07781295340624202
242,0.16317594815025804,-0.1676869635551772
243,-0.09681045868310827,-0.16154231551011367
244,-0.42971222158205863,-0.17129177949833682
245,-0.4301074074268862,-0.342575121580568
246,-0.23149168156459138,-0.3403997727657965
247,-0.20985004655431483,-0.32825414928551006
248,-0.2921240511723503,-0.37234898868859906
249,0.027397140928034663,-0.3472559715659853
250,0.7269776989230653,-0.32236512338651463
251,0.22628393836851485,-0.23697053121543446
252,-0.2906107419550067,-0.29699852960435796
253,-0.3554880017710828,-0.29322250944208295
254,-0.5205037480359214,-0.322045440729437
255,-0.3714492060141847,-0.3543255155564272
256,-0.11545874866172864,-0.29032107878434105
257,-0.16048463664690926,-0.2895140900898173
258,-0.21830844227146134,-0.20981220299597272
259,-0.1276859421134161,-0.19663178686668814
260,-0.3025488196606983,-0.18007270519767393
261,-0.5289451575081929,-0.0005521804023479562
262,-0.6038292623430181,-0.3203778463841628
263,-0.5657305110939622,-0.3765630042649507
264,-0.16190874954980608,-0.36011802032796625
265,0.10369184870659677,-0.380334743729299
266,0.6169839158065179,-0.3990223867579384
267,0.573082673485873,-0.3613296029504109
268,0.758161531699093,-0.3510032761981122
269,0.055716820574739645,-0.3770901517109355
270,-0.6354225108538111,-0.36068365516896245
271,-0.5120440579695829,-0.39786609467607353
272,0.06538503747246498,-0.451479000881757
273,0.07258332093040376,-0.508794912378177
274,-0.09447249787924615,-0.4598253337341158
275,0.08533606903012039,-0.43647862704412244
276,0.7583723582128619,-0.4057232002473287
277,0.3440222432789637,-0.37748710413413533
278,0.08559193438848672,-0.46992113427227433
279,-0.0985104241469276,-0.401099785653106
280,-0.002632263388538711,-0.34881588333423663
281,0.3672065219958337,-0.2943250315058121
282,0.3757951703487477,-0.29600376353730923
283,0.4385490742705444,-0.3318608447580419
284,0.3804737883494687,-0.03527475841415866
285,0.5952342655972919,-0.04108163715498531
286,0.47702404195332176,0.12685452385941942
287,0.3511302485222839,0.09217115653817357
288,0.16246986708904232,0.09804505379487727
289,-0.07912505866992202,0.02658998968071341
290,-0.245205248606545,0.0242331540155869
291,-0.245205248606545,0.03358098931091011
292,-0.9135330693341395,0.0107920899527188
293,-0.4081767919675473,-0.011653805884112037
294,-0.2892010266498576,-0.05010178603032878
295,-0.035810282259015565,-0.0303242048230086
296,-0.13259777652865587,-0.029916218947902775
297,-0.3730157167217194,-0.09780313520312067
298,-0.3601413563147709,-0.10103789814115252
299,0.24569497577279123,-0.10733383635793234
300,0.3751308134881492,-0.09258009126891459
301,0.09314672729173774,-0.09108477746828711
302,-0.07654759653715747,-0.06670399791224448
303,-0.3031482803071036,-0.15895920450116488
304,-0.37095710633013623,-0.22260012357344242
305,-0.5025153014511674,-0.24247327713648056
306,-0.6810927718488783,-0.2731460516477812
307,-0.5074650929482704,-0.32719039866152094
308,-0.5907914935773146,-0.4487018612240848
309,0.12982506800149543,-0.5055646642315392
310,0.30074029450086853,-0.4169043471497637
311,-0.2048242873790554,-0.43551316853358585
312,-0.670171845743499,-0.49660730209373205
313,-0.620601813830613,-0.5053981878155402
314,-0.49916686846745184,-0.5316885186394449
315,-0.07337234397461573,-0.47766264702742145
316,0.7818034834802455,-0.3523922089089443
317,0.6762990732280519,-0.2656213759937149
318,0.29591274790582944,-0.2608738047822652
319,-0.1507193091310454,-0.26846922740815116
320,-0.11498920302572115,-0.2127361652251402
321,0.00787966332864772,-0.22522643158003525
322,-0.3203166026510667,-0.23054914467931809
323,-0.47683251255399417,-0.30814552814233
324,-0.15258861335700888,-0.3200219909998121
325,0.08373477591524008,-0.23824561979367087
326,-0.09299870861795732,-0.2490400015277669
327,-0.33381878638448376,-0.25450276017886453
328,0.13594225137975888,-0.23576375545428524
329,0.5702084307269488,-0.1598669839737539
330,0.5529833155324496,0.18981883420383888
331,0.3836594741547673,0.12435670726346061
332,0.18379083995632425,0.07882584505858277
333,0.5648614312965695,0.1880397117936727
334,0.409183298027315,0.21398165693935192
335,0.07270360726907141,0.19604192312998267
336,-0.06206776293043159,0.3401778163160393
337,0.08548674173794925,0.28434648341907587
338,0.3033976712241949,0.309695107261593
339,-0.044353374941606544,0.253710681469117
340,-0.08891256452026494,0.2654312597669644
341,0.5056071818001501,0.3041514192136351
342,0.2911389826150683,0.2755240508130079
343,-0.6783477555287173,0.2733538562890941
344,-0.4985418382515106,0.1721938921147574
345,-0.3059968718378861,0.18684614978064593
346,-0.5375938803963894,0.14753962455229236
347,-0.5476792804524704,0.12311150093805301
348,0.013129466078762593,0.15473925169685127
349,0.5657864929163371,0.17870780392388932
350,0.4913872460905542,0.18017228446385178
351,-0.15201597857198976,0.15090441789765735
352,-0.461552036769967,-0.0867771080050432
353,-0.461552036769967,-0.015894668963230902
354,-0.7728834780593514,-0.021988700233656264
355,-0.350794062027746,-0.15256168899199526
356,0.10687770565498926,-0.13121555930638276
357,0.6829001645868608,-0.13028770894133404
358,0.18964609439665892,-0.10603100632938302
359,-0.15675193345152258,-0.087678872196593
360,0.04302035349436725,-0.21145210682838306
361,0.5434740315447267,-0.1581324032362002
362,0.5159891073825522,-0.16303108236723737
363,0.022520137304776554,-0.30445231537236644
