,FTMIGMI/TWSE inst_corr,FTMIGMI/TWSE hist_corr
175,0.6206096997884161,0.789824687752639
176,0.6206096997884161,0.7868196418587537
177,0.9779216261580518,0.7716462196880293
178,0.9779216261580518,0.7715683759259587
179,0.9779216261580518,0.7753545918648478
180,0.9779216261580518,0.8062454141097298
181,0.9779216261580518,0.8064044661771577
182,0.9779216261580518,0.8175461329750154
183,0.7740717513846269,0.8242938144162579
184,0.7740717513846269,0.8248708052938738
185,0.7740717513846269,0.822645583657494
186,0.7740717513846269,0.8299858927301536
187,0.7740717513846269,0.8385356038641192
188,0.7740717513846269,0.8277942699933314
189,0.7740717513846269,0.8703094259538195
190,0.7740717513846269,0.9034465766838858
191,0.7740717513846269,0.9038194471892675
192,0.5414437257611935,0.8893027492774273
193,0.5414437257611935,0.9017959849920223
194,0.5414437257611935,0.8229137080256984
195,0.7196050527378347,0.7897923992322416
196,0.7196050527378347,0.7946193152683743
197,0.7196050527378347,0.767766037026421
198,0.7196050527378347,0.7671184236585348
199,0.7196050527378347,0.7863999686885575
200,0.7196050527378347,0.7569875049974154
201,0.7196050527378347,0.7141569455850685
202,0.7196050527378347,0.6610726562010556
203,0.7196050527378347,0.6566584593821628
204,0.7196050527378347,0.6419588166265588
205,0.7196050527378347,0.6348569031176728
206,0.902727943689366,0.5728609710527977
207,0.7532441369129245,0.48198903602217086
208,0.9148679833813956,0.4954306205553393
209,0.9148679833813956,0.5277973831210228
210,0.9148679833813956,0.5873777660302562
211,0.9148679833813956,0.6211275311655498
212,0.9388893642640046,0.6295451865075129
213,0.9388893642640046,0.6099602469868587
214,0.9388893642640046,0.6029668686915234
215,0.9388893642640046,0.5440664407603693
216,0.9388893642640046,0.5707280204748446
217,0.9388893642640046,0.5779173662454906
218,0.9388893642640046,0.5629985229014717
219,0.9388893642640046,0.5748198016700607
220,0.9388893642640046,0.5813792945194707
221,0.9388893642640046,0.5875005083876794
222,0.9388893642640046,0.603168724793462
223,0.9388893642640046,0.6634552847582651
224,0.9388893642640046,0.6836643082006717
225,0.9388893642640046,0.6901225178175742
226,0.9388893642640046,0.6975656998622646
227,0.9388893642640046,0.7086143044330944
228,0.9388893642640046,0.7197660800643151
229,0.9388893642640046,0.7780491153539449
