,M1EF/FTMIGMI inst_corr,M1EF/FTMIGMI hist_corr,GBIEMDCW/GBIEMDCW inst_corr,GBIEMDCW/GBIEMDCW hist_corr
140,0.9366684678223258,1.0,4.1293900773397985,1.0
141,0.9366684678223258,1.0,4.1293900773397985,0.9999999999999998
142,0.9366684678223258,1.0,4.1293900773397985,1.0
143,0.9366684678223258,1.0,4.1293900773397985,1.0
144,0.9366684678223258,0.9999999999999998,4.1293900773397985,1.0
145,0.9366684678223258,1.0,4.1293900773397985,1.0
146,0.9366684678223258,1.0,4.1293900773397985,0.9999999999999999
147,0.9366684678223258,1.0,4.1293900773397985,0.9999999999999999
148,0.9366684678223258,0.9999999999999999,4.1293900773397985,0.9999999999999999
149,0.9366684678223258,1.0,4.1293900773397985,1.0
150,0.9366684678223258,1.0,4.1293900773397985,1.0
151,0.998167125462933,0.9999999999999999,4.1293900773397985,1.0
152,0.6435040776503599,1.0,4.1293900773397985,1.0
153,0.65135297431783,1.0,4.1293900773397985,0.9999999999999999
154,0.65135297431783,1.0,4.1293900773397985,1.0
155,0.65135297431783,0.9999999999999998,4.1293900773397985,1.0
156,0.65135297431783,1.0,4.1293900773397985,1.0
157,0.65135297431783,1.0,4.1293900773397985,1.0
158,0.65135297431783,1.0,4.1293900773397985,0.9999999999999999
159,0.765035371905167,1.0,0.9417607031311318,0.9999999999999998
160,0.9014757472795476,0.9999999999999999,0.8004804299782403,1.0
161,0.9014757472795476,1.0,0.8004804299782403,0.9999999999999998
162,0.9014757472795476,1.0,0.8004804299782403,1.0
163,0.9014757472795476,1.0,0.6816131007360773,0.9999999999999998
164,0.9014757472795476,0.9999999999999999,0.742253564211162,0.9999999999999999
165,0.9014757472795476,1.0,0.742253564211162,0.9999999999999999
166,0.9014757472795476,0.9999999999999999,0.742253564211162,1.0
167,0.9014757472795476,1.0,0.742253564211162,1.0
168,0.9014757472795476,1.0,0.742253564211162,1.0
169,0.9014757472795476,0.9999999999999999,0.9357504502685716,1.0
170,0.9014757472795476,1.0,0.9357504502685716,1.0
171,0.9014757472795476,1.0,0.9357504502685716,1.0
172,0.9014757472795476,1.0,0.9357504502685716,1.0
173,0.9014757472795476,1.0,0.9357504502685716,1.0
