,GBIEMDCW/M1EF inst_corr,GBIEMDCW/M1EF hist_corr,LGER/CAC inst_corr,LGER/CAC hist_corr
142,0.706259243621356,-0.022643511586268816,0.9429508229988015,0.9323256204808267
143,0.706259243621356,0.19331890329836451,0.9429508229988015,0.9176852929836127
144,0.706259243621356,0.3512347936405804,0.9429508229988015,0.9206361092310574
145,0.706259243621356,0.4225733749880622,0.9429508229988015,0.9053578938376767
146,0.706259243621356,0.4488578059507161,0.9429508229988015,0.8657589394779379
147,0.706259243621356,0.4543458411619678,0.9429508229988015,0.8748892375102653
148,0.9407989535217024,0.44164505821858097,0.9429508229988015,0.8729919229845625
149,0.4542083266246892,0.42221545577444775,0.9429508229988015,0.8548974378485837
150,0.6942821841196347,0.5205774162952546,0.9429508229988015,0.8552254083434009
151,0.6942821841196347,0.5391179726464432,0.9429508229988015,0.8606418568171577
152,0.9027990967092868,0.5175264829679513,0.9429508229988015,0.8543318233266305
153,0.9027990967092868,0.4556880391484302,0.8371966818418093,0.8423114769675482
154,0.9027990967092868,0.468476383082332,0.6150493682417243,0.8613042509922484
155,0.9027990967092868,0.5641327401245335,0.5991519451337717,0.8109534832677646
156,0.5339453784076899,0.5312280462731747,0.8412740126791078,0.8419619401673663
157,0.5339453784076899,0.5220272561589808,0.9391128797444473,0.8712864035451982
158,0.5339453784076899,0.5170261688624554,0.7674178312156879,0.8935538711462194
159,0.7614878001446407,0.6363709044027621,0.7674178312156879,0.8974338262591399
160,0.4387887218693559,0.733053349610156,0.7674178312156879,0.9095000692274696
161,0.4030217183327709,0.6218141559818153,0.7674178312156879,0.9083807308587776
162,0.2661662558149344,0.5955039660671263,0.7674178312156879,0.9153213557484339
163,0.47389832334453347,0.5674261417981027,0.8786323781575122,0.8998406100089906
164,0.7929220947835499,0.6237594659354702,0.8786323781575122,0.9044020826021103
165,0.7929220947835499,0.6328302628804797,0.8786323781575122,0.9136045976549384
166,0.4333363702373615,0.611925379644671,0.8786323781575122,0.9192075097913031
167,0.020158503432834023,0.49463160396835676,0.8786323781575122,0.917889731199306
168,0.1834704248882936,0.531129363037211,0.8786323781575122,0.9331465257475106
169,0.33157884391079134,0.4717956809319039,0.8786323781575122,0.931991514562104
170,0.4697191525707998,0.47728454700618667,0.8786323781575122,0.9362225684017389
171,0.12143577201381106,0.4758952520873271,0.8786323781575122,0.9369526770524963
172,0.5231567568566827,0.4612833348481908,0.8786323781575122,0.9370781042118472
173,0.6940592276951554,0.46371922907712765,0.6692690658591764,0.9319969872835258
174,0.8233106851062889,0.47449877688118103,0.8487210990931279,0.9375267486151658
175,0.8233106851062889,0.4584670604725287,0.8487210990931279,0.940950605290776
176,0.8233106851062889,0.44031939798822434,0.8487210990931279,0.937044596236903
177,0.8233106851062889,0.4430432967896855,0.8487210990931279,0.9394493632089524
178,0.8233106851062889,0.4523564793264844,0.9791279506135008,0.9297321340591662
179,0.8233106851062889,0.4312944746042841,0.9791279506135008,0.9212527258870472
180,0.8233106851062889,0.4581519381928386,0.9791279506135008,0.8946615486898718
181,0.8233106851062889,0.4250163851756626,0.9791279506135008,0.8846789047045971
182,0.8233106851062889,0.4020563315105985,0.9791279506135008,0.8706316129490869
183,0.8233106851062889,0.4408547770444193,0.9791279506135008,0.8688941626905493
184,0.8233106851062889,0.4466383709246094,0.9791279506135008,0.8609645472197026
185,0.8233106851062889,0.39501863731087467,0.9791279506135008,0.9007574475044273
186,0.8233106851062889,0.13537710742218612,0.9791279506135008,0.9017505652791209
187,0.8233106851062889,0.1338532942851308,0.9791279506135008,0.8967332321958674
188,0.8233106851062889,0.1742370945332012,0.7729715408885722,0.9051397505589133
189,0.9556027799355912,0.43043106554886895,0.8754672579428784,0.9181089161978258
190,0.3943531406287698,0.2699319686743539,0.8754672579428784,0.9194648638751919
191,0.05105386966272663,0.39610286191343597,0.8754672579428784,0.9252583039397919
192,0.406212702806403,0.28612091635416476,0.8754672579428784,0.9187837213753197
193,0.8947366132759726,0.506427412964069,0.8754672579428784,0.9239838727069968
194,0.9656211289090527,0.5259970186263706,0.8754672579428784,0.9216689038513349
195,0.40720839909999385,0.47413913758958426,0.8754672579428784,0.9215361279319013
196,0.262808040481531,0.3538973625521112,0.8324780101819615,0.9334724924196612
197,0.5311712925742534,0.3926448673089327,0.9842261973354108,0.9394713826664522
198,0.5311712925742534,0.36095546208889806,0.9842261973354108,0.9400957695027163
199,0.5311712925742534,0.3607523034261595,0.9842261973354108,0.948422741936159
200,0.871994573716975,0.3306918930450646,0.9842261973354108,0.9543366455313299
201,0.9226296320879369,0.36298635804886686,0.9842261973354108,0.9579772985959555
202,0.8192520783318341,0.30732646386385776,0.9842261973354108,0.9623215986084863
203,0.3097848957323886,0.26948363930444,0.9842261973354108,0.9677485584787912
204,0.40911620830981393,0.18756486953391469,0.9842261973354108,0.9655232622846645
205,0.40911620830981393,0.19164509430803595,0.9842261973354108,0.9590356508669575
206,0.40911620830981393,0.21732373229760793,0.9842261973354108,0.9560245586998879
207,0.40911620830981393,0.222243834444634,0.9842261973354108,0.9457517103766251
208,0.40911620830981393,0.24832633973001297,0.9842261973354108,0.9438076921306536
209,0.40911620830981393,0.24297461786201227,0.9842261973354108,0.9481344143153098
210,0.7376958496364319,0.24956495822395183,0.9842261973354108,0.9447531413855715
211,0.5074398202487718,0.09937613531694744,0.9842261973354108,0.93641170245489
212,0.5881862549221317,0.22547839857516638,0.9842261973354108,0.9335714109044315
213,0.7330215786482572,0.2678060871076667,0.9842261973354108,0.9285752641970768
214,0.8558113087723932,0.3160754008236334,0.9842261973354108,0.8775276615676374
215,0.9018823882165352,0.3130722471920047,0.9842261973354108,0.8883824869344366
216,0.9018823882165352,0.3018741686765102,0.9842261973354108,0.8755071546439132
217,0.8827430616083474,0.2837415333948615,0.9842261973354108,0.8653951997224462
218,0.7884884584809333,0.4126302374271638,0.9842261973354108,0.790155917631295
219,0.9292439789407351,0.37491730496734094,0.9842261973354108,0.7695946280982876
220,0.6379988492579655,0.43884963662929827,0.9842261973354108,0.7696224162076578
