,CAC/LEGATRUU inst_corr,CAC/LEGATRUU hist_corr
165,0.31668441574628536,0.12309394179984716
166,-0.3766744047417279,0.09202753407081281
167,-0.541444187981157,0.07203514547531045
168,-0.5569452785493891,0.07753205387658688
169,-0.1514538588658835,0.12461637306922388
170,0.035411978647673606,0.149890925665304
171,-0.30937151091865056,0.18484624121142004
172,-0.7571122748904054,0.18898687675431727
173,-0.6194137642531623,0.19203250229438285
174,-0.6595002028027972,0.010086028815981125
175,-0.8469088040048531,0.0032903733684716547
176,-0.9679620397166117,-0.1403410700365702
177,-0.7617183973590124,-0.13218087580336993
178,-0.5602994743845989,-0.18171142976456375
179,-0.49889176176008426,-0.09637518929691621
180,-0.8157530084809836,-0.23744240623835158
181,-0.6295782329315436,-0.2915536164674882
182,-0.9351171824960867,-0.3084086435190836
183,-0.7134216162001343,-0.28164948133057915
184,-0.7403188608728003,-0.3174699749165186
185,-0.7047580052613001,-0.5017271022531474
186,-0.7767654790433962,-0.592710914502546
187,-0.8152487086946535,-0.6491122972108222
188,-0.5737347110238166,-0.68844153925036
189,-0.6160097340938756,-0.6967841838905455
190,-0.6160097340938756,-0.710975184754133
191,-0.6160097340938756,-0.7287361481565084
192,-0.865542919509009,-0.7358777402279216
193,-0.3247764621662849,-0.7866773373661252
194,-0.34915523401531634,-0.7642982869778109
195,-0.7877740776527006,-0.7884147074942436
196,-0.7094214953753364,-0.8175234882825615
197,-0.6855146918628724,-0.8124870915588092
198,-0.46531586411882103,-0.8104229583315858
199,-0.21036746461774433,-0.7935465889337255
200,-0.6916020121118008,-0.8003921808507984
201,-0.7755697829138916,-0.791927301431052
202,-0.7247062149083102,-0.7998989069510508
203,-0.6820923700344887,-0.7907425244633045
204,-0.3581734872001376,-0.7725077485385806
205,-0.13068600162696725,-0.7720048928241325
206,-0.3355138657611705,-0.7505334055318525
207,-0.4540514699076214,-0.7017632000670707
208,-0.5611293829346446,-0.688106511252594
209,-0.4015409571269402,-0.6880050397357087
210,0.31253724150554396,-0.5432097639817454
211,0.2880962290056919,-0.4762437535148618
212,0.07009865512282995,-0.41945541074154163
213,0.03723879336369619,-0.42596337000210605
214,-0.39625626542042425,-0.3599705497340557
215,-0.8330263219099155,-0.4133425183733748
216,-0.8530713406123688,-0.42862509842671886
217,-0.1756049215397368,-0.4155950761987741
218,-0.005564835473021195,-0.21476691019835098
219,-0.4662109381757896,-0.13024571858860304
220,-0.48545824969855017,-0.117664514537694
221,-0.5473744652318268,-0.21200838677088552
222,-0.4103588619009565,-0.09315372093547372
223,-0.5188308088841457,-0.038730670253783996
224,-0.3130459470717133,-0.03397377063765269
225,-0.9163726214237384,-0.004721828168294391
226,-0.9163726214237384,-0.09833540712195911
227,-0.9163726214237384,-0.10772887631280531
228,-0.9163726214237384,-0.12556856750616394
229,-0.6103468947587318,-0.218319618444612
230,-0.31811284898670056,-0.2337412589044804
231,-0.44490225456106525,-0.2323911166197373
232,-0.6092082797952671,-0.2993535821756537
233,-0.6244223680756084,-0.36541852736099273
234,-0.6207395829156479,-0.4138461304567037
235,-0.908913935740607,-0.4642010664323434
236,-0.8117860243315939,-0.5310891035736613
237,-0.7170875805146885,-0.5086307995347824
238,-0.595625382707555,-0.5015605667798645
239,-0.7522040126346428,-0.5066584379925376
240,-0.7522040126346428,-0.5382826533006722
241,-0.7522040126346428,-0.5348151055478249
242,-0.49848556530787563,-0.5524483221643657
243,-0.2821671202689736,-0.5602334956109248
244,-0.5602055607775803,-0.5596948529810751
245,-0.6554243926060366,-0.6483815998552959
246,-0.7481116695626993,-0.626177659262046
247,-0.6980497946047654,-0.5568198368860134
248,-0.5664092115595638,-0.546882435185313
249,-0.4218618452422027,-0.5154180774592899
250,-0.2574424698691731,-0.5528034148501699
251,-0.2233770310393128,-0.4069621568381709
252,-0.599560642006699,-0.5162218610074494
253,-0.666264082414893,-0.5138214066793617
254,-0.3608864346711143,-0.5309336370315886
255,0.3890776350850475,-0.43964234252632767
256,0.6426164446910128,-0.24144633968352286
257,0.6518568086292996,-0.13901063287606985
258,0.6104595363173463,0.1448107275145341
259,0.2543708821230369,0.14281610008144824
260,0.22754679955742385,0.19878184050746656
261,0.02113717246263874,0.2100537265193014
262,-0.40077523722038205,0.20001061050935798
263,-0.4738617613655955,0.1341364498981669
264,-0.6058493927018153,0.11824359175971778
265,-0.6309899754818314,0.013667542249627452
266,-0.542555102421558,0.02111284439541586
267,-0.8423080387894284,0.06920051667905881
268,-0.7609863788713888,0.04668042907991615
269,-0.8005494040313204,0.006558074086563762
270,-0.5827098857585344,0.02586983220396315
271,-0.4276101475052874,-0.016108133380288124
272,0.16008203408301164,0.05028948211485674
273,0.43542530772320226,0.06034110831966455
274,-0.33953735027754517,0.19297199617161762
275,-0.7325417777574419,0.13143921611388845
276,-0.5630513489206029,0.1615495111370171
277,-0.5630513489206029,0.11861636720518673
278,0.05057213739812742,0.02404684950099344
279,0.08393049104877713,-0.01457032339637286
280,0.09000670636498673,-0.06374562809337259
281,0.261335021054322,-0.043450689954751695
282,-0.20118876295547355,-0.12149446811769905
283,-0.5480605344865285,-0.11760453597658642
284,-0.7000676933444665,-0.13136384721823885
285,0.3275925942878953,-0.08374736067088663
286,0.2968833525122021,0.07002831371636703
287,-0.002309501531924648,0.20271493413587083
288,-0.2460321535745025,0.19052757810694662
289,0.33728214048084043,0.1598601684193756
290,0.6276752046678222,0.23430824418219448
291,0.30309756996003995,0.2709543572762167
292,0.296294121900502,0.32149346151687774
293,0.2603948100225285,0.4195020889488766
294,0.21620016936106218,0.4048697465924801
295,0.045321472129285195,0.35215205036577074
296,-0.12465606155799777,0.3628785657828823
297,-0.010006968989084208,0.4526684219181347
298,0.08320848753292381,0.4615249698165923
299,-0.5308885494952067,0.43456980154155
300,-0.40393574763887174,0.4291962192753553
301,-0.5046073068908313,0.4120867951081631
302,0.21742791221355026,0.3738685824718217
303,0.2781620291570063,0.47631235009553674
304,-0.06424457952008324,0.3686252335789622
305,-0.548792399952717,0.3497461756383192
306,-0.6632319056334088,0.27807329988634866
307,-0.17834045303467044,0.28832681436107077
308,0.09312078238276578,0.2033950051229308
309,0.3782119380642954,0.2700061373494682
310,-0.07371586643080849,0.26916226833022927
311,-0.8720658654824189,0.23778068859685877
312,-0.8203922679322472,0.20488776516441798
313,-0.8065203925782501,0.18882064836826076
314,-0.07427102323589,0.09506356370228045
315,0.33726578775908334,0.15501890554659645
316,0.5476693060909485,0.15319095040915706
317,0.40365625273528744,0.15443135130178995
318,-0.11128794875200829,0.14369188168890748
319,0.08952441315746511,0.14714585850017375
320,0.15972259617658435,0.11442666701210762
321,0.11198267688650564,0.16450691655409538
322,-0.3237980891562072,0.16191826820449381
323,-0.4942075400280888,0.1945334198276478
324,-0.1766384345708006,0.1414868228534673
325,0.08753632843382321,0.1030661124937214
326,0.1179979633987561,0.2903243197784696
327,-0.03761230110611188,0.3112583278639314
328,-0.8002763222936973,0.3484476013515842
329,-0.5968267973299342,0.09545977956979061
330,-0.5527670214892596,-0.10316989352222544
331,-0.8737698464301501,-0.20517092232105177
332,-0.612172037684141,-0.20158554614925564
