,NAGLAS/LBUSTRUU inst_corr,NAGLAS/LBUSTRUU hist_corr
127,0.46158517073181593,0.2718823073234981
128,0.3098523691229325,0.31839545102116573
129,0.23206976438502547,0.2555246552695467
130,0.6893872939292071,0.292358715673112
131,0.7883397309914005,0.275769438604058
132,0.5216465367928886,0.2732455485731101
133,-0.5507247788776117,0.19457576716078182
134,-0.2907378855000779,0.18289198343425686
135,0.26555553474126753,0.17903429865592616
136,-0.11966204144002818,0.18894546502799664
137,-0.6610799421997718,0.04169078848622853
138,-0.32035124546585053,0.019248858045001118
139,0.0959418706550044,0.005545791110069364
140,0.7524173228911303,0.05690331210839762
141,0.5473417020909705,0.07785403110553103
142,0.5473417020909705,0.06584443205706958
143,0.7626110416152395,0.08678993554477693
144,-0.2675060521505103,0.06509363316520687
145,-0.2606964915482216,0.0691766457219978
146,0.10249059974901047,0.03681202231711242
147,-0.3178988186950624,0.05610482560643748
148,-0.6986613847968054,-0.025915330402007764
149,-0.6224628331397173,-0.11167422527214943
150,0.2956751614478439,-0.11114266613614275
151,0.2956751614478439,-0.09308440433721342
152,0.14234631682921606,-0.22066357171900428
153,0.10036327639188439,-0.2675458923015248
154,-0.7502288623123583,-0.3841882341174037
155,0.07145116859839835,-0.28578346954018713
156,0.6898918152379516,-0.325601121938184
157,0.46869294197165917,-0.3098838449662789
158,0.21185747246230685,-0.32372407656636665
159,-0.5133442183937895,-0.28385729334844306
160,0.44362033457609,-0.2417828336610441
161,0.23466825095563157,-0.251965190697343
162,0.12117387935943824,-0.29602848448077457
163,0.12117387935943824,-0.2987823359666727
164,0.12117387935943824,-0.32074169960561766
165,0.9278255603634608,-0.3114168346361007
166,0.6005825128342331,-0.2674169430767549
167,0.45205957321866924,-0.2032744134272742
168,0.08274713847693807,-0.20942400949575088
169,-0.21450523391764367,-0.31234765428076466
170,-0.26360560639928243,-0.3195676099259593
171,0.09039747381415193,-0.20408782321223076
172,0.540689791426253,-0.0788106992904762
173,-0.17886359379538194,-0.1051179076490017
174,0.19345363907563837,-0.031256475995898196
175,0.3812954408343417,-0.06176433895610253
176,-0.4859727666692126,0.034724000389221285
177,-0.13638335436460922,0.04869423091166089
178,-0.06944051516898152,-0.020032285703668867
179,0.5312958540475781,-0.006191898235038146
180,0.31193473646466063,-0.011917798236301763
181,0.20213633964669525,0.0023164541650027536
182,0.7441516214136874,0.033204404505711556
183,0.15742287501024121,0.03102608574604635
184,0.7261855769784136,0.11646255765137778
185,0.6334095213602832,0.08538887197758828
186,0.8003037053047692,0.1447317523681595
187,-0.43044632291599516,0.09023648925779477
188,0.0072572408397914,0.1197508695355217
189,-0.020466121523924227,0.1333089227742064
190,0.4800363700644344,0.1558322395158784
191,-0.3427934946155471,0.2198490377446842
192,0.32364204786695683,0.2808500752666115
193,0.23851104903246298,0.2723282781823328
194,0.6218349985863942,0.22490332490559586
195,0.6994009349484934,0.24126850222206317
196,0.05999065207534327,0.2309783037838383
197,0.6420075438463059,0.32146387798848897
198,0.3389852533036729,0.38747580687509303
199,-0.055329127135648394,0.33384057850283505
200,0.1616149449737067,0.35509211691891
201,0.1236619506554989,0.35601209114539556
202,0.8650662421584272,0.3834904527204683
203,0.5765862435451292,0.3740316889970185
204,0.4033623769829459,0.3666992626482155
205,-0.24887937202006655,0.34117917367418155
206,-0.245824447153997,0.2908740278349585
207,-0.3085016103259228,0.24038212819447377
208,-0.06405987157371672,0.18604548785661887
