,FTMIGMI/SET inst_corr,FTMIGMI/SET hist_corr
175,0.628471564101056,0.5422851050226274
176,0.6638883625697859,0.5277147384461561
177,0.8211551957461504,0.5634742983903671
178,0.8211551957461504,0.6105152714453633
179,0.8211551957461504,0.6017513446462401
180,0.5484719032878211,0.6024383731798931
181,0.8923374721469639,0.59401356990093
182,0.38624828811531065,0.5986388905591463
183,0.0909483317512758,0.5256750936489006
184,0.0909483317512758,0.5107642546514318
185,0.8073231265284961,0.46296897368270445
186,0.3616615062131763,0.31212600096237486
187,0.3616615062131763,0.3689986817680582
188,0.3616615062131763,0.37300824422834544
189,0.3616615062131763,0.3893651986521138
190,0.3616615062131763,0.3636650627818556
191,0.3616615062131763,0.37554625498957284
192,0.3616615062131763,0.5031834739778542
193,0.3616615062131763,0.48060205962548863
194,0.3616615062131763,0.48892342001741035
195,0.88148755677847,0.482373319821564
196,0.9438523653455086,0.4523904480033204
197,0.9438523653455086,0.48626068706226605
198,0.6520720028854781,0.4695230833859777
199,0.722335506239327,0.4756522040804708
200,0.7382544829868157,0.3842914443774546
201,0.9954240952775502,0.38874619306801667
202,0.5809849683650925,0.4139409267447576
203,0.3680300414047246,0.33760840891421556
204,0.3680300414047246,0.42748628983859416
205,0.3680300414047246,0.5419057484349833
206,0.6891594311166303,0.518685893701551
207,0.6891594311166303,0.5469358649203185
208,0.6891594311166303,0.5795789629578324
209,0.8077159613400418,0.5171607046692999
210,0.8764052509672977,0.5289626611980753
211,0.863422061316974,0.5783948023775048
212,0.8613709447975288,0.6013688556665499
213,0.8613709447975288,0.5443274602627536
214,0.8613709447975288,0.5448879696241489
215,0.8613709447975288,0.5516101536670578
216,0.8613709447975288,0.559616203401994
217,0.8613709447975288,0.5475625064803286
218,0.8613709447975288,0.5863959855923357
219,0.5711924282256063,0.5764932320596345
220,0.24715711029797258,0.507715328084318
221,0.36438578234463315,0.4381983998498566
222,0.8378849766463728,0.5139657325589801
223,0.6718192451536913,0.5067172542687177
224,0.5893836891927365,0.45466996782152574
225,0.48467425904171996,0.47759145885168885
226,0.1744615333103659,0.29106816738394276
227,0.7492252621074335,0.28305866330202023
228,0.7492252621074335,0.3154830507006292
229,0.732848191621371,0.30896674664496776
230,0.2204636472369781,0.25071020732504906
231,0.5615570652147707,0.23680166951598777
232,0.8764735105598924,0.1874458105617637
233,0.6358117591012705,0.10300815829186699
234,0.6990064527803402,-0.028432224050458817
235,0.6121458864028451,0.052309897608546534
236,0.6088966444712518,-0.023128170263840717
237,0.6088966444712518,-0.005637004708365869
238,0.621050358719162,-0.055381652898161465
239,0.621050358719162,0.04330666509745737
240,0.621050358719162,0.019147210308060384
241,0.5614467426978116,-0.026881767757569182
242,0.4273462928503933,0.08642573328315226
243,0.7430698847942353,0.0867615711312759
244,0.7430698847942353,0.09788935865619465
245,0.7430698847942353,0.09648360930935519
246,0.7430698847942353,0.18365945065887437
247,0.7430698847942353,0.18918458047566677
248,0.7430698847942353,0.25945450585713387
249,0.7430698847942353,0.20837829471419608
250,0.8379086960050919,0.20711200247052647
251,0.46776973228111157,0.19893689030181624
252,0.40600461057759824,0.3001628311889196
253,0.8700022074405123,0.5016170978194141
254,0.8700022074405123,0.5560101939241296
255,0.8700022074405123,0.6066508200323801
256,0.9706841933670631,0.6224546707002155
257,0.9329585311920315,0.628511983185393
258,0.9329585311920315,0.6665365918689298
259,0.5184772648777873,0.6413182118617232
260,0.6745787729507461,0.6343230360573752
261,0.282162298999278,0.5975582695250587
262,-0.20594375823349714,0.5186854172514829
263,0.47173753534813967,0.5162042398720396
264,0.37919219947946353,0.5297248667342965
265,0.8797334190325383,0.48226607336725225
266,0.907157201580302,0.4943684721889238
267,0.4943758591732972,0.5190721104666388
268,0.5710792464481518,0.5096878466083649
269,0.5710792464481518,0.506230993612578
270,0.5710792464481518,0.5100022106482028
271,0.5710792464481518,0.5134252197834731
272,0.5710792464481518,0.5133861108426274
273,0.5710792464481518,0.5204002377389064
274,0.5443642565481359,0.502141213246253
275,0.5108098742832851,0.3445175141750051
276,0.9782349713907724,0.3509145805756246
277,0.9782349713907724,0.2646976928752253
278,0.4869485838541354,0.25057761413323903
279,0.8334624792251215,0.21172264120748985
280,0.8334624792251215,0.20613005281653302
281,0.8334624792251215,0.1652897987135289
282,0.6523311603092219,0.08297339800731052
283,0.6523311603092219,0.3474744445747928
284,0.6523311603092219,0.393705109561257
285,0.6523311603092219,0.43277874742660843
286,0.9547900610786265,0.44572681594147195
287,0.9547900610786265,0.4838010001251453
288,0.9547900610786265,0.47559297841225673
289,0.8038484864397368,0.5771597002706574
290,0.5886244867408276,0.6246069039707578
291,0.5886244867408276,0.6685352301384262
292,0.5886244867408276,0.6713617911079756
293,0.5886244867408276,0.6832542330570562
294,0.7326804694958731,0.7040531372063207
295,0.5603323014245224,0.6268895149218857
296,0.981080576286709,0.6281235606967877
297,0.981080576286709,0.6639084055700127
298,0.8335132133387708,0.6388920023045543
299,0.8335132133387708,0.6607768159021107
300,0.8335132133387708,0.6935778268679071
301,0.8335132133387708,0.6792042386737513
302,0.8335132133387708,0.6817107380014313
303,0.8335132133387708,0.6816578446018071
304,0.8335132133387708,0.7276849930356983
305,0.6037430141786161,0.7012903797192389
306,0.8225820138447063,0.7420426320510272
307,0.8225820138447063,0.7621962165675713
308,0.7605941502777628,0.7243177616016616
309,0.3556581266861685,0.7157571387881034
310,0.3556581266861685,0.7021237241313097
311,0.3556581266861685,0.6800174569242777
312,0.7610867135861886,0.6971685463202337
313,0.7298069775928775,0.6372177323794123
314,0.7213667120589923,0.6400033918821619
315,0.4918345287507475,0.6218676541205223
316,0.5710450610472403,0.6012201311479958
317,0.5710450610472403,0.6586913674817839
318,0.5710450610472403,0.6352748587709921
319,0.5710450610472403,0.650473909872871
320,0.5710450610472403,0.653688140058901
321,0.5710450610472403,0.6393949807132419
322,0.5710450610472403,0.6371150411354205
323,0.5710450610472403,0.6341712752096376
324,0.5710450610472403,0.641893165849285
325,0.5710450610472403,0.6631016068420341
326,0.7958201458376889,0.6581949464393723
327,0.7181568329653001,0.6570165402156393
328,0.4806463611131767,0.6064883286908819
329,0.6216629075257499,0.6007403554977684
330,0.38116326684957474,0.6175625961402391
331,0.3043682654835763,0.5269041087122074
332,0.691406683567408,0.6631945993065334
333,0.691406683567408,0.6555284982170395
334,0.691406683567408,0.6387858847055029
335,0.9354373284594727,0.6373361045597746
336,0.558586538254975,0.6524311579118152
337,0.38397456865375634,0.6550008266925418
338,0.4141330041577943,0.5989138688950187
339,0.6706386758392664,0.676795538729899
340,0.8186755401893611,0.6201559984582419
341,0.9019861743225456,0.6243364604841465
342,0.9019861743225456,0.6112671399371459
343,0.9019861743225456,0.6104887718665927
344,0.6921461001651331,0.6735944187283421
345,0.43531214328445617,0.652730725546088
346,0.8369443090974557,0.6733918386120692
347,0.8369443090974557,0.668770497503609
348,0.8369443090974557,0.6717070352980434
349,0.8369443090974557,0.6781664524936757
350,0.8369443090974557,0.6648161534548037
351,0.8004634804214504,0.6820528001394334
352,0.8959914751745811,0.6884758335089937
353,0.8959914751745811,0.7684009970262824
354,0.18881286432379996,0.6995241793424892
355,-0.06323408352147865,0.6181091703162638
356,0.31944182711423375,0.6117035054634447
357,0.892028259821211,0.612268985152511
358,0.9103063946711292,0.6365205216792491
359,0.9103063946711292,0.6475475583825117
360,0.6939649738741508,0.6726179292686532
361,0.2827057678153206,0.47611407391438426
362,0.8352134638850219,0.5582811242331164
363,0.8352134638850219,0.5315030035838983
364,0.8352134638850219,0.571125625405493
