,HSI/TWSE inst_corr,HSI/TWSE hist_corr,HSI/NKY inst_corr,HSI/NKY hist_corr,NKY/TWSE inst_corr,NKY/TWSE hist_corr
229,0.7318815915036911,0.6635869999757109,0.9618579163878304,0.3625595023412476,0.5188374766135917,0.2722333770062323
230,0.7318815915036911,0.6765793195883909,0.9618579163878304,0.36593319924044926,0.5188374766135917,0.2356978510471649
231,0.7318815915036911,0.6738599420985356,0.9618579163878304,0.4018581919605661,0.5188374766135917,0.26188919314404224
232,0.7318815915036911,0.714856974570656,0.9618579163878304,0.381119625905629,0.5188374766135917,0.26012582900084086
233,0.7318815915036911,0.7008732120353612,0.9618579163878304,0.40022933508684644,0.5188374766135917,0.2520596003944
234,0.7318815915036911,0.6897945553475987,0.9618579163878304,0.37685846948759766,0.5188374766135917,0.2595889329603436
235,0.7318815915036911,0.6743403099315456,0.9618579163878304,0.4055650739998235,0.5188374766135917,0.28669222202538713
236,0.7318815915036911,0.6731766791932184,0.9618579163878304,0.4065051965555475,0.5188374766135917,0.19034517225748354
237,0.7318815915036911,0.6646787241963443,0.9618579163878304,0.4134158060630527,0.5188374766135917,0.18877950597758872
238,0.7318815915036911,0.8588777155511272,0.9618579163878304,0.5447315407101759,0.5188374766135917,0.18026088347404953
239,0.9611944205518813,0.860143259465973,0.9618579163878304,0.478060302847122,0.5188374766135917,0.16462491527962397
240,0.9611944205518813,0.8595422807552126,0.9618579163878304,0.47168508603644543,0.5188374766135917,0.5172938985180514
241,0.9611944205518813,0.848598034526835,0.9618579163878304,0.4794998934664168,0.5188374766135917,0.5246348086307682
242,0.8314521430592144,0.826662048516565,0.8503644588710525,0.4989667056848987,0.5188374766135917,0.5855545236333038
243,0.8314521430592144,0.8515831857224002,0.8503644588710525,0.5445693251155165,0.5188374766135917,0.6465847053793541
244,0.8314521430592144,0.8260401100279474,0.8503644588710525,0.5463415762749143,0.5188374766135917,0.6378190178146511
245,0.8314521430592144,0.8539133455710528,0.8503644588710525,0.540815817311965,0.5188374766135917,0.6450815313130294
246,0.8314521430592144,0.8599091672290117,0.8503644588710525,0.6379205705780611,0.5188374766135917,0.6443928280605171
247,0.8314521430592144,0.8723182340959492,0.8503644588710525,0.6286200649155088,0.5188374766135917,0.6611873467422738
248,0.8314521430592144,0.8686608592089069,0.8503644588710525,0.6538326716702018,0.5188374766135917,0.6416525383994596
249,0.8314521430592144,0.8653682068915134,0.8503644588710525,0.7496234642427515,0.5188374766135917,0.6058430976965417
250,0.8310994559979292,0.8187948456021426,0.8503644588710525,0.7621745962360343,0.5188374766135917,0.5966802372102236
251,0.9661223792752628,0.792039829292624,0.8503644588710525,0.7832187283500062,0.5188374766135917,0.6459354497116048
252,0.6337420635606871,0.7543163073777518,0.8503644588710525,0.7817549296125157,0.5188374766135917,0.6664018506426372
253,0.6337420635606871,0.8093631960688195,0.9589494826001159,0.7135985330363556,0.5188374766135917,0.789344584099688
254,0.6337420635606871,0.8050376616704686,0.9589494826001159,0.7232022287357047,0.5188374766135917,0.7726586788331389
255,0.6337420635606871,0.7883302487622359,0.5475434331359221,0.7135410523510204,0.5188374766135917,0.7855537567185404
256,0.9729958960221494,0.7717663813473354,0.5475434331359221,0.8018412528192574,0.5188374766135917,0.7882803173859734
257,0.9729958960221494,0.7732925264396094,0.5475434331359221,0.8260510953804288,0.5188374766135917,0.791964539089027
258,0.9729958960221494,0.766328606192052,0.5344659079549104,0.7642024290125332,0.5188374766135917,0.8574010512083463
259,0.9729958960221494,0.7577695510322139,0.6423282541851778,0.7385556634839199,0.5188374766135917,0.8581259931364171
260,0.9784654466597698,0.7247085183705055,0.6423282541851778,0.7229705501568225,0.5188374766135917,0.8581205570754946
261,0.9784654466597698,0.7642208444686834,0.6423282541851778,0.7801643731169604,0.7940671558285836,0.7894212210527
262,0.9784654466597698,0.7648874473064167,0.6423282541851778,0.766884383013902,0.7695948788786524,0.7242613358497134
263,0.9784654466597698,0.7528463804005127,0.6423282541851778,0.7651885967037437,0.7695948788786524,0.7125042529780313
264,0.9784654466597698,0.7269187480304595,0.6804446974033794,0.7294346644244863,0.7695948788786524,0.7256357022383703
265,0.9784654466597698,0.6729206632701368,0.6804446974033794,0.7112211903753581,0.7695948788786524,0.6912604069814776
266,0.9784654466597698,0.7098217635934785,0.6804446974033794,0.6964177255441037,0.7695948788786524,0.6752008582225097
267,0.9784654466597698,0.7005518873800373,0.6804446974033794,0.6872424934342288,0.7695948788786524,0.7089986096099323
268,0.9784654466597698,0.6962189684974961,0.6804446974033794,0.6562672138347724,0.7695948788786524,0.7054110300434329
269,0.9784654466597698,0.6981609119866403,0.6804446974033794,0.6844721227756922,0.7695948788786524,0.7113663332090133
270,0.9784654466597698,0.6946263205704282,0.6804446974033794,0.6812192239725317,0.7695948788786524,0.7285392699439674
271,0.9784654466597698,0.6845517028388503,0.6804446974033794,0.6758052645413156,0.7695948788786524,0.7631981787038801
272,0.9784654466597698,0.7125879254435087,0.6804446974033794,0.6950295318313818,0.7695948788786524,0.7306767041140018
273,0.9784654466597698,0.7137234878364414,0.8055022470139795,0.6779200013209835,0.7695948788786524,0.7220581933521989
274,0.9784654466597698,0.7312876365305772,0.9830099968437624,0.6497826572808054,0.7695948788786524,0.7199221018587877
275,0.9784654466597698,0.6781670389003324,0.9830099968437624,0.673761225910373,0.7695948788786524,0.5927401484480225
276,0.9784654466597698,0.6839158217777924,0.9830099968437624,0.6688866295000265,0.7695948788786524,0.5591645919825851
277,0.9784654466597698,0.7123382869513167,0.8098640112192801,0.6442005381888393,0.7695948788786524,0.5676583292130079
278,0.9784654466597698,0.6859521874569408,0.8767142574052271,0.4742138264541911,0.7695948788786524,0.5445201959602597
279,0.9784654466597698,0.638732350220644,0.8767142574052271,0.45090451880707905,0.7695948788786524,0.5118319616261228
280,0.9784654466597698,0.6351372311948564,0.8767142574052271,0.5216368912948114,0.7695948788786524,0.5249223586038925
281,0.9784654466597698,0.6371274841984189,0.8767142574052271,0.5392905493077188,0.7695948788786524,0.5336232600947307
282,0.9784654466597698,0.6638795043643498,0.8767142574052271,0.5152351378825708,0.7695948788786524,0.5398927944624206
283,0.7597799583860476,0.5484114955054531,0.8767142574052271,0.5156417917364845,0.7695948788786524,0.6115056827596348
284,0.7597799583860476,0.6176573694258344,0.8767142574052271,0.5279818224338916,0.7695948788786524,0.6417476384924391
285,0.7597799583860476,0.616808914703228,0.5858307726900247,0.4769336995255813,0.7695948788786524,0.6238942665479451
286,0.7597799583860476,0.643174736280324,0.5858307726900247,0.5559165512193215,0.7695948788786524,0.6252942050417224
287,0.6249174818448336,0.5340813763240231,0.5858307726900247,0.49159302585353204,0.7695948788786524,0.5542825616262794
288,0.6249174818448336,0.49254059649595233,0.5858307726900247,0.4631865698538752,0.7695948788786524,0.5578738386001705
289,0.6249174818448336,0.4310757528050809,0.5858307726900247,0.47935629800953855,0.7695948788786524,0.5237297269775026
290,0.8995474967923446,0.39672053752617187,0.5858307726900247,0.45928425136530115,0.8678665888031459,0.5388033321406195
291,0.9246242225300908,0.49660004821619075,0.5858307726900247,0.37349214402528835,0.9191673434402499,0.6425957914471732
292,0.9173756708575185,0.4638391006682361,0.8383118113955913,0.4169069726517477,0.9191673434402499,0.6297491545910999
293,0.9173756708575185,0.5179078011532291,0.6886321658460632,0.46011029244695345,0.9191673434402499,0.5907395924038368
294,0.9173756708575185,0.5175884477368661,0.4408679279455407,0.30865245637349537,0.9191673434402499,0.6334058603937953
295,0.9173756708575185,0.5285659163354262,0.8817251075986867,0.33714220376066195,0.9191673434402499,0.6250492783500203
296,0.9173756708575185,0.5133394180599545,0.8817251075986867,0.3746023016188353,0.9191673434402499,0.6217350070853944
297,0.9173756708575185,0.5051136686907095,0.8817251075986867,0.3887054173755836,0.9191673434402499,0.6480539332503472
298,0.9173756708575185,0.5052370247907815,0.8817251075986867,0.35118253048776665,0.9191673434402499,0.6986253449564774
