,FNERTR/LG30TRUU inst_corr,FNERTR/LG30TRUU hist_corr
167,0.2597046937734553,0.11050975965457113
168,0.8207831453683724,0.10868001242809598
169,0.5384072805222527,0.18416225714501472
170,0.5201515355038333,0.23999349823099908
171,0.11867772215559014,0.29438002933891283
172,-0.44512807207485044,0.28420938136718854
173,-0.5587954211888265,0.2714887823205916
174,-0.6617278919414211,0.2811014479182735
175,-0.003321466868786078,0.2704442321788418
176,0.2927222798612419,0.2133132106480212
177,0.5534219335288878,0.320572393591923
178,0.26637506769481356,0.4006758910312969
179,-0.28820508463474015,0.3443091214203944
180,-0.6744667836014304,0.11648582159974158
181,-0.3035134708487436,0.1167642083234097
182,-0.2718282201777543,0.10732036184253274
183,-0.026883155794646018,0.08070517256742639
184,0.006486909251866127,0.12048303426636033
185,-0.1061662967968682,0.15926404742176442
186,-0.03669849180193394,0.06015664084504764
187,-0.5829261400736927,0.07159606490599885
188,-0.5080784490275373,-0.26969568585158804
189,-0.37409000025466993,-0.18683929063167345
190,-0.2192618428846615,-0.21820701596239633
191,-0.25499208256712363,-0.31316852170854487
192,-0.16223673211819137,-0.35609455631748976
193,0.27540149377642476,-0.37103199922604324
194,0.22847541529260593,-0.3571170481521761
195,-0.4518855520497722,-0.29879021033401854
196,-0.3472238960378748,-0.3219889211232994
197,0.11366633871452078,-0.26515630162743625
198,-0.2738858098034251,-0.31891632889600385
199,-0.581931858249071,-0.34941481761102505
200,-0.7759754445225491,-0.45802871108741133
201,-0.5992386398550211,-0.4655546543849269
202,-0.7031918336153345,-0.4897658594458344
203,-0.6727158309008947,-0.5096703928812746
204,-0.5191470465378036,-0.5068112149634245
205,0.019490083770236814,-0.5177088826728469
206,0.6363147303510661,-0.4630965286591804
207,0.9089991533906121,-0.47691737693856817
208,0.60365076171776,-0.3311284392902021
209,0.3029869965180032,-0.3364715606805647
210,-0.17663489518602649,-0.12017574847293502
211,0.01883458325473665,-0.15445567659977996
212,0.8016359324895894,-0.15057851754534782
213,0.6061188508980973,-0.017994117070915434
214,0.6373827708348352,-0.00815374340559268
215,0.5911520337663015,-0.01358931116273253
216,0.4061917818672436,-0.012773565355737154
217,0.06919730484219923,0.03190725618133279
218,-0.6939333836947756,-0.030068760496325782
219,-0.8245978030876535,-0.12386641149131927
220,0.0701993712370521,-0.05570018100491943
221,0.19660322313725498,0.040693351832424875
222,-0.0227078057690456,0.052068415713106324
223,-0.021483252787188187,0.13882000611598885
224,-0.059865083336745166,0.14990770358622793
225,0.15696365874238777,0.24043901196322304
226,0.060064948954321386,0.2313422559587869
227,-0.2725592257996917,0.2246488399127137
228,-0.12452844377720168,0.16881336921981782
229,-0.2577764353152468,0.1642965932251935
230,-0.46708744755838283,0.04465734033570415
231,-0.27045587016720674,0.033710777569445655
232,-0.418621358106915,-0.013750484398085999
233,0.43627906892796603,-0.008004900047057752
234,0.5566884481490113,0.21111810368829792
235,-0.007349428292222804,0.062450797128966166
236,-0.5824724732327707,-0.13306942148483375
237,-0.2772695191256762,-0.10615059241689878
238,0.23450079887028727,-0.09217738070050481
239,-0.46579769317128034,-0.10850841176166336
240,-0.5552099345218876,-0.15289577037336657
241,-0.35859893389608216,-0.12874125282627025
242,0.2829351859267472,-0.13589639070196624
243,-0.04226618960649171,-0.13610427922732868
244,0.023875635075243592,-0.16142863185626227
245,0.3315294548025852,-0.18389746905329088
246,0.4103350222154077,-0.06700463775348449
247,0.32746134253848397,-0.12655848627272134
248,0.065742138318356,-0.12398617171361882
249,-0.3546319880306381,-0.11821776724362766
250,0.17553380917980124,-0.12434164178897979
251,0.4782200711617468,-0.09183999082864301
252,0.3187265172001132,-0.10019992136687332
253,0.3530156696551918,-0.054662260941611134
254,0.19089636852471958,-0.0141278243537066
255,-0.11132409954286338,-0.05069075990690392
256,0.2660852557426145,-0.24492826570385073
257,0.4436557333083901,-0.1578869578653587
258,-0.1538602394711667,-0.04125322001344532
259,-0.7338993953105767,-0.04136315351656927
260,-0.6433283236083562,-0.05818510349909071
261,-0.3579426986375331,-0.0894046256144552
262,0.009280347233995862,0.17437507479699946
263,0.20169589125953358,0.13522520233640262
