,FTMIGMI/LG30TRUU inst_corr,FTMIGMI/LG30TRUU hist_corr,NDDLCA/TWSE inst_corr,NDDLCA/TWSE hist_corr,CAC/FNERTR inst_corr,CAC/FNERTR hist_corr
126,0.9955492820430453,,0.7976518124384985,,0.30454445131898683,
127,0.9955492820430453,0.14499396612169618,0.7976518124384985,,0.9441424906713216,
128,0.7090192334876966,0.2756474850087364,0.7976518124384985,,0.9441424906713216,
129,0.620094991944425,0.34932035591734734,0.7976518124384985,,0.9761768959848011,
130,0.8621169686514383,0.32235651211421923,0.7976518124384985,,0.10576597291373593,
131,0.8309630704625116,0.3031113333960647,0.5113375080599781,,0.3068739665918059,
132,0.8986371915591701,0.27789150682798314,0.10819805101259747,,0.5541318294798214,
133,0.879122484374442,0.13665697302936178,0.5750520127205734,,0.5553963067395167,
134,0.879122484374442,0.1930858554407633,0.5750520127205734,,0.8880669446412937,
135,0.879122484374442,0.27735853492141466,0.5750520127205734,,0.8880669446412937,
136,0.879122484374442,0.30466944938407403,0.5750520127205734,,0.7357831950894099,0.13192304629260102
137,0.879122484374442,0.3131888363567351,0.7596023857872469,,0.42388337670815845,0.4013168596914796
138,0.879122484374442,0.4276557112161133,0.5821662346801804,,0.16031081711609935,0.4955285404050824
139,0.879122484374442,0.416801100324231,0.41422938558449673,,-0.20632175234365513,0.45432018415926906
140,0.879122484374442,0.40431142863062414,0.41422938558449673,,0.022192007702763965,0.4780250339906193
141,0.879122484374442,0.3792654063683654,0.8161994825670839,,0.612597273045805,0.4923700264872144
142,0.9604321404362964,0.3741973088440107,0.6470446152399096,,0.612597273045805,0.5040517367978378
143,0.7516026048387323,0.34970093232478566,0.8247175603152959,,0.22597308872784888,0.5173730043032383
144,0.7516026048387323,0.3350745325676937,0.8086541092898745,0.252068872785518,0.2988796690605322,0.5394572025426339
145,0.9125637391616254,0.31284144663749847,0.8086541092898745,0.29300319575696865,0.43039524493289016,0.5177757806741456
146,0.9125637391616254,0.328210384965805,0.8086541092898745,0.31364912841680126,0.3061868261664396,0.5595318684699735
147,0.9125637391616254,0.40636843396671674,0.8086541092898745,0.22503236992603273,0.5850310309029478,0.5913280715002007
148,0.7607970139499477,0.6746391475162465,0.8086541092898745,0.07700449359027045,0.83358421143499,0.6086273975244173
149,0.29396488015625827,0.5664607039169,0.8086541092898745,0.13591291146189508,0.6955206361209014,0.5379741537412641
150,0.7310893296557968,0.5670679651585547,0.7280904515580643,0.08474865631339476,0.6981939923805417,0.5166938968102315
151,0.6076662092857318,0.6223246645390735,0.7143105153156548,0.05542200352715883,0.18945221442790824,0.5317594441501184
152,0.3465974172466523,0.7362649424049814,0.7143105153156548,0.0571403503807021,0.05589155714346159,0.5042739323396609
153,0.2671874035179602,0.5770886507400041,0.7143105153156548,0.0492781970676241,-0.1910319735492749,0.5227248694214248
154,0.37645143764448596,0.5808938637698603,0.3954356002808632,0.13978234422646424,-0.1910319735492749,0.402991172751865
155,0.3986060984105974,0.5931575489691226,0.22506381158434804,0.05954583811375869,0.0013262583693344917,0.3763590147977689
156,0.5252609798950915,0.5035509033803588,0.6931128152669102,0.14749784603521487,0.2398447389239744,0.30390411421059627
157,0.9139434697698058,0.5286653150723838,0.6931128152669102,0.10396429902391231,0.37829175492512407,0.3947474217138358
158,0.7095106833989744,0.5053168204295934,0.6931128152669102,0.10790295720196338,-0.09754552420194634,0.2595298705926351
159,0.6206116604034764,0.542590769495143,0.6931128152669102,0.12910899044880167,-0.6993956765309188,-0.07866110910661935
160,0.5294791902344587,0.5637931690954213,0.6791632714207932,0.12283219630181592,-0.2993196600849443,-0.11774747862811188
161,0.6491923857057208,0.5465169677146007,0.29196817682253906,0.1373212799656651,0.6708578873706784,0.06372084877263243
162,0.6491923857057208,0.5479531598649107,0.35162186586683764,0.0384323234690838,0.6708578873706784,0.051210422932538115
163,0.7396697562057306,0.5456595440078484,0.8206535793285258,0.20975678788222463,0.4626685496110386,0.07272837660228965
164,0.2903544280541982,0.5176104768120713,0.40572958486874117,0.2124996962251785,0.831681325592209,0.04652901352307309
165,0.6308733803614078,0.5180113201475626,0.48575269181483954,0.16665818975983498,0.525194423844023,0.045368010775599356
166,0.6893445674703645,0.5417590691804733,0.2634951164114742,0.23432107392547755,0.24002523095512523,0.02017248571974929
167,0.6893445674703645,0.5421789316682081,0.19461168887167374,0.49048026137253287,0.7579418741934907,0.13600426148050876
168,0.6893445674703645,0.5266084162969726,0.3962353920452727,0.27243484962752174,0.7579418741934907,0.14903093834353812
169,0.6487683915287332,0.5451102494132749,0.5601347947777945,0.2785131760494083,0.7104456748660012,0.1319168563290322
170,0.4900186103198357,0.5088729357665374,0.29461509310724737,0.26027741734871945,0.09646460980879651,0.12526866907753761
171,0.46501992969457273,0.53455612485052,0.8258715404419011,0.25670677437878137,0.07303806651930948,0.1280705925986824
172,0.2508004133343976,0.5144839962051416,0.6813242747829575,0.2802154675209005,0.2545660601230534,0.12771093717465587
173,0.16592068628889547,0.48393766073889644,0.6813242747829575,0.40392097337612787,0.7200980439742433,0.1430125313076319
174,0.5065904743818116,0.39331128408144383,0.6813242747829575,0.39247585322719086,0.032066212546722254,0.16536959834139647
175,0.7792512948337554,0.43963521121056465,0.9853689898546574,0.43164845781256966,-0.2296881185758282,0.17238103841564967
176,0.58761374881729,0.46650445182036815,0.9853689898546574,0.43643985619783393,-0.09757283307460547,0.15050480592381507
177,0.7950747390649706,0.3966555524542982,0.6999679653076895,0.44496328662619206,0.13221222065245755,0.15773290997960368
178,0.7950747390649706,0.48861959327585375,0.4906079451495959,0.4195521365821477,0.1445704131738742,0.15348426901165102
179,0.7950747390649706,0.48669088545028105,0.6489585924889474,0.4001829221681674,0.3758101531587399,0.037467465661575196
180,0.7950747390649706,0.5138863769848264,0.5754060490859217,0.38318575587612663,0.5113710439112165,0.06761292230972718
181,0.7950747390649706,0.45615353614058207,0.5754060490859217,0.4139621908516647,0.7464784295063288,0.3490971659451282
182,0.8363366347471686,0.4489231586415882,0.5754060490859217,0.41145510809514435,0.4936861195419334,0.38892428859165706
183,0.9692238195622902,0.47596722947431547,0.48674327877122603,0.4258921141814408,-0.17140450858642542,0.25606277130241506
184,0.9692238195622902,0.4766653919843282,0.42439592630580797,0.45186850862200195,-0.027321271596523942,0.2444765675808776
185,0.5753552918499146,0.5263113495147699,0.6759221390935338,0.4553614267083151,0.0943766640425399,0.2518138479594345
186,0.6887987288261097,0.6521688496544811,0.825483712399369,0.4429830434309355,0.4858941336982277,0.21215173238404433
187,0.6887987288261097,0.6834305702730062,0.825483712399369,0.4455848817622224,0.21134047519292556,0.2524527088540437
188,0.10788451035920052,0.65201764851286,0.825483712399369,0.45454982427054824,0.013285127171505064,0.2980294276013903
189,-0.2056037034973043,0.48506866791195213,0.825483712399369,0.401355472154737,0.13381746133533595,0.19145473304903382
190,0.2548331747017849,0.48758415924013215,0.6536677720335605,0.5629408371977017,-0.22968571600802654,0.16132352457786567
191,0.8510709914124498,0.44053856706101413,0.91224823014416,0.5749189727888457,-0.5494611166734766,-0.0626127285819639
192,0.6570005475664812,0.4263606451135835,0.36504313692445983,0.590120792546902,-0.6397882827593782,-0.008996357080205727
193,0.19487817417786304,0.4479751043749271,0.2156974971175412,0.6069901347323533,0.37054051432382024,0.012356189277718832
194,0.0005331609914804794,0.3945718920364289,0.9105714352020383,0.6344772071033229,0.7773869606832617,0.05718928600163307
195,0.38782314956259667,0.4403919666032817,0.9105714352020383,0.4772009407244179,0.36452852710148376,0.03997049881390145
196,0.8680883842680929,0.4475373369639294,0.4672331514572258,0.49105743178292954,0.48488220289091283,0.07371531069996017
197,0.9437822324692464,0.4308132220581863,0.6388335093550206,0.4234769450205882,0.13670674965107465,0.08782500187523731
198,0.810928068130623,0.4451467811946557,0.34281394918925345,0.3634976838147679,-0.4124675890290731,0.112145467324379
199,0.838944804284479,0.45757824164524796,-0.2715715022352572,0.30469398020783617,-0.9408382157278256,-0.23042478145973877
200,0.838944804284479,0.4630676031558348,0.1602541000317946,0.2401206056956878,-0.9408382157278256,-0.2287419972940398
201,0.88830128606136,0.45971885069773233,0.7774740903647153,0.2686613883988686,-0.20366945136108633,-0.24213727223076117
202,0.6317334395236478,0.43857774052516857,0.9369203153290142,0.31629100159267237,-0.49995405283824684,-0.2918090858046404
203,0.5017721787502384,0.445315322320739,0.602802172502581,0.2730467473832686,-0.8425343470106231,-0.4258107638481569
