,FTMIGMI/NKY inst_corr,FTMIGMI/NKY hist_corr
175,0.856073491694613,0.5746653169803868
176,0.8110880574064674,0.5877581363463166
177,0.8772406966404767,0.5739527135127483
178,0.7589553729496192,0.5923349815208631
179,0.594704270667618,0.5852622967645965
180,0.9067489371619989,0.5785540116714138
181,0.9067489371619989,0.5934809572201903
182,0.9067489371619989,0.6577254093637834
183,0.9067489371619989,0.6614243893470801
184,0.9067489371619989,0.6357993429955761
185,0.8180263664370112,0.484395932748513
186,0.9012249101113463,0.5168227342992137
187,0.9012249101113463,0.5739523389870766
188,0.9012249101113463,0.5038136407475978
189,0.9012249101113463,0.5938007466865465
190,0.9012249101113463,0.6902445456514062
191,0.836530906542765,0.6772809579958478
192,0.4503408542035365,0.689691409118241
193,0.4399165268996613,0.6313078459897817
194,0.7448372695332908,0.7211512000770631
195,0.9294762514404301,0.7430167561370196
196,0.6065373284123351,0.7099832817382268
197,0.7398709738048318,0.7133074651762481
198,0.7398709738048318,0.7111650732487803
199,0.7398709738048318,0.7451284845744067
200,0.7398709738048318,0.7371570385692715
201,0.7398709738048318,0.7423732544600351
202,0.9192585598264756,0.7030958209407739
203,0.9192585598264756,0.7142606637055705
204,0.9192585598264756,0.6925839459725065
205,0.9192585598264756,0.692062998660554
206,0.9192585598264756,0.682200314151824
207,0.9192585598264756,0.6854598048484387
208,0.9192585598264756,0.6564390487050163
209,0.9962255606728034,0.6379295996805632
210,0.9962255606728034,0.6291140776115385
211,0.9962255606728034,0.6278060734284608
212,0.9962255606728034,0.649924542697998
213,0.9962255606728034,0.628832874660167
214,0.9962255606728034,0.6396497108179863
215,0.9962255606728034,0.694602081310136
216,0.9882550967914407,0.5667224684147244
217,0.9882550967914407,0.5774825626967953
218,0.9882550967914407,0.640487988469335
219,0.9882550967914407,0.5359079211791005
220,0.9882550967914407,0.5129805440985028
221,0.9882550967914407,0.5546256179538601
222,0.9882550967914407,0.5683855666157835
223,0.9882550967914407,0.598745275712352
224,0.9882550967914407,0.5798166002125221
225,0.9882550967914407,0.5267666196387862
226,0.9882550967914407,0.5446390034798149
227,0.9882550967914407,0.5506703238036229
228,0.9882550967914407,0.5603636661308363
229,0.7013332549048327,0.5310566941888976
230,0.616116089624584,0.4997561857678126
231,0.9734066289148372,0.5113071078682285
232,0.9734066289148372,0.5163972708769426
233,0.9734066289148372,0.4811830644984979
234,0.9734066289148372,0.4246924771246652
235,0.9734066289148372,0.3354355042335223
236,0.9734066289148372,0.3303050153301872
237,0.9734066289148372,0.30851779132282975
238,0.9734066289148372,0.3858550547831807
239,0.9734066289148372,0.4649887078782444
240,0.9734066289148372,0.48836408845174684
241,0.9734066289148372,0.42450185530000006
242,0.8954760619797998,0.5198828313683296
243,0.8954760619797998,0.5178655290997739
244,0.8954760619797998,0.5419751441806102
245,0.8954760619797998,0.5217651739541371
246,0.8954760619797998,0.5539229461540861
247,0.8954760619797998,0.559006371923788
248,0.8954760619797998,0.5328715688793845
249,0.8954760619797998,0.5086818600396775
250,0.9928158798702433,0.5635639668952444
251,0.6477061906752014,0.5284454521495452
252,0.7717423037184329,0.6034575645860654
253,0.9230319377258737,0.7064962191473012
254,0.9777393993628855,0.7300204190856371
255,0.23044740140989525,0.6703510494035495
256,0.2381778894212808,0.5898804781861282
257,0.9111631044206564,0.6635002712040726
258,0.9111631044206564,0.6649345677468868
259,0.9111631044206564,0.657273684551167
260,0.9111631044206564,0.6501273625154336
261,0.5853719799574914,0.5595557781779812
262,0.702305185247654,0.5328667668556211
263,0.702305185247654,0.5513307700278799
264,0.702305185247654,0.47481271966197097
265,0.702305185247654,0.4556294111534
266,0.702305185247654,0.4743859282379384
267,0.8785966086867226,0.542300682594391
268,0.8785966086867226,0.5374836572452907
269,0.8785966086867226,0.5474224636340618
270,0.8785966086867226,0.5630927851267487
271,0.8785966086867226,0.5801696405825332
272,0.8785966086867226,0.5608845474572252
273,0.8785966086867226,0.5929708049985185
274,0.8785966086867226,0.5842509141193889
275,0.6212732211180363,0.47471771650941275
276,0.9640499766165728,0.423826252845358
277,0.9640499766165728,0.5013251546413406
278,0.9640499766165728,0.5539152628316482
279,0.9640499766165728,0.5288521133193299
