,TWSE/HSI inst_corr,TWSE/HSI hist_corr,HSI/UKX inst_corr,HSI/UKX hist_corr,TWSE/UKX inst_corr,TWSE/UKX hist_corr
168,0.9257549971161912,0.2741236754719852,0.6103505955545665,0.7995129032572217,0.5241506260181783,0.4006766632887736
169,0.9257549971161912,0.2917417293079548,0.44620546516459225,0.5989547015612149,0.4283454207733774,0.4077639105892394
170,0.9257549971161912,0.19060586010467545,-0.03309886370890134,0.5488880462064031,0.9113642135333883,0.4040445129005293
171,0.3521334621681794,0.22686329834252908,0.6374141576216195,0.5620203175639162,0.5615904481082084,0.5601862635066307
172,0.3534200285687097,0.37201277003980376,0.9480117024929611,0.5289053576404318,0.7879003166658529,0.7994436565870411
173,0.3534200285687097,0.8111635942532053,0.589111459654002,0.5182740439484224,0.9221795069125549,0.7943396722551629
174,0.3534200285687097,0.7424864383683735,0.7810363015253285,0.5499942498174993,0.517945139671887,0.7723526669809033
175,0.35721004817536334,0.7397330620848533,0.5969286847215547,0.5700218469406649,0.9976748012167699,0.8048886990431784
176,0.8175363140169689,0.7554112445599225,0.7790009808548034,0.5583869726898546,0.9976748012167699,0.7938563403104684
177,0.6333100844543237,0.7535036778055383,0.9642461936162822,0.575852158493625,0.7390322688934765,0.8224296636096243
178,0.6333100844543237,0.7868586522221646,0.9642461936162822,0.5693894825484924,0.8139730880123044,0.8235199882938448
179,0.6333100844543237,0.7928521834705271,0.7300868816040175,0.5689599833766746,0.5166043585260602,0.8152956055859949
180,0.6333100844543237,0.7991920955527366,0.7300868816040175,0.5707415655699183,0.7688471256655343,0.8132147213162584
181,0.6333100844543237,0.7999840196977083,0.7300868816040175,0.5862117297767969,0.7688471256655343,0.817573326973502
182,0.6333100844543237,0.7989746071890393,0.6905543794505801,0.5915504581113923,0.6803703321423029,0.7959709329515192
183,0.9419175543344919,0.798969509012688,0.37831537798118126,0.5517126752705964,0.8277866864232872,0.7965519034088471
184,0.7210510314252074,0.8008767347115306,0.33908293909613446,0.570558753449586,0.8964030669934372,0.7708593957012055
185,0.7210510314252074,0.7978148106151878,0.2397492080844868,0.4875605124707419,0.9331819566127103,0.7739270023767061
186,0.7210510314252074,0.8183250236727729,0.6397706349873572,0.525586737526446,0.9331819566127103,0.7694503415044003
187,0.7210510314252074,0.8224797344325703,0.7709826956193574,0.5141796644530007,0.9331819566127103,0.7865455268286266
188,0.7210510314252074,0.8398055535126492,0.8641335004739904,0.5355493284689575,0.8842946180892282,0.7870320427200965
189,0.7560346697167255,0.8485289977428027,0.6841011148936906,0.5363786458072796,0.3163598085370417,0.7702365127258012
190,0.7560346697167255,0.8555270990150582,0.5021139662401427,0.2689495937283028,-0.07563164170067471,0.7422698644425179
191,0.7560346697167255,0.8520923538198574,0.4153808238982982,0.392870304679394,0.07696375169034676,0.7470122145427327
192,0.7560346697167255,0.8599488925978848,0.5531686501548766,0.45009021395487336,0.07696375169034676,0.7443779750885837
193,0.7560346697167255,0.8585570986787436,0.5531686501548766,0.3417852498928632,0.07696375169034676,0.7260665228918878
194,0.7560346697167255,0.8640463790995715,0.9731759598521577,0.3961045582576285,0.26416024275110334,0.5577419965158886
195,0.7560346697167255,0.8571544369100322,0.4180531307019377,0.3646272308021962,0.2577563022376328,0.4887961563254317
196,0.7560346697167255,0.9232746160931462,0.39212750254292295,0.30979374687111777,0.2577563022376328,0.48747193601150085
197,0.7560346697167255,0.9312683531132941,0.9538312178808573,0.28994474843553836,0.19926956669220194,0.43337141354544617
198,0.5673392361238516,0.9169428370505487,0.41525900869766613,0.3543321942767016,0.5816302118816798,0.42813146821730563
199,0.5673392361238516,0.9232199230898775,0.6070570272722013,0.30968532207763244,0.5816302118816798,0.21006550210920313
200,0.5673392361238516,0.8732031718453495,0.7015145420753579,0.28887604391134825,0.7549125000233848,0.3382361572331733
201,0.8174345210082185,0.8576769897428991,0.25780915668561427,0.3223609727826952,0.25711693069166613,0.25833406750245175
202,0.8174345210082185,0.8750579581240446,-0.02453158483240031,0.18456297082590695,0.9580658054334832,0.23774979780774422
203,0.8174345210082185,0.8662377716998843,0.17042392215256263,0.19152933645383458,0.9580658054334832,0.24184747962209555
204,0.8174345210082185,0.8563580249822421,0.3623531002827574,0.1605279527667072,0.9765221540609244,0.28615634408396184
205,0.8174345210082185,0.8493080855235511,0.604134578724238,0.16533616236503448,0.83318638194661,0.2257072503655817
206,0.8174345210082185,0.8233886661434849,0.6633844745339147,0.18240109305109348,0.83318638194661,0.2501183499839612
207,0.8174345210082185,0.8327854088373706,0.4131374710005203,0.2571087009304636,0.83318638194661,0.23583764615619138
208,0.8174345210082185,0.8091703522772793,0.8076735325053431,0.28884250398529093,0.83318638194661,0.2412616369237862
209,0.8174345210082185,0.8051801748331272,0.9918358896735257,0.2926605214218697,0.22557325778475734,0.22426068863677173
210,0.7144505017236757,0.7711390637368856,0.9918358896735257,0.26689145119388247,0.20164765749809338,0.16075261440830535
211,0.7144505017236757,0.7569260880632425,0.9918358896735257,0.2588163697273369,0.5815728300356154,0.21823801865473444
212,0.7144505017236757,0.7161504274064354,0.9056983743853464,0.33925357832664377,0.24428012592185247,0.3048622606316716
213,0.7144505017236757,0.7666509000225233,0.8815307422544684,0.349830936510182,-0.08140333878149557,0.21893929530837444
214,0.7144505017236757,0.743300285865552,0.7604670589588765,0.37812511227310214,0.0929321890239508,0.2037358511334717
215,0.8359309240168703,0.7484678062874486,0.35945778893138575,0.3683194666466008,0.12803110111141916,0.1829379862570541
