,JPEIGLBL/KOSPI inst_corr,JPEIGLBL/KOSPI hist_corr
184,0.47824494131150264,0.19960115407111662
185,0.6955522469298524,0.24928821640226898
186,0.6955522469298524,0.2655343975483103
187,0.6955522469298524,0.23784138024583074
188,0.7541226103580977,0.2362288402530644
189,0.9163377053164463,0.20350638888045108
190,0.860183203210665,0.1711475529583151
191,0.860183203210665,0.26765389088575436
192,0.860183203210665,0.270439737015166
193,0.860183203210665,0.2988882655442469
194,0.860183203210665,0.30721129607293207
195,0.860183203210665,0.25225494403657167
196,0.860183203210665,0.21595068268314088
197,0.860183203210665,0.20202258343629662
198,0.860183203210665,0.28531084136174295
199,0.860183203210665,0.3618969692386148
200,0.8963661625939671,0.1339755902099402
201,0.5615056149507456,0.11427212133134872
202,0.19446297588334996,0.12390974286158908
203,0.432711740020488,0.2372712639519256
204,0.432711740020488,0.5889634996929732
205,0.432711740020488,0.6353780462816974
206,0.5114400127006129,0.6169816109483871
207,0.3859299163624665,0.5384173166282791
208,0.9039491746675399,0.5708862853076725
209,0.9039491746675399,0.5605265905730009
210,0.576998519941384,0.5417994430243932
211,0.4700824346083458,0.49508929912766675
212,0.9110115803754687,0.5331837954429963
213,0.38258591504984213,0.49114359111193956
214,-0.19394696730601332,0.4221391040447921
215,-0.19394696730601332,0.37975152824276776
216,-0.19394696730601332,0.38451963231842934
217,-0.19394696730601332,0.40286384275324405
218,0.9101266363362249,0.4147743818554842
219,0.9101266363362249,0.39166403001010314
220,0.5709952722953356,0.39199866282212836
221,0.6288417242493677,0.3962545913798935
222,0.8903468736492649,0.3046455190418363
223,0.7925743866232944,0.3516636404571706
224,0.6076420281494015,0.33058309408933295
225,0.4273005491866371,0.3175039323587418
226,0.7727594275540818,0.24427767155848334
227,0.7727594275540818,0.23770619496562148
228,0.40133213699510795,0.1893520448117249
229,0.5113204638028636,0.2900930493135605
230,0.5485798865505221,0.2932904860372869
231,0.21407641592544535,0.3318862670818784
232,0.20100546795237517,0.2968301656024421
233,0.7648170874812673,0.44429811667961355
234,0.9602761966819564,0.3761314762649473
235,0.9602761966819564,0.48728124584781984
236,0.9602761966819564,0.527705954773848
237,0.9112883213943919,0.5266027788064561
238,0.9112883213943919,0.5800098815579227
239,0.9112883213943919,0.5808717553091957
