,LG30TRUU/NKY inst_corr,LG30TRUU/NKY hist_corr
175,0.6947887334427177,0.22218701545329816
176,0.6200075459289295,0.26243043088517926
177,0.6700641697901145,0.25683040359632225
178,0.6272909465843158,0.2874920299833954
179,0.3461162114255947,0.30637601861994923
180,0.2672936069185689,0.2455552738699423
181,0.21391650390230055,0.2285735224490221
182,0.05343748943483928,0.24173782045989423
183,0.3276219849704481,0.2296386563464473
184,0.6813101723103765,0.08948839550303657
185,0.20605593237920425,0.0857211855864644
186,0.1786058450575064,0.06633950639485453
187,0.1786058450575064,0.22490041952250225
188,0.1786058450575064,0.30958924864160214
189,0.1786058450575064,0.34282912072732136
190,0.7779561938951965,0.3823515552675665
191,0.48406218393191125,0.37493393058216407
192,-0.06872050896280875,0.3381938120020569
193,-0.011124284193829694,0.18248549443891815
194,0.5312909073159263,0.3606240579808842
195,0.948732847438201,0.3860934589017716
196,-0.020567855845141807,0.3547090790454463
197,-0.2605077045646552,0.2938596316233619
198,0.23375307166247875,0.2638326688336348
199,0.34696142996151136,0.2922274986091009
200,0.40608525256422945,0.2521417275399517
201,0.4841612135374607,0.1956591460449918
202,0.5437095790061885,0.23454191728665935
203,0.5318977671740616,0.29250344097810727
204,0.7100495129562236,0.30002341574732233
205,0.8813401081532847,0.3253251514778832
206,0.856894150480471,0.32363352767224735
207,0.856894150480471,0.32685765992937005
208,0.9155671468211825,0.3277502117641824
209,0.6572272706515585,0.3265719896018794
210,0.6572272706515585,0.3239592228346267
211,0.3554226554904559,0.31984290884278577
212,0.4664294484631517,0.32667854319829914
213,0.711619744842745,0.2955339318171118
214,0.711619744842745,0.3003449681019489
215,0.46605568916495405,0.42569402140698637
216,0.103441663373484,0.09005342328227345
217,0.6729572041293174,0.06692873536474343
218,0.9931823223382067,0.16379954003712077
219,0.9413819357117937,0.3063145412056414
220,0.9413819357117937,0.30302857163722274
221,0.9413819357117937,0.3602653765276311
222,0.9413819357117937,0.30794955810064556
223,0.9413819357117937,0.37880365693609597
224,0.9413819357117937,0.3665986449949319
225,0.8442941542847443,0.33660006596025643
226,0.7332294591065689,0.32322427090910594
227,0.7332294591065689,0.3219443128102983
228,0.7332294591065689,0.337937221998287
229,0.4450384422234737,0.20987675079417167
230,0.4450384422234737,0.2446914461130425
231,0.4450384422234737,0.26443855083867895
232,0.4450384422234737,0.2659488254326713
233,0.4450384422234737,0.3091286576213007
234,0.4450384422234737,0.3148567621930543
235,0.4450384422234737,0.3587802849303602
236,0.4450384422234737,0.3528417804530049
237,0.4450384422234737,0.3684490023511678
238,0.1924020126205283,0.5056925215764078
239,-0.34969474019371766,0.25045829951356247
240,-0.29926509396489276,0.10033249575121206
241,0.1978478761245459,0.04698381297863167
242,0.4326559526903703,0.09323441416765865
243,0.7723355885465352,0.0700991671350773
