,JPEIGLBL/TWSE inst_corr,JPEIGLBL/TWSE hist_corr
183,0.5845221504191921,0.33460987992102814
184,0.7915183712366327,0.3604029419304221
185,0.7915183712366327,0.354900254807982
186,0.8578268612660889,0.34400903625591045
187,0.8578268612660889,0.37173947826667697
188,0.8578268612660889,0.3729596817065852
189,0.8578268612660889,0.3904285751274328
190,0.8578268612660889,0.4269341321557049
191,0.7611658320925331,0.4337186430528609
192,0.4841458301741546,0.4367932999325248
193,0.8596274272434796,0.422983117241597
194,0.8596274272434796,0.4319196065738501
195,0.8596274272434796,0.3997770198007062
196,0.5964978572217887,0.5494424860282521
197,0.5964978572217887,0.548314939794761
198,0.5438360906919207,0.58891354362521
199,0.4407368109538269,0.4407816064212061
200,0.4407368109538269,0.5369184058182184
201,0.9132663268979359,0.5368959801373048
202,0.813313141568046,0.616323576148863
203,0.5573393550291236,0.5167143667036963
204,0.1624293471986029,0.45925271366732784
205,0.41508528073075684,0.44473612461432155
206,0.5160162029472132,0.4142709342400195
207,0.9905181118803053,0.40569935338545754
208,0.9905181118803053,0.3940297521373701
209,0.9905181118803053,0.35300441104882124
210,0.9905181118803053,0.3264077360394857
211,0.9905181118803053,0.30020094200115616
212,0.6364656947389465,0.29865439625983814
213,0.4480656825113919,0.3310107143867581
214,-0.008624937898636437,0.373166578998278
215,0.040585341214719434,0.172230172627033
216,0.49879331019312373,0.2796453341546605
217,0.629506595941795,0.32022252782736127
218,0.24000313346750077,0.3414776757733113
219,0.3420090434132529,0.3080225353636099
220,0.6525351436844513,0.29256519621344734
221,0.08973128454256504,0.28973066220086874
222,0.21280409300179604,0.18305059632086826
223,0.46717766261277505,0.18245042987848656
224,0.46717766261277505,0.09094284617091875
225,0.46717766261277505,0.15511686527373292
226,0.05761719001597514,0.17473527615721163
227,-0.35400440754390833,0.04706036723907517
228,0.28603812597118183,0.0797318914326384
229,0.529149816046381,0.14025740933448932
230,0.6872633552974088,0.1980958112592576
231,0.6619841712677037,0.1934324160461427
232,0.6619841712677037,0.24283220660466082
233,0.6619841712677037,0.2475466432275006
234,0.9094729949191783,0.25844784648149655
235,0.60021074379346,0.2990428329095682
236,-0.155200797731195,0.2839028916282096
237,-0.5760633491422447,0.2945059034648085
238,0.031140105041531262,0.23430510762964418
239,0.7909280227799348,0.2275167516217072
