,SHCOMP/SENSEX inst_corr,SHCOMP/SENSEX hist_corr
185,-0.3880740340616174,0.2714783644858109
186,0.14919661366896073,0.30526107243788986
187,0.14919661366896073,0.3419174798650114
188,0.14919661366896073,0.3412588770879847
189,0.8999809197720781,0.33159233492441514
190,0.4935905040012344,0.3121720167623607
191,0.2783137822446891,0.2991070395745345
192,-0.14152009807007512,0.18766020658584753
193,0.6842964787831256,0.17980714242129497
194,0.6842964787831256,0.20908416441009453
195,0.3593553550026729,0.2351287756488719
196,0.3593553550026729,0.2562127238774797
197,0.3593553550026729,0.2551651107568848
198,0.3593553550026729,0.2564436333699179
199,0.6544385319358845,0.33779189155265765
200,0.6544385319358845,0.3692994411197882
201,0.8376341203740567,0.24016087647504886
202,0.3348329820664016,0.24335744524018696
203,0.2664743774550311,0.32221272235988085
204,0.2883371497709126,0.20390895207672852
205,0.7958364436356827,0.30566555492937136
206,0.7958364436356827,0.264908079662189
207,0.46079695821626243,0.42455765215384195
208,0.46079695821626243,0.41416022809743186
209,0.46079695821626243,0.41521039291924267
210,0.4271334005157551,0.3932745197399737
211,0.5255947753321881,0.3750936899147931
212,0.3592919523302003,0.3805419199435684
213,0.5777423333509975,0.36886407439469593
214,0.6521131190661135,0.46338411104837024
215,0.37058047497512864,0.4372121865512554
216,0.3727981687824977,0.4168513218320949
217,0.21764238375150502,0.40478916585684915
218,0.01140395994061092,0.3493780569965044
219,0.3980348739160559,0.32488009006915863
220,0.3980348739160559,0.3270171423615024
221,0.3980348739160559,0.3359339151096264
222,0.8496924626335765,0.3411702951443499
223,0.8496924626335765,0.38615690582408624
224,0.5644652703141361,0.38617721565843144
225,0.054144981469839606,0.3550744153846312
226,0.8444147897905955,0.36087670179178527
227,0.5318810679102025,0.1498839264142858
228,0.4814359009257952,0.1733621503265992
229,0.7761824215833731,0.1790395152573228
230,0.7761824215833731,0.15725238206026143
231,0.7761824215833731,0.09347154985704462
232,0.7761824215833731,0.10041027624867761
233,0.6160280987753315,0.06894744634120521
234,0.5278436744654573,0.030833441782025663
235,0.5278436744654573,0.015338273080148504
236,0.5278436744654573,-0.0013438904950717526
237,0.5278436744654573,0.08329325887682139
238,0.3879024465190771,0.13040766459838005
239,-0.14715605880266897,0.04097680861929832
240,-0.46396079247762356,0.0411660961689514
241,0.2499737267780062,0.05537032522282984
242,0.6600712034925594,0.1687308954247042
243,0.49497876874169955,0.11276145562143791
244,0.33470382792059433,0.07307675978287122
245,0.6374808468749867,-0.019561664584394334
246,0.4152844415244356,-7.118315393258501e-05
247,0.5384900986153426,0.10864859101611438
248,0.5384900986153426,0.24153857176546073
249,0.5384900986153426,0.25937848476635156
250,0.3496950295053885,0.24034651331575416
251,0.023885140066306498,0.2096312748844233
252,0.16199099737901992,0.12367169867751117
253,0.6233219540902583,0.11272979280534204
254,0.6233219540902583,0.11527935457186045
255,0.8986595450165147,0.12593493635963376
256,0.8986595450165147,0.18259678196768972
257,0.8986595450165147,0.1720487409519745
258,0.8703268676596003,0.175643463492048
259,0.4941573001289879,0.15813535852109792
260,0.9320080450657704,0.3167425475210472
261,0.9320080450657704,0.4569269811458898
262,0.9281712527484746,0.5511330913875859
263,0.9281712527484746,0.5705220880905266
264,0.9281712527484746,0.5583654093735111
265,0.7648071048500086,0.5809720343503043
266,0.8342347765848418,0.5997030720326118
267,0.9466087381841749,0.606538503034557
