,NKY/JPEIGLBL inst_corr,NKY/JPEIGLBL hist_corr,KOSPI/LEGATRUU inst_corr,KOSPI/LEGATRUU hist_corr
150,0.7878535383612488,,0.4164303318942674,0.13571501747230522
151,0.9637216362585557,0.056651839862097736,0.31032137028110307,0.14663472787017912
152,0.9880127330699666,0.007511926572996353,0.5485411792602907,0.07774884337307977
153,0.23187422094396498,0.04701456901025372,0.5981508099623882,0.03460329916884102
154,0.01947446053764977,0.012404282049594952,0.12891212426881768,0.06302013104680723
155,0.8363002951334157,0.1265768842387554,-0.08752856597623386,0.07283489899263684
156,0.8363002951334157,0.2004244654001223,0.24581482568600757,0.06709395236563723
157,0.9934179202565475,0.26961834259924644,0.5236242074631715,0.14142391226641995
158,0.48090331361406025,0.24307923322805713,0.3317225553803911,0.11611149022375213
159,0.5749809299516193,0.23969244709824314,0.7786666563069725,0.13362999278877688
160,0.5749809299516193,0.3028413088416744,0.36422594646646866,0.09926106905667521
161,0.6710233527844356,0.35259319476922274,-0.5958367901550593,-0.005733991817351337
162,-0.08762954348671553,0.2877903804688053,-0.5958367901550593,-0.019218296570259436
163,0.45778030719144425,0.2665037196536223,0.23301174914717973,-0.04023414006774834
164,0.45237246067648906,0.2501193377974804,0.4721290231921466,-0.05374645571985266
165,0.22284600286946113,0.2767000338372896,0.7518000955076436,0.2043708730928626
166,-0.1485500456615829,0.21799776713092647,0.22429259510461982,0.19426283906223735
167,0.4669431927520567,0.1742416285714925,0.12715091220514121,0.24768433501381515
168,0.6591689356947565,0.2537522760173486,0.6418414885650209,0.348159770193342
169,0.30192069091131185,0.3569022508445931,0.4067279058838346,0.32411833318929795
170,0.26640980610981935,0.3268098103380091,0.3841802582352692,0.312863520876259
171,-0.13048726396481364,0.3306119587311883,0.8098579988904495,0.31904873736207195
172,-0.12346891117389623,0.055882595120479585,0.4020019230962838,0.32307081985252545
173,0.5017008094851385,0.1738768176979686,0.30802051883348375,0.32075829257838856
174,0.5017008094851385,0.18486014636963163,0.7215706184437369,0.3564764995079496
175,0.5017008094851385,0.1891055826838312,0.9168097721431776,0.38305320894171513
176,0.5017008094851385,0.2909624238688974,-0.13971075714116993,0.35133615559603354
177,0.5519884010205658,0.32166180606571626,0.00039776645731517615,0.34045617563834496
178,0.21571319732478814,0.30194729421456945,0.7312340324948142,0.374672164482813
179,0.027075471087870454,0.2998207406799444,0.6191650469772597,0.3305715562199284
180,0.6390698318799765,0.3037136740061405,-0.17504146707615673,0.317775216187001
181,0.9195951588354556,0.31887985476877345,-0.41779589653962884,0.21724227333451548
182,0.7928750361514323,0.33555571736326345,-0.5582574257824064,0.17424994820301873
183,0.8893411230926727,0.3387077323192691,-0.2834026405941903,0.28421474878708053
184,0.8893411230926727,0.3667839637103472,0.5540157507995067,0.32654087229953926
185,0.5136760521909062,0.357590628095742,-0.21168317310706022,0.32268525409554033
186,0.8129564974386578,0.35733111239844834,-0.4753282242122229,0.2934119772744397
187,0.8129564974386578,0.3562953965419272,-0.3401917098091197,0.12491419598892964
188,0.8129564974386578,0.4022671857566662,0.1597204895233587,0.1719037525650189
189,0.9462519422415984,0.41603970357707526,0.7886959117478658,0.18581493219442266
190,0.9462519422415984,0.42712233989973136,0.6074108908684099,0.028351590057731527
191,0.7499030430692218,0.39730768775997016,0.10676006587235884,0.0452722585939737
192,0.9584096825936328,0.4635539891771542,-0.2592400236166528,0.04621105339784398
193,0.49984843455119665,0.4620646612609016,-0.5877226291833595,0.002302634005280683
194,0.29085706628777375,0.6186085748606073,-0.7950617258090316,-0.03986867365712414
195,0.29085706628777375,0.5107229546940992,-0.07022766818729666,-0.06067217484829192
196,0.29085706628777375,0.5051101027485481,0.07610498460393392,-0.049233250319753355
197,0.5736969799309132,0.5343953138626557,-0.4478130747947829,-0.21570456895648712
198,0.5736969799309132,0.4866140277678646,-0.4478130747947829,-0.17383511564618107
199,0.6531426993937136,0.4737608419849288,0.3319012317209547,-0.1754341119456102
200,0.9137872541800653,0.6522207084671544,0.5883567894235291,-0.1728666070502923
201,0.9137872541800653,0.6865714353338623,0.061639373111909306,-0.1797475619498744
202,0.8276619918031596,0.7439957682158663,0.10600799900590852,-0.20219513508389061
203,0.37975875619989763,0.7012328613900988,0.19150914958478907,-0.1954290186133839
204,0.3128142562911241,0.6812130892500169,-0.0344949984216903,-0.10167988073287702
205,0.17378727399160757,0.6642119304570134,-0.4859315410927209,-0.13301965109090058
206,0.6724420020962392,0.6482887119102114,-0.4859315410927209,-0.2750559912602663
207,0.7204174737035304,0.6412472854941169,-0.4859315410927209,-0.2845002909688735
208,0.9467634510351901,0.6495146587775681,0.21321996276155983,-0.24478224887965944
209,0.44292116068593473,0.6374677875889073,0.2320670871184209,-0.20095693764104766
210,0.003568559071408399,0.5689807155264641,-0.24201956748538866,-0.2465323062639213
