,SENSEX/LBUSTRUU inst_corr,SENSEX/LBUSTRUU hist_corr
174,0.06080105216004606,0.37945267745410505
175,0.4798972075165147,0.383605476965989
176,0.6261067796962946,0.3840428476214481
177,0.8242843541070776,0.4048265380410816
178,0.6104108991308727,0.384065392475495
179,0.7893940496814299,0.3923256793413235
180,0.7893940496814299,0.3868355330548404
181,0.9059174134710587,0.39966313164156025
182,0.33502600899235857,0.4693665039655859
183,-0.20944330396892466,0.43964774559947206
184,-0.3676219650783224,0.35813250158742427
185,-0.10288571005764205,0.3587734408347869
186,0.34034644986304513,0.26466207133052133
187,0.3213981751439213,0.24316265809856016
188,0.6614482324467711,0.14916164875473253
189,0.9565110250452957,0.1594529007473789
190,0.9565110250452957,0.29930747312490724
191,0.6014577617231385,0.1440006889318862
192,0.5569801474779699,0.0970869825599885
193,0.4155669128856958,0.10007765615874023
194,0.6271866764158748,-0.034759882061752755
195,0.6271866764158748,0.08385749085804883
196,0.6271866764158748,0.07405603843708392
197,0.6271866764158748,0.10506407298566559
198,0.6271866764158748,0.22198096289173153
199,0.8590774042907945,0.2415809243656589
200,0.8590774042907945,0.27551690894917524
201,0.8590774042907945,0.20187013681480628
202,0.7224555748198055,0.19303662032115995
203,0.6594248862580814,0.15164138976813335
204,0.731397856151059,0.23604406442738313
205,0.6513264836700716,0.2767846448038118
206,0.9553565169482696,0.5158796671948389
207,0.8078765476915064,0.4706026165159856
208,0.8078765476915064,0.5232286964348903
209,0.8078765476915064,0.5473355991612345
210,0.8078765476915064,0.5617444570947577
211,0.8078765476915064,0.5704371699634834
212,0.8078765476915064,0.5851695362458265
213,0.6890869195700009,0.5738371383014
214,0.12422478127154717,0.4167883927431673
215,0.5760507886567192,0.37504075051165814
216,0.45191165371626,0.3801093042109679
217,0.4607241481182829,0.34934268155091724
218,0.7761457266633633,0.3845530637645062
219,0.6511709963733127,0.37256796509166484
220,0.8278378678190784,0.2951979178587588
221,0.5093826274738437,0.28931634520477645
222,0.4162204518425735,0.2698379494947588
223,0.307372648122534,0.2876054444615107
224,0.9216463700239447,0.2887189753124274
225,0.6499871045297602,0.43057151678668876
226,0.39021635917196845,0.3966628701128397
227,-0.06994332264128589,0.42401307146272854
228,0.07479592709862146,0.23840964892552774
229,0.7003098419138085,0.3200694063947478
230,0.7003098419138085,0.3118195705803377
231,0.5896986909096561,0.32316062174380294
232,0.15372560905806182,0.2821455140653132
233,0.7130835510304667,0.21841450071329424
234,0.706438207581403,0.21342794951727118
235,0.706438207581403,0.20133931195980279
236,0.955068841875899,0.2272283563334067
237,0.955068841875899,0.22253627938303577
238,0.8158147434127777,0.29081388140073594
239,0.36576867048542394,0.28336063276572016
240,0.5639155091377088,0.2651105157375906
241,0.8224039613008011,0.31661052913120996
242,0.7465636348219912,0.31068207498174044
243,0.9747759303623514,0.3177238575383094
244,0.0028705479845044274,0.3595938038234986
245,-0.2155692108674314,0.2549207068539933
246,0.30851723176611423,0.2334893289911886
247,0.9125107167479893,0.25569536359457146
248,0.9350554186605157,0.29524161532028326
249,0.9350554186605157,0.31063963768774366
250,0.8642774896416779,0.37164628550222495
251,0.6334523110478818,0.2936442138293102
252,0.6334523110478818,0.29474623610134165
253,0.6334523110478818,0.34961962086231446
254,0.9077187455549307,0.33780649251476713
255,0.7755666333218563,0.34903787093466543
256,0.9920171411073638,0.3809822530000749
257,0.9920171411073638,0.4358460576587088
258,0.6956769444929475,0.41520854855845085
259,0.9735614063550933,0.43136292155425393
260,0.988383399362245,0.42175033371535764
261,0.6623855378486307,0.46295344396131166
262,0.6574780338993425,0.5093050326424293
263,0.6574780338993425,0.4960891026589387
264,0.6574780338993425,0.5540118495824233
265,0.9373759387277951,0.6038197288754257
266,0.9373759387277951,0.606295930042734
267,0.3212869994046312,0.7325224319461282
268,0.2063579745841423,0.6793308886911437
269,0.6289396837288671,0.6547331844501265
270,0.5451929924884082,0.6860126283029865
271,0.6301970808138837,0.6622405155031795
272,0.937186879737477,0.661430566541333
273,0.6463516401972887,0.6802320757858453
274,0.586425882453085,0.6677457734263321
275,0.30380668744715994,0.6208974466110962
276,0.33211269947443856,0.6043966645604316
277,0.33211269947443856,0.5904888405513956
278,0.33211269947443856,0.541213317365964
279,0.33211269947443856,0.5206536273904935
280,0.8754115506267566,0.5346543135018673
281,0.8754115506267566,0.5134451039985947
282,0.8754115506267566,0.4891782936969749
283,0.7031299683315372,0.49400667841515367
284,0.7637907173574887,0.39753251597859496
285,0.7637907173574887,0.2720029011879741
286,0.7637907173574887,0.22555654002338588
287,0.7637907173574887,0.10870751466501495
288,0.8721757531628535,0.32536313556442037
289,0.8952067463916066,0.3519164295767071
290,0.8952067463916066,0.4447726286640633
291,0.7228539733476439,0.47891096303297187
292,0.5683086246439722,0.3766089021536241
293,0.7410032649999224,0.3340954942744825
294,0.6514867667202661,0.4028432815556678
295,0.6972594503608266,0.4921611920944614
296,0.7037570739582458,0.5295580461081891
297,0.07061859512690177,0.49482055343365716
298,0.38903913671221224,0.5001373881053849
299,0.3017354069213532,0.532521858833019
300,0.2540983703548692,0.4914841676168465
301,0.2540983703548692,0.4746490053698709
302,0.6527657108467448,0.4530569436671697
303,0.7147867766362963,0.4442335064273597
304,0.7147867766362963,0.4568489742322905
305,0.7147867766362963,0.4611356537881545
306,0.6794742047612723,0.4654949483034554
307,0.18226935067294375,0.46313062338849004
308,0.2951494398421672,0.4254298445254365
309,0.4199758505550945,0.4430402858752188
310,0.4930055733798727,0.38296942096676195
311,0.7595953896063689,0.38801599593807085
312,0.17896661516623957,0.38479441750850507
313,-0.021600508499671246,0.31734477268957206
314,0.759926904639883,0.29974488893432416
315,0.6827458077996507,0.3673640240996276
316,0.5817319001566057,0.4472124911918956
317,0.3890727100197397,0.350208009177076
318,0.31992041865390847,0.33862770486529814
319,-0.06728357562338053,0.36711030784593024
320,-0.18369537185386944,0.25934017908727564
321,-0.28223737586259606,0.23913423682661278
322,-0.5224232080960735,0.18130852667399114
323,0.5850244779662106,0.17131140258169364
324,0.5216968363969515,0.1670261649597122
325,0.46453414659536313,0.16865361255416356
326,0.46453414659536313,0.15045336525323544
327,0.8006117935758964,0.1717527209170663
328,0.5302285186350396,0.4160854781242065
329,0.5051328588250835,0.48765648478622625
330,0.7179066399326367,0.45788552636876645
331,0.3825468793911432,0.48173913017316017
332,0.03393340022313851,0.38559917583595715
333,0.5153856063559112,0.3610633825351769
334,0.798548009767989,0.41237187653289453
335,0.5712981082716516,0.4266664489155653
336,0.5712981082716516,0.4362565889075305
337,0.8511030893583248,0.4214104901859195
338,0.5937894134084781,0.38699476148814604
339,0.47829525602699824,0.42452878598008714
340,0.5927214476671603,0.4291230096792565
341,0.5824032747521967,0.4190552829943273
342,0.7139813415419293,0.556708204062593
343,0.950386751139232,0.6230460574441916
344,0.8829864286925605,0.6410274106167976
345,0.7296972663450298,0.6457456885741524
346,0.626532138921364,0.6854534440258288
347,0.22317606710647236,0.6411969611973309
348,0.4473315188065105,0.6604955981237599
349,0.4586496556410272,0.6587688564436757
350,0.7158907639799579,0.5902354016857296
351,0.8227747416735633,0.5643126400394299
352,0.7733300307476746,0.5339109535262705
353,0.15664243721893978,0.5435860348747085
354,-0.1874808567684508,0.5107634552832566
355,0.006382459741067656,0.5661791178157718
356,0.1239335520815021,0.4876102260528177
357,0.20654495165927667,0.48343142206142375
358,0.41076771980896243,0.45409826936258946
359,0.41579180869990084,0.5089324455457381
360,0.17008944471444865,0.38434354188725933
361,-0.15866180248549389,0.36834331871326975
362,-0.22058926833983025,0.29964534390013126
363,0.05829214330864401,0.2778873775013151
364,0.42662681965175464,0.2677780825626495
