,FTMIGMI/LF94TRUU inst_corr,FTMIGMI/LF94TRUU hist_corr
170,0.48650017506877496,0.4395051596862468
171,0.9916753784779715,0.46582323112154955
172,0.9916753784779715,0.4866204115845035
173,0.6760413489262528,0.49270611529009917
174,0.968595686381233,0.5073794165004816
175,0.4869594842483517,0.506977580930278
176,-0.07674051212483186,0.44218944679650013
177,0.23126934272202299,0.4457139579035215
178,0.729738682713765,0.47147718893280066
179,0.6643576073458046,0.4274207040411494
180,0.30982199978678304,0.31764479887361313
181,0.6858167882066101,0.4999795906574228
182,0.6858167882066101,0.484852146672021
183,0.6858167882066101,0.4428594202397745
184,0.6858167882066101,0.5764538552839783
185,0.6858167882066101,0.5747766662975732
186,0.7128369237994545,0.5695784400707464
187,0.7128369237994545,0.5305204927369671
188,0.7649176299521794,0.492211805795063
189,0.46387031269628753,0.49456999294390036
190,0.4584317342400342,0.5418111228134963
191,0.8560681824133671,0.6542052639887854
192,0.8560681824133671,0.6794890905542224
193,0.1143656383509729,0.5889089495128708
194,0.17169163444707505,0.5233555364712656
195,0.6265260933571738,0.5305965014906012
196,0.3540168177218913,0.43576975128830453
197,0.060363004864226355,0.43186266250144795
198,-0.10664665214653658,0.4242701020238569
199,0.37037382751401593,0.4575200578092329
200,0.37037382751401593,0.42876426550661895
201,0.7773866820047955,0.44618495582670203
202,0.7773866820047955,0.4973383115141706
203,0.7773866820047955,0.46119404878298964
204,0.7773866820047955,0.4731624784353886
205,0.7830085436186199,0.4846948333505206
206,0.3670658485055625,0.45997905390598764
207,0.37062732133467047,0.4664589593562264
208,0.6690086426466463,0.460532023089425
209,0.6602186228635245,0.4168823691125717
210,0.9516935883839968,0.43017086505508034
211,0.9516935883839968,0.42572759141806943
212,0.7878039696383219,0.3858923193193199
213,0.7878039696383219,0.255689819559364
214,0.7878039696383219,0.18241295970488933
215,0.32205333334380604,0.22224328296137538
216,-0.16537315747654524,0.18449954269764005
217,-0.16209074082811398,0.14755213072616988
218,0.38720147475730415,0.17090397285683728
219,0.8039295593095699,0.20734318669467094
220,0.8039295593095699,0.3145267952110894
221,0.8039295593095699,0.2977853988542515
222,0.8039295593095699,0.30569030841538797
223,0.7190393324597671,0.31195111187127433
224,0.7190393324597671,0.19810463643472428
225,0.7190393324597671,0.19484351980357426
226,0.5087158539316096,0.1630882182560686
227,0.3913261234779178,0.1421887779093101
228,0.7299566851973475,0.21433873037400739
229,0.613510538085872,0.16908327385332153
230,0.7420827602906205,0.16505720374166943
231,0.4842203109843616,0.2443200530582134
232,0.22016738293252522,0.08424941579229424
233,0.9498519010833892,0.06209188836791836
234,0.9498519010833892,0.03709720322987246
235,0.8869383427973553,-0.02510713993442579
236,0.12057086354641078,0.004647805006688783
237,-0.394195788128508,-0.10091725707292629
238,-0.23358576024505484,-0.09765116828933651
239,0.5808607138058826,-0.030975114503810318
240,0.6873923648788531,-0.02152019077395686
241,0.8813437416133172,-0.1360896225121284
242,0.8813437416133172,-0.10620177896830468
243,0.8813437416133172,-0.11442178584677927
244,0.5853752872040946,-0.1198017228463112
245,0.5853752872040946,-0.12857667477230178
246,0.5853752872040946,-0.1632652700832515
247,0.5853752872040946,-0.14196980345062363
248,0.5463069136002466,-0.13314830355624716
249,0.6625430595203347,-0.14891651161004463
250,0.3899928132192539,-0.22557146521120133
251,0.3304749021324037,-0.15344663581308737
252,0.6593812093311502,-0.09098747289954462
253,0.8846502114552428,0.028106958964924787
254,0.562033900808464,0.057833431074930206
255,0.7995369840314609,0.21046869333592305
256,0.6482750926702964,0.20886660237392024
257,0.8636104472306263,0.3127276962588938
258,0.8636104472306263,0.3036601699762589
259,0.1326772746112457,0.3586711583929259
260,-0.10328803039344638,0.38379193423342145
261,0.5747662243897108,0.34706352377652583
262,0.47615133339528953,0.3371207834031647
263,0.38008060870105553,0.3666369730891621
264,0.926613249434138,0.37505865192140236
265,0.926613249434138,0.37014701824805657
266,0.926613249434138,0.4155240378626343
267,0.926613249434138,0.42513504156183196
268,0.926613249434138,0.40414492773134364
269,0.926613249434138,0.4056779094614882
270,0.926613249434138,0.43672895421690205
271,0.8866137550580413,0.44036058259605976
272,0.0137520180757633,0.4354565530471648
273,0.11633353006650352,0.44699483767796905
274,0.112401547738256,0.42283013095692645
275,-0.0837437121296586,0.2698636653222639
276,0.5344414574482272,0.29273272524144384
277,0.694667332090841,0.14184617585596188
278,0.28015958451277545,0.11573280340524786
279,0.05473962311282275,-0.07556086857672602
280,0.4016610353798858,-0.0946872350123385
281,0.07408432020956192,-0.07503678402985639
282,-0.3239320123224738,-0.12088770785310196
283,-0.21003716854622154,-0.13800717791822828
284,0.5677684279605577,-0.13487676464552223
285,0.5677684279605577,-0.15656754345848337
286,0.5677684279605577,-0.27915917882901303
287,0.5677684279605577,-0.2817962921298792
288,0.7369917679457145,-0.31129630253403373
289,0.6971696661779888,-0.19166220062825057
290,0.642199391922762,-0.17026474375538903
291,0.8479643870253121,0.0012182579867285892
292,0.8479643870253121,-0.007377824815221924
293,0.8941126069081493,0.002269628834960096
294,0.6212646004508413,0.05332149982821361
295,0.8036342458276967,0.15144268093269406
296,0.8036342458276967,0.15789044713220632
297,0.8036342458276967,0.2651867870629517
298,0.6262405482321833,0.26703740311344504
299,0.6262405482321833,0.24479585185573982
300,0.6262405482321833,0.3578332067473537
301,0.6262405482321833,0.3655612548096615
302,0.6262405482321833,0.4101115513623191
303,0.6262405482321833,0.4097082586787222
304,0.9918836390451821,0.5751004590987927
305,0.5272065709221117,0.6579335602788683
306,0.6609386132036071,0.6424569576271665
307,0.9660544918474695,0.6299279020505851
308,0.6094841836111072,0.610309909453766
309,0.5379631183499025,0.6070168629775318
310,0.548457606720723,0.5881164641890777
311,0.68654646391127,0.49138397863096633
312,0.920110560276623,0.5396631239447477
313,0.920110560276623,0.4792570945746276
314,0.8259227015590964,0.5327259233750306
315,0.22013476794976272,0.4489358238997507
316,0.353799976352376,0.4425931823273197
317,0.5063528308201021,0.29753795319554543
318,0.5063528308201021,0.3084912314293138
319,0.8219401788678826,0.30310720887798115
320,0.408146426364342,0.23517305328411925
321,0.853835291637665,0.21311700917061455
322,0.853835291637665,0.1972790923111802
323,0.6167068181269102,0.17874397175920936
324,0.6377304418804887,0.2571766375014075
325,0.7293899377958919,0.2732176632380923
326,0.6854440750743391,0.4085835090957653
327,0.6359502281924386,0.44949846200036303
328,0.7357428712000073,0.4432139336446758
329,0.40006625634425513,0.4403561242411824
330,0.34278820621571526,0.4890365564251911
331,0.634766756579852,0.5944031741922987
332,0.634766756579852,0.5795564979742537
333,0.36241322561724293,0.5369489615920681
334,0.7142776974940797,0.5566515269981874
335,0.8263878627441621,0.54582720828698
336,0.6214162035282259,0.562830188901637
337,0.4644767541242025,0.5663669127853842
338,0.4783997134939413,0.5503897046139893
339,0.247011217851449,0.5598917043812657
340,0.4173867041243385,0.5134150294523945
341,0.5738880608812431,0.4655406028605988
342,0.705528610084766,0.4843794613783567
343,0.705528610084766,0.4783269913659747
344,0.6878880952564853,0.48546984350291533
345,0.3665014265927194,0.49814693564971224
346,0.38183154944335274,0.5438165231299252
347,0.34942510550971806,0.5252121358482668
348,0.8522734645209781,0.5057954251466773
349,0.6732632169185355,0.4983480330710128
350,0.6732632169185355,0.5043969074998439
351,0.6732632169185355,0.503782816929876
352,0.633819747997519,0.5273348975778547
353,0.6606612891111171,0.4986380184088594
354,0.6606612891111171,0.5404531957214991
355,0.6606612891111171,0.5514103327454937
356,0.8357622216721666,0.5381686565120909
357,0.6369181992705766,0.540410366602547
358,0.35227241701156486,0.4856237460824641
359,0.6288055608277207,0.5248462551657395
360,0.6288055608277207,0.5341809823664326
361,0.6288055608277207,0.53867891628838
362,0.9210147306674779,0.5488812154024363
363,0.6727603481452971,0.6101342471117513
364,0.7748139495324644,0.6110771307396181
