,SPX/SHCOMP inst_corr,SPX/SHCOMP hist_corr
182,0.3088787642248805,-0.08054040270881296
183,0.9686323956106208,-0.041809440499028905
184,0.9482166605556015,-0.02581451073898211
185,0.3931251301376491,-0.02525726391769284
186,-0.07871480236656773,-0.057063697638202474
187,0.0014878402294119064,-0.06308409693033969
188,0.37406331117597674,-0.05046363332274402
189,0.36818261782063116,-0.05522290179305527
190,0.8896211393378735,-0.06192751562558934
191,0.5969893746393418,-0.06485299895828042
192,0.6651148264639207,-0.034589034968854966
193,0.6651148264639207,-0.03560249445109843
194,0.6651148264639207,-0.007602400086870568
195,0.6913264624818155,0.09504948434993132
196,0.7623165040708162,0.25611927533621137
197,0.02823068508115613,0.23546983823631706
198,-0.17653002304796367,0.07055401114880808
199,0.3237126362471401,0.45379819691272505
200,0.960379255061424,0.4373352040573454
201,0.28322471388414244,0.46426314552506887
202,0.4522201597483105,0.5712489570882783
203,0.21279104913932628,0.4804889203833144
204,-0.5153073281653733,0.3473940124514929
205,0.2808040322340003,0.2836946833145834
206,0.595784479056688,0.3211543552570551
207,0.00696152350879328,0.26446053065074504
208,-0.25478765207074816,0.25249373947429
209,-0.09081368511680733,0.25851925164726164
210,0.38235218800488263,0.2331592660346116
211,0.6650721711570747,0.3054728786257492
212,0.1868983344408829,0.295100937644986
213,-0.3371004853538644,0.2570579711300266
214,-0.049576076044880825,0.2246061360617979
215,-0.30338292598853756,0.1730601104989109
216,-0.48251417235496297,0.1225698217855415
217,-0.6600284161398001,0.12193581795854416
218,0.15364995631170872,0.10253925743106056
219,0.6099484641659644,0.12912572840134606
220,-0.054141248531855174,0.15635118021303096
221,-0.6623884625834193,0.06235523982589282
222,-0.6429942422607464,0.06114289578743917
223,-0.491406033402701,0.008708800764845627
224,-0.17081175893687625,-0.25591644601186053
225,0.42459361364394993,-0.22948438838180688
226,0.26578235420340524,-0.16834455763729578
227,0.042773324418246494,-0.20497183473235114
228,0.2334476516759451,-0.2641786944982698
229,0.13640370549675881,-0.2932903570613154
230,0.1744645315386667,-0.2565241379042576
231,0.8235171197036224,-0.22799717023816687
232,0.8235171197036224,-0.22800901806032658
233,0.6064746140442332,-0.42969956910072815
234,-0.1979080107290272,-0.4317433842564308
235,-0.18878216123136837,-0.4151017564002422
236,0.303551096593294,-0.4309711342182537
237,0.03836682724067552,-0.3993959238067087
238,0.5953789078215819,-0.28738308419137343
239,0.5337156802233461,-0.2862370223850351
240,-0.04431651335633614,-0.2727460539062888
241,0.39055356733337754,-0.41699013495114895
242,0.6227224147650441,-0.39839312229913265
243,-0.14264413310501103,-0.1076444499226842
244,-0.5197397058684887,-0.2895740488765938
245,-0.5891795424267241,-0.2943610532175103
246,-0.3397956574222772,-0.32336691595705647
247,0.2543185139055713,-0.346566645352895
248,0.3658925693773474,-0.335778034697899
249,0.6645710148067876,-0.3221617023753289
