,FTMIGMI/LEGATRUU inst_corr,FTMIGMI/LEGATRUU hist_corr
162,0.3065733936476849,0.388776995656219
163,0.14025642995530876,0.4015061345988953
164,-0.4342872252416473,0.3379935725247495
165,-0.2608493821379895,0.28433506501802047
166,0.6430020741192495,0.2934899500042139
167,0.6135811685127103,0.2825233760668031
168,0.23756250117382494,0.3437085015448085
169,-0.185403568438992,0.3166634283735662
170,-0.17114064416107863,0.35369605602881493
171,-0.45019828747468893,0.26739601554609027
172,-0.11990260557078289,0.26558440772375075
173,0.6946869898677818,0.21179119334754637
174,0.42913991172295435,0.23464267717702733
175,-0.182900447945607,0.24625589581107224
176,-0.11073233473092076,0.18184398839339594
177,0.21245174184361923,0.1629611544934644
178,0.7350923620104187,0.16218818932735904
179,0.9597849531870545,0.14952157999352045
180,0.7261852162791956,0.11365367508687119
181,0.022083173497918124,0.10487724068143964
182,-0.38506399854481616,-0.07343981882178967
183,-0.6177065065368581,-0.10602498528019189
184,-0.4000269440905969,-0.10410699408177178
185,-0.37800855767661967,-0.2782993989591415
186,-0.6838903488426136,-0.25677133647815387
187,-0.30224563227048046,-0.21975582221290668
188,0.5537892643980702,-0.2909467677508956
189,0.6324085747851151,-0.19040218954538604
190,0.6352341998502293,-0.2758838511554564
191,0.29332482926987924,-0.27409835572222413
192,0.1804467478763157,-0.27505687566547227
193,-0.03891619981736165,-0.22099992651088998
194,-0.3462610712606519,-0.23572405207301003
195,-0.8156826583434106,-0.3864146966149163
196,-0.8564032966570861,-0.38922489273412314
197,-0.02871070960497708,-0.3684425431469611
198,0.20752209719961356,-0.3060585876053362
199,0.557639312726082,-0.3589651068645391
200,0.243931098549599,-0.3852477882468454
201,-0.04518440477486035,-0.3799589979429598
202,-0.3441195872406638,-0.3894661302672304
203,-0.3503281849659063,-0.39318951902511723
204,0.009517332978344825,-0.3858494246326575
205,0.34176954730003556,-0.39326292494947207
206,0.5859071895405781,-0.2129250591238573
207,0.7747072398734772,-0.050686298816475614
208,0.47200209065340615,0.08330632567831277
209,0.8659908022051866,0.080856819546935
210,0.8659908022051866,0.08890351502750575
211,0.6152063956745697,0.13330546110148134
212,0.4243039373952415,0.13492280912238977
213,0.21426832992693798,0.13844171419247675
214,-0.05491139928597769,0.152476272310226
215,-0.43567195604562065,0.06385942864086668
216,-0.5344653189857836,0.11299622311475704
217,0.020524858722074962,0.24389315717066298
218,-0.023643636865646262,0.2610158127610676
219,0.37777199504293113,0.2567954426159541
220,0.5216702300201658,0.2894412287001461
221,0.7491632856861684,0.34842557071901115
222,0.5519963952144274,0.37554157021194023
223,0.7845651994140859,0.527624939684254
224,0.7809038777706847,0.5680081317154936
225,0.11964163560525402,0.5591277564788841
226,0.45369569781412095,0.530485838381727
227,0.6246909222401753,0.583710271592962
228,0.18665858938018298,0.549103739778717
229,-0.02562067439981664,0.4486902926200733
230,0.3824367407359258,0.4414303475334119
231,0.5194158813329605,0.4060610574079885
232,-0.10980067641769739,0.4039342138328112
233,-0.1580641480459131,0.3052948053893773
234,0.2670754066415136,0.29691192719054144
235,0.14522633182971037,0.3728648777215387
236,-0.16961651337912878,0.24703557633282908
237,0.14801276550194872,0.34097806102426964
238,0.5448090000098572,0.34125900501381234
239,-0.08061274352514317,0.3340422096397428
240,0.22119466856822018,0.36146754762806427
241,0.7713526622742969,0.3575716777702224
242,0.7427631967550277,0.3248174256847473
243,0.3833253538410221,0.2817459946412014
244,0.35569649277961535,0.2864306810761083
245,0.4261096781304388,0.0064385065748373055
246,0.510957601675848,0.07814323505944791
247,0.1416988637940964,0.03139538902589302
248,-0.09757026055162647,0.02171204125558659
249,-0.27629255037415107,-0.005805527644388116
250,-0.2121923294997182,-0.07062273621989308
251,-0.035945424386881225,-0.0116727226297296
252,-0.3345605590880232,-0.1526608429412864
253,-0.04515739383862878,-0.13781324457471625
254,0.5592197167898233,-0.09295573264769924
255,0.6877499790562427,-0.04841154674682249
256,0.835829560706272,0.20451110137657
257,0.9800455220050277,0.17191133377062942
258,0.588386923160088,0.3283075268908486
259,0.23829360629232085,0.33574669831902026
260,0.24133064873096544,0.3507275124014872
261,-0.0010581010129194917,0.43033644493278683
262,0.03526260357207878,0.33671277357463913
263,0.17871989786891326,0.28249011178647637
264,-0.2453274056466869,0.27826441821770753
265,-0.33488908596203865,0.20654010441703813
266,0.21229915191904222,0.21335770993519287
267,0.40602326165531505,0.19649353765236938
268,0.33542138818659706,0.16934224661256503
269,0.3795140559421334,0.1613004879843715
270,0.6078752412315377,0.19946317813855063
271,0.746657254662671,0.2855806980143175
272,0.6316451304642313,0.3200854776801299
273,0.7365811145495074,0.3353712133127263
274,0.8304708244276663,0.44274807448933967
275,0.8237812352698738,0.4303294852400116
276,0.6569897353323757,0.42085459945152776
277,0.9863734814107409,0.4016897164560537
278,0.439485730768266,0.2306511079968672
279,0.08095364404373671,0.15503042991237842
280,0.4019558674364587,0.23044812904356674
281,0.4019558674364587,0.2612672209388542
282,0.8617617353802877,0.284662088235455
283,0.6788622103683034,0.26629776827350604
284,0.7939860456004775,0.3066795114945063
285,0.7075906459636829,0.3184807886683395
286,0.5192331675169123,0.4117712284890951
287,0.5316482172879581,0.5408903386494199
288,0.374661459727239,0.5172850870799973
289,0.5399666621570751,0.4717935655604222
290,0.5399666621570751,0.46269960422360307
291,0.8166121831537454,0.4806022761810654
292,0.5822778873954799,0.5362021474935724
293,0.5982075164776903,0.5376568417288775
294,0.7381074589900642,0.5937816287014441
295,0.905015113615693,0.5505866692040678
296,0.2477409645807485,0.5561812451433207
297,0.47942573823553847,0.5363429260639632
298,0.971560191768044,0.5397137681381582
299,0.37324229693088773,0.5244489253322034
300,-0.02411822062820318,0.49291027796725007
301,0.5263959964543781,0.5738374738965206
302,0.406001751704872,0.5618430972759614
303,0.10421092090317952,0.5190036282698143
304,-0.1393707819399706,0.4105296103405856
305,-0.37855416470240916,0.3912732708134768
306,-0.479985028410319,0.2869194361072008
307,-0.18886553347362572,0.25727175313309636
308,0.5499358301793705,0.2444968010960151
309,0.5125408617446664,0.20604486041975204
310,0.061227562561009516,0.22117554391286942
311,-0.2641329322901144,0.14817979269803339
312,-0.572064781060561,0.12050223649951107
313,-0.4316694141038822,0.0994028021710014
314,-0.15244358586564608,-0.026026833259896492
315,0.16395315883250577,-0.04238312355548395
316,0.6571089190705324,-0.06231600467654303
317,0.7365670073742732,-0.06967235243963342
318,0.47065669427591394,-0.07636432671925057
319,0.43145651966379045,-0.09999199953236874
320,0.3032713350761516,-0.1307114739827508
321,0.4460861783625201,-0.11858521979785083
322,0.056884778466437226,-0.08922052432326222
323,-0.1156404543299526,-0.10644624542918722
324,0.06723420533879697,-0.12739696025340738
325,0.34736849622555804,-0.03243647157141188
326,0.7625896882353034,0.07899854893022723
327,0.9483962427414819,0.09724219230998236
328,0.13485314213772356,0.14406717528925053
329,-0.39587233206366856,0.1382986338814802
330,-0.5211984010381512,-0.18269878023951797
331,-0.5197226431168472,-0.14720712630249924
332,-0.09846712199972352,-0.2053497244050028
333,0.20961102342897175,-0.14850456434654977
334,0.5457324653665344,-0.12162171906609646
335,0.5569260304397596,-0.06348013145165392
336,0.47487370247500466,-0.028290155585878024
337,-0.5304691595232702,-0.10167092036278072
338,-0.5593968407125111,-0.22442560386918473
339,-0.14303750351162745,-0.22094155181381073
340,0.09025898941101115,-0.21502165150160427
341,-0.4298237177972077,-0.254123774202336
342,-0.7007082080614867,-0.22841941751181194
343,-0.12218070863446008,-0.24513670019180342
344,0.06440162346454875,-0.294595532707996
345,0.08132209643936199,-0.15336050023853318
346,-0.364859906008287,-0.22570028473040787
347,-0.7517044711956382,-0.3643108697702758
348,0.27654044111968606,-0.4076038046977319
349,0.7452925208397042,-0.377505589901925
350,0.5064771200776995,-0.3402179107407244
351,0.3114167777277949,-0.28665998610066024
352,0.6751979470944505,-0.050682907180030844
353,0.6751979470944505,-0.09607664977326415
354,0.6751979470944505,-0.06706664799751098
355,0.3938668034162913,-0.05094204951656178
356,0.43377851443915766,-0.00587383302845176
357,0.7137510673644051,-0.0629758924947397
358,0.6606037754834749,-0.0016278737337327423
359,0.38531196158249575,0.014368805739452315
360,0.5279855123512538,0.10047775273116057
361,0.0072124112910091015,0.09660360386172312
362,-0.24838740335915477,0.07178702944273041
363,-0.05968922407039231,0.16542166141258113
364,-0.11233845648937375,0.1334346790862087
