,NKY/TWSE inst_corr,NKY/TWSE hist_corr
184,0.6626163322667833,0.8237626490491533
185,0.9357396986239223,0.8165181614859798
186,0.9357396986239223,0.816168496047496
187,0.9357396986239223,0.8340934065343967
188,0.9357396986239223,0.8360999540188927
189,0.9357396986239223,0.844649742374217
190,0.9357396986239223,0.8459738350492312
191,0.9357396986239223,0.8526074119420102
192,0.9357396986239223,0.8520954718390968
193,0.9357396986239223,0.8575098510154329
194,0.9357396986239223,0.8630565201168355
195,0.9357396986239223,0.8620674334509367
196,0.9357396986239223,0.8492536793799
197,0.9357396986239223,0.7693613674019747
198,0.919359514529225,0.7687130693132471
199,0.9661044918217883,0.8262964043594625
200,0.9661044918217883,0.8051777244813263
201,0.9661044918217883,0.8348711160808862
202,0.9661044918217883,0.8281290194013263
203,0.9661044918217883,0.828545366097921
204,0.9661044918217883,0.8315978949391049
205,0.9661044918217883,0.8540494247963814
206,0.9661044918217883,0.8830137395872132
207,0.9661044918217883,0.8811419292516647
208,0.9661044918217883,0.8807361832455898
209,0.9661044918217883,0.8585849455287675
210,0.9661044918217883,0.8554474308500398
211,0.9661044918217883,0.8592963245253522
212,0.9661044918217883,0.8568305891594115
213,0.9661044918217883,0.7790640970568667
214,0.9721062567759462,0.792790134902678
215,0.9721062567759462,0.7385423249752543
216,0.9721062567759462,0.6705004314420521
217,0.9721062567759462,0.6803764455483206
218,0.5188374766135917,0.6531142915819792
219,0.5188374766135917,0.6514785153197463
220,0.5188374766135917,0.6404734716499141
221,0.5188374766135917,0.5849480919209025
222,0.5188374766135917,0.5519650740416177
223,0.5188374766135917,0.428298769657224
224,0.5188374766135917,0.3199133706538681
225,0.5188374766135917,0.3023186333850693
226,0.5188374766135917,0.261183543461209
227,0.5188374766135917,0.3233886544965069
228,0.5188374766135917,0.29581842000122566
229,0.5188374766135917,0.2722333770062323
230,0.5188374766135917,0.2356978510471649
231,0.5188374766135917,0.26188919314404224
232,0.5188374766135917,0.26012582900084086
233,0.5188374766135917,0.2520596003944
234,0.5188374766135917,0.2595889329603436
235,0.5188374766135917,0.28669222202538713
236,0.5188374766135917,0.19034517225748354
237,0.5188374766135917,0.18877950597758872
238,0.5188374766135917,0.18026088347404953
239,0.5188374766135917,0.16462491527962397
240,0.5188374766135917,0.5172938985180514
241,0.5188374766135917,0.5246348086307682
242,0.5188374766135917,0.5855545236333038
243,0.5188374766135917,0.6465847053793541
244,0.5188374766135917,0.6378190178146511
245,0.5188374766135917,0.6450815313130294
246,0.5188374766135917,0.6443928280605171
247,0.5188374766135917,0.6611873467422738
248,0.5188374766135917,0.6416525383994596
249,0.5188374766135917,0.6058430976965417
250,0.5188374766135917,0.5966802372102236
251,0.5188374766135917,0.6459354497116048
252,0.5188374766135917,0.6664018506426372
253,0.5188374766135917,0.789344584099688
254,0.5188374766135917,0.7726586788331389
255,0.5188374766135917,0.7855537567185404
256,0.5188374766135917,0.7882803173859734
257,0.5188374766135917,0.791964539089027
