,TWSE/NKY inst_corr,TWSE/NKY hist_corr
184,0.6768156034502782,0.8237626490491533
185,0.951657494495029,0.8165181614859799
186,0.951657494495029,0.816168496047496
187,0.951657494495029,0.8340934065343967
188,0.951657494495029,0.8360999540188927
189,0.951657494495029,0.844649742374217
190,0.951657494495029,0.8459738350492312
191,0.951657494495029,0.8526074119420102
192,0.951657494495029,0.8520954718390967
193,0.951657494495029,0.8575098510154329
194,0.951657494495029,0.8630565201168354
195,0.951657494495029,0.8620674334509367
196,0.951657494495029,0.8492536793799
197,0.951657494495029,0.7693613674019747
198,0.9212812857727979,0.7687130693132471
199,0.9723286920612867,0.8262964043594624
200,0.9723286920612867,0.8051777244813264
201,0.9723286920612867,0.8348711160808862
202,0.9723286920612867,0.8281290194013263
203,0.9723286920612867,0.828545366097921
204,0.9723286920612867,0.8315978949391049
205,0.9723286920612867,0.8540494247963814
206,0.9723286920612867,0.8830137395872131
207,0.9723286920612867,0.8811419292516647
208,0.9723286920612867,0.8807361832455898
209,0.9723286920612867,0.8585849455287675
210,0.9723286920612867,0.8554474308500398
211,0.9723286920612867,0.8592963245253522
212,0.9723286920612867,0.8568305891594115
213,0.9723286920612867,0.7790640970568666
214,0.9609675476664725,0.792790134902678
215,0.9609675476664725,0.7385423249752543
216,0.9609675476664725,0.6705004314420522
217,0.9609675476664725,0.6803764455483206
218,0.506028324823826,0.6531142915819792
219,0.506028324823826,0.6514785153197463
220,0.506028324823826,0.6404734716499141
221,0.506028324823826,0.5849480919209024
222,0.506028324823826,0.5519650740416178
223,0.506028324823826,0.428298769657224
224,0.506028324823826,0.31991337065386816
225,0.506028324823826,0.3023186333850693
226,0.506028324823826,0.261183543461209
227,0.506028324823826,0.32338865449650694
228,0.506028324823826,0.2958184200012256
229,0.506028324823826,0.2722333770062323
230,0.506028324823826,0.23569785104716492
231,0.506028324823826,0.26188919314404224
232,0.506028324823826,0.2601258290008408
233,0.506028324823826,0.2520596003944
234,0.506028324823826,0.2595889329603436
235,0.506028324823826,0.2866922220253871
236,0.506028324823826,0.19034517225748354
237,0.506028324823826,0.18877950597758872
238,0.506028324823826,0.18026088347404953
239,0.506028324823826,0.16462491527962395
240,0.506028324823826,0.5172938985180513
241,0.506028324823826,0.5246348086307682
242,0.506028324823826,0.5855545236333038
243,0.506028324823826,0.646584705379354
244,0.506028324823826,0.6378190178146511
245,0.506028324823826,0.6450815313130295
246,0.506028324823826,0.644392828060517
247,0.506028324823826,0.6611873467422738
248,0.506028324823826,0.6416525383994597
249,0.506028324823826,0.6058430976965415
250,0.506028324823826,0.5966802372102236
251,0.506028324823826,0.6459354497116048
252,0.506028324823826,0.6664018506426372
253,0.506028324823826,0.789344584099688
254,0.506028324823826,0.7726586788331388
255,0.506028324823826,0.7855537567185406
256,0.506028324823826,0.7882803173859734
257,0.506028324823826,0.7919645390890269
258,0.506028324823826,0.8574010512083463
259,0.506028324823826,0.8581259931364171
260,0.506028324823826,0.8581205570754946
261,0.7998149109738287,0.7894212210527
262,0.7797806468250674,0.7242613358497134
263,0.7797806468250674,0.7125042529780313
264,0.7797806468250674,0.7256357022383704
265,0.7797806468250674,0.6912604069814776
266,0.7797806468250674,0.6752008582225096
267,0.7797806468250674,0.7089986096099323
268,0.7797806468250674,0.7054110300434328
269,0.7797806468250674,0.7113663332090133
270,0.7797806468250674,0.7285392699439674
271,0.7797806468250674,0.7631981787038801
272,0.7797806468250674,0.7306767041140017
273,0.7797806468250674,0.7220581933521989
274,0.7797806468250674,0.7199221018587877
275,0.7797806468250674,0.5927401484480225
276,0.7797806468250674,0.5591645919825851
277,0.7797806468250674,0.5676583292130079
278,0.7797806468250674,0.5445201959602597
279,0.7797806468250674,0.5118319616261228
280,0.7797806468250674,0.5249223586038926
281,0.7797806468250674,0.5336232600947308
282,0.7797806468250674,0.5398927944624207
283,0.7797806468250674,0.6115056827596349
284,0.7797806468250674,0.6417476384924391
285,0.7797806468250674,0.6238942665479451
286,0.7797806468250674,0.6252942050417224
287,0.7797806468250674,0.5542825616262794
288,0.7797806468250674,0.5578738386001705
289,0.7797806468250674,0.5237297269775026
290,0.8763040525667533,0.5388033321406195
291,0.9216235097349018,0.6425957914471732
292,0.9216235097349018,0.6297491545910999
293,0.9216235097349018,0.5907395924038368
294,0.9216235097349018,0.6334058603937954
295,0.9216235097349018,0.6250492783500202
296,0.9216235097349018,0.6217350070853944
297,0.9216235097349018,0.6480539332503472
298,0.9216235097349018,0.6986253449564774
299,0.9216235097349018,0.6914632393423925
300,0.9216235097349018,0.6564832662991585
301,0.9216235097349018,0.684191017281344
302,0.9216235097349018,0.6612239768648076
303,0.9216235097349018,0.6406794267414685
304,0.9216235097349018,0.6415612466924984
305,0.9216235097349018,0.6374902462784517
306,0.9216235097349018,0.6168173881010012
307,0.9216235097349018,0.619743857220678
308,0.9216235097349018,0.6230034737085096
309,0.9216235097349018,0.6600438988572649
310,0.9216235097349018,0.6954349681477315
311,0.9216235097349018,0.6396124207092232
312,0.9216235097349018,0.6471483947122249
313,0.9216235097349018,0.48852494113077743
314,0.9216235097349018,0.4323261215778365
315,0.7380561885393659,0.4702371965652132
316,0.276847226702833,0.2649333837429179
317,0.8619082453703227,0.315783565081594
318,0.8619082453703227,0.3287900100290377
319,0.8619082453703227,0.3903175160897954
320,0.8619082453703227,0.39143439701910965
321,0.8619082453703227,0.3992984644490063
322,0.7123601441731876,0.3495062465808471
323,0.7088148714286258,0.2667878076439198
324,0.7088148714286258,0.29573953409618403
325,0.7088148714286258,0.3209230517393353
326,0.7088148714286258,0.34204126313010447
327,0.9553422566530064,0.3884811434223369
328,0.9434789280409556,0.4312963408869921
329,0.615371333570257,0.4432800432247783
330,0.7934253125829505,0.7741708172396042
331,0.8768339522255292,0.7471925242198835
332,0.8768339522255292,0.745997538790271
333,0.9122412904032846,0.7613793320620756
334,0.9122412904032846,0.7557265076288758
335,0.7097012260780176,0.7480316114092952
336,0.7097012260780176,0.7479539795778446
337,0.9366761795786034,0.73748407193129
338,0.9506675078614116,0.7897068340133764
339,0.719432969429987,0.7811934195879227
340,0.8964905157537476,0.7778830866458083
341,0.8964905157537476,0.7677427937756468
342,0.8964905157537476,0.7656394557176734
343,0.9804529087174945,0.756372320012961
344,0.7985550220309006,0.8091903826748097
345,0.5582995441726611,0.8079586979792632
346,0.5582995441726611,0.7872240880411686
347,0.7871560485438828,0.7836412487215716
348,0.35178087651872636,0.7633757115794246
349,0.4622895309360297,0.7591972923209622
350,0.4622895309360297,0.7547945496911996
351,0.4622895309360297,0.7609913280868252
352,0.4622895309360297,0.7176707545557229
353,0.4622895309360297,0.7598468097339597
354,0.4622895309360297,0.7446220983609214
355,0.4622895309360297,0.7320357497166446
356,0.4622895309360297,0.7463940598114701
357,0.4622895309360297,0.7483320907044188
358,0.4622895309360297,0.752444029738376
359,0.4622895309360297,0.7502393180406172
360,0.4622895309360297,0.6964293580433311
361,0.4622895309360297,0.7050252719302145
362,0.4622895309360297,0.5577570326349847
363,0.4622895309360297,0.5661136446163189
364,0.4622895309360297,0.5704522520314057
