,FTMIGMI/SENSEX inst_corr,FTMIGMI/SENSEX hist_corr
175,0.8406749462007286,0.6034808025026008
176,0.8406749462007286,0.6116682054610129
177,0.7611324947309964,0.6028960858767625
178,0.7611324947309964,0.6268612336616388
179,0.7611324947309964,0.6031269475188213
180,0.7611324947309964,0.5989868701627641
181,0.7611324947309964,0.6022798325217853
182,0.5625505624024613,0.5970928786830715
183,0.28533956981940356,0.6033371961567253
184,-0.11490169070939826,0.49334052274781814
185,0.701886464576736,0.49573022032472286
186,0.822788507901845,0.47184795625368914
187,0.39431538440152264,0.4417302783626945
188,0.39431538440152264,0.36239904825036506
189,0.39431538440152264,0.3584264098503891
190,0.39431538440152264,0.4364655926467175
191,0.39431538440152264,0.367457021044072
192,0.6875068425424081,0.35857493367907445
193,0.6875068425424081,0.4933220771740216
194,0.6875068425424081,0.4802769479187886
195,0.5480775624424405,0.46972221053692187
196,0.4618649286307715,0.4817652684634469
197,0.4618649286307715,0.5453183597009325
198,0.4618649286307715,0.5630145359531185
199,0.7124845005823471,0.5732974055970577
200,0.9581317559351418,0.5363235297030348
201,0.9581317559351418,0.5459415526102313
202,0.6900709401482336,0.5474518135979362
203,0.9794826439000455,0.572964106428763
204,0.9794826439000455,0.6028428186283051
205,0.9794826439000455,0.5793051420296315
206,0.9794826439000455,0.7723223902743528
207,0.9794826439000455,0.7604801942203744
208,0.9794826439000455,0.7559856172735482
209,0.9794826439000455,0.7993375308284016
210,0.9794826439000455,0.7573371267742719
211,0.9794826439000455,0.7539505251467773
212,0.9794826439000455,0.754348393146278
213,0.9794826439000455,0.7041287950202709
214,0.9794826439000455,0.7690746032945537
215,0.9794826439000455,0.7501097295415324
216,0.9794826439000455,0.7535089263364775
217,0.7925166350470901,0.746428203139212
218,0.7925166350470901,0.7455251147058936
219,0.7925166350470901,0.6809955855086984
220,0.7925166350470901,0.670184992534265
221,0.7925166350470901,0.6755109564439494
222,0.7925166350470901,0.6151479335040565
223,0.7925166350470901,0.6181723201384446
224,0.7925166350470901,0.5879028546200662
225,0.7925166350470901,0.5348136887445113
226,0.7925166350470901,0.46650299595532657
227,0.8486127764094364,0.46388826898626195
228,0.4606995767318283,0.34353826075250266
229,0.4606995767318283,0.38941618813556533
230,0.4606995767318283,0.37545283850733646
231,0.9336181598837121,0.39320687415302197
232,0.7871639945518397,0.3347237827930109
233,0.9890788318367196,0.40651623110345136
234,0.9890788318367196,0.4120082067872698
235,0.9890788318367196,0.4392745316301641
236,0.9890788318367196,0.4272735983472581
237,0.9890788318367196,0.47157928985015723
238,0.9890788318367196,0.48779546926923445
239,0.9890788318367196,0.5083284574186904
240,0.9890788318367196,0.4834520628511291
241,0.9890788318367196,0.5065056612455148
242,0.8403432872732506,0.4520119303725319
243,0.8586262484651935,0.479346897105942
244,0.25236553013525587,0.4523599431192644
245,-0.04256462679734845,0.31871428140362656
246,0.4357779995396977,0.31960091435457416
247,0.910687700475124,0.3336313964038938
248,0.9999896575438523,0.3189761047019588
249,0.9999896575438523,0.30873588935704077
250,0.9999896575438523,0.3510304103414475
251,0.9999896575438523,0.3167422892744448
252,0.9999896575438523,0.3132173863618427
253,0.9999896575438523,0.3576785492869642
254,0.9999896575438523,0.37353116027943195
255,0.6869379322681535,0.3433721018864542
256,0.9403565877290467,0.4094150800307971
257,0.9403565877290467,0.46465771355264435
258,0.9403565877290467,0.49152266086028135
259,0.9632083841726676,0.5021054174784457
260,0.9632083841726676,0.5388068549894787
261,0.8578761569838734,0.5325075051794427
262,0.8578761569838734,0.5698904116169636
263,0.8578761569838734,0.5522522221539974
264,0.8578761569838734,0.6328627489519939
265,0.8578761569838734,0.6293144161837734
266,0.8578761569838734,0.6750456894624847
267,0.8578761569838734,0.8479078451212785
268,0.8578761569838734,0.8488103643816863
269,0.8578761569838734,0.8356776103655734
270,0.8208701948746808,0.8646835198461532
271,0.9187449595266048,0.8550670963380697
272,0.8806716616448231,0.8504748284455246
273,0.8806716616448231,0.8567886831747773
274,0.8806716616448231,0.8386788855734102
275,0.8806716616448231,0.8212507034598172
276,0.8806716616448231,0.8303254985585546
277,0.8806716616448231,0.8149687023889016
278,0.8806716616448231,0.7920141495186986
279,0.8806716616448231,0.7818415074299104
280,0.8806716616448231,0.7613649451060933
281,0.8806716616448231,0.7414426616008059
282,0.8806716616448231,0.6917720880605499
283,0.8806716616448231,0.6881537223472705
284,0.8806716616448231,0.6034161593457652
285,0.8806716616448231,0.5733217161296286
286,0.8806716616448231,0.4676293554718598
287,0.9041309641634101,0.38781982944786636
288,0.8886635520149685,0.576236326606001
289,0.8886635520149685,0.6145951993560679
290,0.8886635520149685,0.6109133679621503
291,0.902260040973683,0.5679296726542536
292,0.902260040973683,0.5261904204342686
293,0.902260040973683,0.5376356729785372
294,0.902260040973683,0.595201029426766
295,0.902260040973683,0.6339053220682241
296,0.9955824383954788,0.6504817814028354
297,0.9955824383954788,0.6910121141339479
298,0.9955824383954788,0.6878319105244582
299,0.6602066950803571,0.7343394756320517
300,0.902694338297003,0.6774000522585459
301,0.902694338297003,0.6715093784724104
302,0.6991186225103004,0.65607537177295
303,0.8957083124130018,0.7183041611022009
304,0.8957083124130018,0.743170362017624
305,0.8957083124130018,0.7150006686689017
306,0.8957083124130018,0.7228355995237569
307,0.8957083124130018,0.7252410375775192
308,0.8957083124130018,0.7263761292806172
309,0.8872883419940756,0.737600577372264
310,0.7674154438033137,0.7060239077324731
311,0.7279130124919084,0.6831343345529755
312,0.9055289192061379,0.692951685750167
313,0.7246498963551254,0.7228269583133784
314,0.7246498963551254,0.6944883757068938
315,0.701153175518281,0.6925990296635257
316,0.8022092955637001,0.7202137390109635
317,0.9872785863681509,0.7224043488200272
318,0.46566427053021064,0.6930900706395817
319,0.016287572166772034,0.6556619163010655
320,0.07402850032368603,0.544008809229557
321,0.4729428817336843,0.5438704501144848
322,0.8934021640445136,0.5098945049904196
323,0.7622843604949918,0.5023805496592629
324,0.7389497949448962,0.48664775523199977
325,0.7566004666075111,0.4022909050735664
326,0.7566004666075111,0.3776423229494941
327,0.7162457759082179,0.4174520965374492
328,0.5587093367120882,0.5558962189100016
329,0.7112270052790757,0.5628088492972021
330,0.7112270052790757,0.5399654824053284
331,0.3238930245110199,0.5435818316497054
332,0.3331396949508066,0.4844305695734305
333,0.8584104020118752,0.5791781637764442
334,0.8584104020118752,0.6603567181537157
335,0.7046716065974794,0.6273580101537808
336,0.7450810483187985,0.639764318428084
337,0.6962934276238111,0.640334395090725
338,0.6344826170970091,0.6205682106051126
339,0.36517630206501656,0.5921782932803515
340,0.5538838803110507,0.5914520470841997
341,0.5960623566039354,0.5841393861548994
342,0.8512701981865988,0.653836835186679
343,0.943569474638775,0.657788128912889
344,0.6516609519314639,0.596984985170898
345,0.6897341966319687,0.595736491003999
346,0.843052670532529,0.6594480320650168
347,0.49386259675022204,0.6380565155053652
348,0.7491762820645232,0.6816244659147616
349,0.7491762820645232,0.6756644128583913
350,0.7491762820645232,0.6350679825247999
351,0.7869112217687932,0.6431687819317756
352,0.7364175995922567,0.6336565335401676
353,0.7916503303602398,0.6442294160386957
354,0.7916503303602398,0.6830655070828735
355,0.7916503303602398,0.6065045097867824
356,0.7916503303602398,0.5233743923878268
357,0.8896112534998335,0.5458798762365957
358,0.8896112534998335,0.524615448827316
359,0.8849273111863344,0.564922391307484
360,0.731482628486617,0.5153825185734647
361,0.731482628486617,0.5521132969758566
362,0.731482628486617,0.5046969819688741
363,0.9641026873498283,0.5300254069504319
364,0.9641026873498283,0.5270072203985441
