,HSI/UKX inst_corr,HSI/UKX hist_corr
174,0.4267691457108415,0.392870304679394
175,0.5423203460152027,0.45009021395487336
176,0.5423203460152027,0.3417852498928632
177,0.5423203460152027,0.3961045582576285
178,0.4315938055626877,0.3646272308021962
179,0.3946380895697948,0.30979374687111777
180,0.9650670737577719,0.28994474843553836
181,0.4087615735285167,0.3543321942767016
182,0.6216328373770638,0.30968532207763244
183,0.7219426588051774,0.28887604391134825
184,0.2741075972259664,0.3223609727826952
185,-0.041213882157558494,0.18456297082590695
186,0.21573426577268293,0.19152933645383458
187,0.32370323268010237,0.1605279527667072
188,0.6176426180322816,0.16533616236503448
189,0.698628194069631,0.18240109305109348
190,0.39080298256342005,0.2571087009304636
191,0.8527324179944306,0.28884250398529093
192,0.8527324179944306,0.2926605214218697
193,0.8527324179944306,0.26689145119388247
194,0.8527324179944306,0.2588163697273369
195,0.9328884464115872,0.33925357832664377
196,0.887511118934082,0.349830936510182
197,0.799897425397698,0.37812511227310214
198,0.3650825289652055,0.3683194666466008
199,0.18811486893123594,0.3484853921386062
200,0.42439381804045617,0.4080278934429903
201,0.42439381804045617,0.4046326352576254
202,0.8695948702544507,0.4211847863627691
203,0.5257398702178283,0.37447346629826145
204,0.5547112493994324,0.3424305803727266
205,0.453849889501305,0.3498708804464184
206,0.9168619217272265,0.32330858301277277
207,0.656160157881722,0.46146809750924145
208,-0.02850749764687261,0.40061262798237063
209,0.09759157622171265,0.3723142157411305
210,0.445278999040168,0.36773208456793127
211,0.7078811453474368,0.3277347656634597
212,0.7078811453474368,0.3452091183526434
213,0.819254957463663,0.23037177971024397
214,0.819254957463663,0.2530714489754166
215,0.7733529900644653,0.25086499448295513
216,0.4466993867711782,0.22864663519154088
217,0.8240296167686962,0.07056659466756354
218,0.8240296167686962,0.09718044365501632
219,0.9089242484178701,0.22869692285801754
220,0.3036050020549418,0.20073047743667322
221,0.5123247269976298,0.2286913356660778
222,0.27748878185916664,0.24821655786144173
223,-0.1435672371529862,0.1724693776107747
224,0.049546401843993226,0.09433494145767764
225,0.7739865095857973,0.12722317463259591
226,0.9718740136464729,0.11412847768616971
227,0.803797429908762,0.10619741842306252
228,0.803797429908762,0.12176715402372475
229,0.803797429908762,0.04864928175157257
230,0.855631930713963,0.18329331665493065
231,0.9164613352890311,0.20910740899591834
232,0.9164613352890311,0.19083574811538936
233,0.3837570373595392,0.15829876683147767
234,0.2387673153034172,0.07652891211645933
235,0.2196860213093345,0.12063244667488131
236,0.35841315139720387,0.17218718701071453
237,0.7805611425094362,0.18932211879763094
238,0.8066076997986927,0.2535885210373996
239,0.6590316279843119,0.26185894429017914
240,0.8282434019174664,0.2856897990282167
241,0.3421813370974835,0.24750112379743638
242,-0.44045907105068177,0.17278653233140845
243,-0.10567537266697341,0.17259159995318252
244,-0.10567537266697341,0.1920925640395726
245,0.9695764610973242,0.2640480988167874
246,0.9695764610973242,0.28771478875089784
247,0.9695764610973242,0.2834958096846215
248,0.9695764610973242,0.2568571076388588
249,0.9695764610973242,0.34051280584449095
250,0.9695764610973242,0.3323716112868534
251,0.9695764610973242,0.3767250195537182
252,0.9695764610973242,0.3989504516371749
253,0.9695764610973242,0.3851073701527764
254,0.38410617309790634,0.37502061104552076
255,0.15838390793498336,0.3590038477344039
256,0.5360694698064725,0.39065753163281663
257,0.6915421834308135,0.4193618380152298
258,0.6915421834308135,0.4067575046575942
259,0.6915421834308135,0.39301273313790447
260,0.9087910023959761,0.3792665552587151
261,0.4117733049001912,0.3346858032225027
262,0.5938407951199483,0.20950104161799757
263,0.5938407951199483,0.2181168526925384
264,0.5938407951199483,0.4573922981809488
265,0.9437769201183946,0.4212494210353408
266,0.6503630228380183,0.4673737830406391
267,0.7576107337010238,0.5244608863045733
268,0.7942753419821771,0.48568994696603396
269,0.6000297590515271,0.48827813823748006
270,0.852224566465926,0.5193033121614531
271,0.861540012758146,0.4838486822645555
272,0.861540012758146,0.4330884253440011
273,0.8770131328099785,0.3915570680366959
274,0.6594086957201836,0.3826676909673663
275,0.647674486257395,0.3909956609309575
276,0.7823640284659239,0.4942273843037356
277,0.6283910796346895,0.48444709474966346
278,0.7778720190661749,0.49795653454854694
279,0.965889614466442,0.5186366470780157
280,0.9978239009724074,0.509341149662781
281,0.9978239009724074,0.5151897880139339
282,0.9978239009724074,0.4786559038077052
283,0.7948592644803614,0.5403429759454409
284,0.9466470134271457,0.5504422460493645
285,0.9466470134271457,0.5296617763091361
286,0.994847605443441,0.5432331371627099
287,0.5598114213379602,0.5973047574309706
288,0.10427233305763063,0.5182582688405364
289,0.34795064155418015,0.4090146674604109
290,0.6470537740427662,0.5155630339816917
291,0.6745086784397306,0.527782671870719
292,0.8453140015769397,0.47309098234125785
293,0.7728833232646747,0.4272550888762023
