,FNERTR/LBEATREU inst_corr,FNERTR/LBEATREU hist_corr,LGER/NKYNTR inst_corr,LGER/NKYNTR hist_corr
141,0.5391432565938137,-0.02059405265097504,0.7372588683275869,0.5311526216687243
142,0.322558409430483,-0.010110144438263234,0.678657614343924,0.6075285777975288
143,-0.164042646977483,-0.00144487981246243,0.678657614343924,0.7228666092653739
144,0.08650524310139732,0.06525181714171029,0.678657614343924,0.7205862397923166
145,0.2469143385169662,0.06413570419313883,0.678657614343924,0.7662315320437654
146,0.5513608397402457,0.12431376328112695,0.678657614343924,0.7650704990377764
147,0.5719668557321519,0.06823245493841926,0.678657614343924,0.7492605976604064
148,0.13260742274783807,0.12113792271091725,0.678657614343924,0.7623264975947804
149,0.026605828938771493,0.07779608605762336,0.678657614343924,0.7939630221322315
150,-0.10577607629882944,0.2363515792292603,0.40745523842068093,0.7346516910333272
151,-0.34483257201191975,0.17161672127840064,0.9689762070186952,0.6973041282390223
152,-0.2407403872163646,0.16246014015638327,0.9999051045838784,0.722993699217104
153,-0.026640582386065207,0.36311514555941843,0.9999051045838784,0.6914983796967975
154,-0.24423080395058752,0.3929165900934377,0.9999051045838784,0.7145954109174241
155,-0.5614178306541442,0.3076126332842822,0.8700860715876081,0.7748715062079095
156,-0.5814555728577928,-0.0617114716359128,0.8700860715876081,0.7738792215113136
157,-0.4045530831480475,-0.0813614118969283,0.8700860715876081,0.7791687169503668
158,0.1514427836762823,-0.026483913372630837,0.8395127320821089,0.7980238737550114
159,0.26837941946304605,-0.03750502646487989,-0.0603175238596126,0.7907973990177187
160,0.030305616676548606,-0.04054808418589044,-0.1585592149276316,0.531960150784508
161,-0.16512653412337433,-0.13774850820481105,0.20451068490322477,0.5516523059953918
162,-0.12621226671964675,-0.13031350629131522,0.4302407967778698,0.5589769146172839
163,-0.3864764699392901,-0.2057693458281991,0.6771751329622081,0.5854492335722278
164,-0.3641535481949302,-0.20368086239326136,0.47016807603444266,0.5442200313785251
165,-0.12190242678806838,-0.196270884629262,-0.27890119131867663,0.3405710851557282
166,0.11140556556579843,-0.216419782456926,0.3022241689363579,0.37001510131833154
167,0.035899257776456264,-0.2042043983983679,0.3022241689363579,0.3578731665272221
168,0.20617730036462772,-0.26156510307179476,0.47230807555452026,0.3454577580930867
169,0.46133818101129054,-0.15509064527175614,0.44522504093886545,0.3534974679832383
170,0.4893891216512971,-0.15895000773377488,0.36361937748945555,0.37188666514730406
171,0.17342092828673525,-0.11567797712545874,-0.2505561666517,0.33217286363546894
172,-0.21431859948367757,-0.17833889721468615,-0.3785909158346578,0.31243751641251893
173,-0.010827148864904658,-0.15868054994140326,0.3531012571380015,0.3056813805267277
174,0.16035306969839422,-0.15784727933714543,0.9037920643343647,0.2940911757967908
175,-0.33861018169513163,-0.14966786762986412,0.91667015600046,0.2722156499841002
176,-0.5404273507297832,-0.2483155703897052,0.7595464490904905,0.2893372673079952
177,-0.2332549414750799,-0.2458353665163087,0.8427260004771453,0.27360172775230035
178,0.14039771299845857,0.016044541487424006,0.6967135892802794,0.2740094947155461
179,-0.06584615318751931,-0.04929265449581616,0.5461625439926648,0.30541466925863164
180,0.1252761264494597,-0.08426075845895911,0.7185764992113289,0.3587053172906604
181,0.11254893418333109,-0.11587154155270857,0.7668605293376216,0.33263705045706116
182,-0.012780515390973433,-0.1192086207873082,0.2312512695642388,0.4262459166439063
183,0.2214805334268809,-0.051843894861865844,0.08052597998556506,0.4037501318969216
184,0.11439416705389102,-0.005048047046616484,0.4390925207476019,0.40183407538248767
185,-0.10286213022037144,0.05080257801262119,0.5859544013790594,0.21967992385277382
186,0.15958761092940899,0.09611374280190146,0.4614319459169886,0.24308423550081268
187,-0.5239537794925139,0.14016686129463168,0.029556952191070344,0.33640217132875627
188,-0.42792976448328546,-0.1548270072721232,-0.06638396323449212,0.2592018334458026
189,-0.2227004471816092,-0.07617759136758379,0.618505490370373,0.27914196585836104
190,-0.22923283166921718,-0.12475362340115186,0.8160350250007036,0.302962212110722
191,-0.038175048287742576,-0.20644244103566411,0.5139743262535857,0.3391663536673649
192,-0.03060791718913818,-0.19125081200454463,0.048990303519611915,0.28864041365769555
193,-0.08498654619529085,-0.22579043140952976,0.13053202932621713,0.26847184476753067
194,-0.1297657052392901,-0.21081277073067578,0.5770396310841335,0.4332960012086422
195,-0.4590307955854318,-0.2112175087801544,0.5770396310841335,0.4091335901280483
196,-0.6141675123177357,-0.25221624999073183,0.9187582111119343,0.4915124237205442
197,-0.6490515162725774,-0.29996605059465636,0.6918536646647977,0.48667111258758877
198,-0.4600564267021847,-0.1903270336129729,0.6799810143042955,0.48702836378372083
199,-0.10414505768232964,-0.1774855726305122,0.3414271004767883,0.49530361021196484
