,LBUSTRUU/VIX inst_corr,LBUSTRUU/VIX hist_corr
167,-0.3564884168374834,-0.19169485423383908
168,-0.6648883668015989,-0.1929692115118838
169,-0.30550355709511795,-0.19941689369205604
170,-0.1499471082384839,-0.19008086242509595
171,-0.1162321490276388,-0.19277554529695068
172,-0.5211416435499377,-0.2071574238657448
173,-0.5211416435499377,-0.20923479168530945
174,-0.5214585737999604,-0.21052118288567462
175,-0.8809533325623303,-0.19670473531173716
176,-0.8126919598814094,-0.19553594277602712
177,-0.5789832617123538,-0.187282450970807
178,-0.5981467165546132,-0.1901100803079906
179,-0.3924630607823242,-0.1372578181341144
180,-0.35946052705827225,-0.005157349852609461
181,-0.8858763924069002,-0.14574670784280042
182,-0.8858763924069002,-0.11667444883726016
183,-0.7968615011501995,0.0760042525776074
184,-0.7281436196136613,-0.1624036968165814
185,-0.38119496659506896,-0.0864092095193611
186,-0.33644669823598417,-0.08352345966722304
187,-0.332379346474192,-0.17925961993471623
188,-0.17387160530791204,-0.17894551015906612
189,-0.22824859829277858,-0.23512274686530849
190,-0.4314292357519912,-0.1826380634832179
191,-0.9451068353449844,-0.20303484860600166
192,-0.9451068353449844,-0.314206192529062
193,-0.5970252925010364,-0.30507337789458605
194,-0.49425202584895706,-0.2785998791112359
195,-0.9657966484772014,-0.2818703183502502
196,-0.9906628431378504,-0.2677790528947154
197,-0.8199045425832944,-0.18746992143902788
198,-0.6108154793195099,-0.2282884049861449
199,-0.3859638865054938,-0.2353882716579766
200,-0.1167626423753645,-0.16684450325062322
201,-0.42321903481710427,-0.18239857557258704
202,-0.83834763257861,-0.2503023171932824
203,-0.6298805899554756,-0.2137360297828011
204,-0.5583928577996304,-0.23970660611938982
205,-0.9078292843400853,-0.2658031361938395
206,-0.9078292843400853,-0.2635097838658093
207,-0.9078292843400853,-0.3085249836067083
208,-0.9078292843400853,-0.3362171992674728
209,-0.8502859408628648,-0.2523032200713104
210,-0.6311282659081544,-0.33310961716703236
211,-0.29463137359222075,-0.2794670590813977
212,-0.2643043476750872,-0.34376806793639736
213,-0.3818353919995221,-0.2938579776857506
214,-0.9925787140878471,-0.22728787918948232
215,-0.8516768939376378,-0.26570924339706103
216,-0.35556624861672154,-0.2575589593769884
217,-0.19912703645607918,-0.19697843911865787
218,-0.6881135793652928,-0.26156726536115243
219,-0.6127181160946881,-0.2782363211588052
220,-0.5005080172157881,-0.24586245349011168
221,-0.40786813291552576,-0.20694582987788798
222,-0.3020105450958204,-0.3957684940729618
223,-0.03332944504955404,-0.40935287149245825
224,-0.18315470361732575,-0.31393991474796684
225,-0.9830208025486671,-0.3427822783505678
226,-0.6289493500729924,-0.28148358714321564
227,-0.8577302610781281,-0.39587592478615996
228,-0.8577302610781281,-0.37471102088503827
229,-0.8737407676457555,-0.3404861920910637
230,-0.936321136974649,-0.36979251044305667
231,-0.6443779752316667,-0.3583466899803359
232,-0.2902078620345094,-0.2787589828517628
233,-0.20620069320700823,-0.28845016451207056
234,-0.4864861191146779,-0.2766713470910033
235,-0.41715216385645704,-0.2849219992880613
236,-0.9153214317884256,-0.4487644425665697
237,-0.9153214317884256,-0.4696823314592289
238,-0.7002673565474526,-0.4632196026245755
239,-0.21492936869677276,-0.4748052375864204
240,-0.5439113063039237,-0.47769118414362527
241,-0.5439113063039237,-0.48480026990461983
242,-0.994136300239692,-0.5152524879431947
243,-0.994136300239692,-0.49245205115873586
244,-0.994136300239692,-0.5171151405983557
245,-0.994136300239692,-0.5529281171740188
246,-0.994136300239692,-0.585536231087639
247,-0.6045943266501397,-0.5744208937544293
248,-0.37233125427405095,-0.5632537955616715
249,-0.6114285286842165,-0.46873924446953663
250,-0.4560962155939331,-0.49266122004711327
251,-0.7131271245680665,-0.530931529651502
252,-0.5033595957981323,-0.5402992566049818
253,-0.22118722688918124,-0.4542685396271403
254,-0.5149043861119529,-0.4931180022136932
255,-0.49132594556603004,-0.5167804600330383
256,-0.19261635310264708,-0.4638277910200867
257,-0.3279049579250401,-0.488329277967315
258,-0.40517641950627825,-0.22861414838715677
259,-0.5337181018036682,-0.2307180326636259
260,-0.15865007725325647,-0.19515973271748382
261,-0.3745587409036192,-0.1849053149444713
262,-0.611132265825163,-0.20463559594951294
263,-0.6352014531891255,-0.27469773755505955
264,-0.6352014531891255,-0.28860873776288154
265,-0.6352014531891255,-0.3023126960155227
266,-0.6352014531891255,-0.3200136332135954
267,-0.6352014531891255,-0.3274306798674029
268,-0.9563858054336274,-0.33580487636336526
269,-0.5753031688924785,-0.3223301387235502
270,-0.5386704270932142,-0.3287970859294485
271,-0.5386704270932142,-0.33835035267672486
272,-0.823626370967323,-0.3347533203423757
273,-0.823626370967323,-0.2810367448385993
274,-0.823626370967323,-0.2633059587205494
275,-0.823626370967323,-0.3118816119451859
276,-0.823626370967323,-0.29078288529938207
277,-0.7880602515815549,-0.23166818125412744
278,-0.4099286906741673,-0.29203267104078184
279,0.21497717052146872,-0.1147341558159646
280,-0.20908282334499023,-0.22081996429871217
281,-0.3629522339786984,-0.23039114135565786
282,0.027444828212361636,-0.17754665734747385
283,-0.649788562965422,-0.2476268380079041
284,-0.649788562965422,-0.17220988352344413
285,-0.649788562965422,-0.02598742187677589
286,-0.649788562965422,0.07936364937545796
287,-0.5981401827344754,-0.0012223694975096494
