,LEGATRUU/NKY inst_corr,LEGATRUU/NKY hist_corr
171,-0.25973745725537006,-0.10014377464747785
172,0.07877877928914195,-0.08025389785859
173,-0.25066584552253496,-0.09015283355668778
174,-0.32895284491415955,-0.10270139175710383
175,0.011772892637813847,-0.1361633406528989
176,-0.19987076171260804,-0.12199595596851895
177,-0.6746474945153718,-0.1279151496993428
178,-0.8809256489937307,-0.1457851504904548
179,-0.5006203378251336,-0.1471155111615912
180,-0.5974413567396955,-0.22056898982732398
181,-0.5400815109572895,-0.2148473167892821
182,0.2568938117226256,-0.14703824213137875
183,-0.23284244546552124,-0.20571843406774762
184,-0.9057503385753233,-0.21301628208723772
185,0.02319374427845047,-0.2934979103452976
186,0.3131910598233829,-0.2413623816194257
187,0.25099991799247207,-0.17884642036092369
188,-0.043066857531954106,-0.21184180834847538
189,-0.23546301640304607,-0.17639004034110653
190,-0.20674585097068113,-0.1439934232381992
191,-0.26743462372227816,-0.28399086475717683
192,0.31714491919315846,-0.28103242522246386
193,0.15786570022513322,-0.07215836305091641
194,-0.2529224775392902,-0.20434846614495517
195,-0.8624594860460496,-0.17612179681574433
196,-0.35989376823661867,-0.19633642128706824
197,0.17642222706689953,-0.18123660615504825
198,-0.2892618225720132,-0.18327596977057536
199,-0.3678135092138185,-0.13275532553212288
200,-0.1406902063464677,-0.12538718987682784
201,-0.035661822516816426,-0.1129713771735856
202,-0.6725928066938106,0.03354553308229471
203,-0.743697698114499,-0.08305270890726507
204,-0.6899090363607225,-0.13354569418069856
205,-0.21600555563544246,-0.12280085455482048
206,-0.19492826173016817,-0.11267597512795165
207,-0.5175478535890328,-0.11724475404486093
208,-0.3709913423924118,-0.13974190075553247
209,-0.1013766229313231,-0.16698090931859388
210,-0.4628087973837583,-0.15021307951022206
211,-0.8537181274951522,-0.14884225593698347
212,-0.26666925058308255,-0.18497676364136428
213,0.14383605210355033,-0.15409037132372042
214,0.22708903983041243,-0.15343528874846524
215,0.11211156184550108,-0.20341772388489274
216,-0.10420887246356017,-0.03598520241983825
217,-0.03387180331750243,-0.02881704064917638
218,0.14399863955125144,-0.05282551633122993
219,0.12853751785349393,-0.05965550695720516
220,-0.16865906571157926,-0.04718206810944457
221,-0.6021887397533903,-0.07740713624999514
222,-0.7766687461687267,-0.06406296757907495
223,-0.47777273395329,-0.08820739924657732
224,0.062225790550920375,-0.07975127161257783
225,0.40435035479101117,0.13436972282997994
226,0.4954655049629708,0.34083590943143643
227,0.44148411844989854,0.3262346215194435
228,0.2880881013904132,0.3598208221817916
229,-0.024567647633909877,0.5043995857650301
230,-0.4391792673454579,0.482607368371987
231,-0.665509966158623,0.47728528350563876
232,-0.665509966158623,0.48872533969754817
233,-0.665509966158623,0.4490558016017861
234,-0.713429847740932,0.2532314454535893
235,-0.6133453876893394,0.04326530047244202
236,-0.8685330183130686,0.021864658996242257
237,-0.9201912742422435,-0.022434279689735236
238,-0.31588086552549177,-0.03882042995923607
239,0.22895343186751818,-0.05277511974206244
240,0.27855617163742963,0.02443587696262245
241,0.14639673397583894,-0.002500997518373723
242,0.10362337352632611,0.047628152942043894
243,-0.3603921450344872,0.03756660839925291
244,-0.37447336941225134,0.03572886027567081
245,0.21461260647559677,0.07920147253894284
246,0.15244570393436455,0.07383252424299949
