,FNERTR/FTMIGMI inst_corr,FNERTR/FTMIGMI hist_corr,JPEIGLBL/LGER inst_corr,JPEIGLBL/LGER hist_corr
141,0.3404797295005388,0.1530449125882968,0.7264354803935666,0.35301997472667224
142,0.2290852836150682,0.15728416526743966,0.7264354803935666,0.3650499610935562
143,-0.1973031010656904,0.16380030314676633,0.7264354803935666,0.35334562994581215
144,0.04233032194316435,0.21459881316804902,0.7110582564895259,0.4654170766247164
145,0.2917787632600729,0.19905540781087777,0.6453054495849652,0.4284635753164686
146,0.46094974361909513,0.18805272167855197,0.9922524031548852,0.42239045600738007
147,0.22926774334595998,0.12679798198605902,0.5921918753932466,0.44334841180366114
148,-0.16651956055564615,0.1419188036443177,-0.19904955475207559,0.401849895534922
149,0.010972601706976297,0.12710009929086236,-0.32294034538851935,0.2412215133234752
150,-0.19828157125270773,0.26241154723960597,-0.0008429190206503843,0.23705620475207265
151,-0.3419747795500946,0.16767482398556774,-0.0008429190206503843,0.23897539635549683
152,-0.12139941186714197,0.18033937485913368,0.7423138441145863,0.23854719603251828
153,0.35926315028932876,0.3558866407844962,0.143428505683371,0.06847339525984443
154,0.19874618562191343,0.462890014992152,0.7708371681975753,0.07242675139717832
155,-0.2802816935058293,0.32108555489027896,0.7656268057170024,0.08947321811386236
156,-0.5212391568186293,-0.02580120114168679,0.44098948390226406,0.12215649906021363
157,-0.4183787206844502,-0.05133846797992937,0.982665263531387,0.10853313855469467
158,0.21921287567647754,-0.0063940569704677794,0.6658243914656181,0.1588527973750404
159,0.29470318700085124,-0.030544507275609315,0.5111721132132329,0.3425702694353525
160,0.17215336776666584,-0.008241734875564836,0.3806747672094437,0.37654328476489185
161,-0.08377462520971533,-0.10052186270927002,0.39925853040424136,0.3309323290321184
162,-0.09355733383445977,-0.09285506880938532,0.653646009950941,0.3210633067690013
163,-0.3565909077704394,-0.14418489809996635,0.5707545740182645,0.4711603970587009
164,-0.3339479959827924,-0.1465697427878427,0.6752710773912897,0.4703573566463674
165,-0.17779137213353335,-0.14452644380504454,0.962220621847988,0.49011374578190864
166,0.09079634395602011,-0.16454424832114917,0.48494551009580644,0.4827616474674131
167,0.19863365340633427,-0.1534475669194887,0.12666077379396626,0.432789952627005
168,0.3167237418188384,-0.19861228627640515,0.3230807508099387,0.4197073791873072
169,0.474222374130478,-0.07121518025930734,0.7104535394054294,0.46430055649766183
170,0.5240343442781538,-0.03824914306067945,0.6459683237367773,0.464991509910723
171,-0.03623754694461661,-0.01362138880939789,0.6459683237367773,0.5218963163904851
172,-0.3708899943393526,-0.0658471661180556,0.6459683237367773,0.5215255248023151
173,-0.1988685973469628,-0.05374803746521257,0.6459683237367773,0.5145451696872189
174,0.025822345439807545,-0.055905942270752976,0.9096808599199716,0.5296758299930786
175,-0.356179354930892,-0.05367594855038289,0.9096808599199716,0.5626058187397528
176,-0.5560794073766256,-0.23589942466345187,0.8533283376252463,0.5569231839772374
177,-0.30882508635808115,-0.23834484316783572,0.6050867013867466,0.5418530419589148
178,-0.005237612750739592,-0.006609774752372146,0.6050867013867466,0.515758635591454
179,-0.13231499282471051,-0.0610052112627425,0.6050867013867466,0.5126784994560112
180,0.13301135564728028,-0.11517647041204629,0.28197208492067044,0.5340739529620706
181,0.13389156945312108,-0.15056078858456018,0.049997336432599015,0.471711190049702
182,-0.3242290190900152,-0.1611867092504404,0.6114554927449113,0.4757425113958016
183,-0.1332009203656371,-0.11890071877077471,0.6114554927449113,0.4949774345106481
184,-0.15143535691711044,-0.0748076087586244,0.6114554927449113,0.49195235066520826
185,-0.1079711772299288,-0.02146100111903908,0.6114554927449113,0.3124362720387109
186,-0.0007376406863644081,0.0047286164304690135,0.8563836264654517,0.2030940708416418
187,-0.6158561267618042,0.019224970345379417,0.8563836264654517,0.20186794905958982
188,-0.28441359780203795,-0.16578451248302917,0.8563836264654517,0.17290040663669307
189,-0.05926339792864711,-0.07472826947590949,0.7024187434318298,0.37202374254661624
190,-0.08411489068507752,-0.11984908285833533,0.20627223125944774,0.3386495642325035
191,0.10793254714765742,-0.21031449730435606,-0.30389662264242895,0.2763899924115055
192,0.050182391452911826,-0.19540487163916892,0.051532340954587905,0.21173006567643732
193,0.0163056499161768,-0.1987126169472618,0.6863503998982915,0.31528448546151944
194,0.1306877194459828,-0.17910047992522682,0.6863503998982915,0.29511836996795904
195,-0.09463989826606391,-0.17527966801750824,0.9319402560844565,0.39624741933058427
196,-0.4231920344358365,-0.20822686335931348,0.6631526344047135,0.38391840519611026
197,-0.6934713635928215,-0.2476648065694657,0.831791683335434,0.4479215417064824
198,-0.7128816698672927,-0.22466581629925883,0.7984960706778896,0.44082655574543816
199,-0.6384166236919518,-0.2206030149198628,0.6719819887554644,0.4136754193420871
200,-0.6658675600530835,-0.28484436565179344,0.5276529009499121,0.38787906929727983
201,-0.47823735378184173,-0.2807748693686041,0.714651315219861,0.4442082266858524
202,-0.22975021394771816,-0.3507549257476338,0.43478786718237966,0.41153942095752544
203,-0.07881682676666144,-0.36159965063083993,-0.00916746910187834,0.4653856383977723
204,-0.21454987458066582,-0.3600619213131596,0.08559132681056297,0.3951300639664354
205,0.07048594018379091,-0.34277125166605826,0.3660921708059339,0.3855471398111158
206,-0.16525727109183652,-0.31981941467666064,0.8981173460419913,0.39200990639043043
