,JPEIGLBL/LF94TRUU inst_corr,JPEIGLBL/LF94TRUU hist_corr
172,0.9954291225170299,0.39788872683113946
173,0.6025133687639397,0.41245278763366555
174,0.5656397290121831,0.4285169962275199
175,0.5711796435053947,0.40629612740984405
176,0.6205321198677212,0.39233157417018066
177,0.492515742468983,0.3889915644819932
178,0.21229248982148033,0.3741452928455241
179,0.4732667900775188,0.39975056380426727
180,0.5346706904722626,0.4167431347464732
181,0.07972115847119828,0.34990134711407095
182,0.03511834966330013,0.2840458692764388
183,0.4837295143415856,0.2987917745389751
184,0.4837295143415856,0.3038687345133171
185,0.4837295143415856,0.01152120976524758
186,0.6027712911922248,0.12523546304214764
187,0.8710321942034797,0.1230030531881543
188,0.908931565583762,0.11987122276538735
189,0.6952523230685896,0.3679840282474841
190,0.4673486628181868,0.31121150482977783
191,-0.23371349341322295,0.33869270884567937
192,-0.05334066287405593,0.12251266912049069
193,0.6399259701113016,0.27732698447375775
194,0.30844505516990406,0.30473679361028877
195,-0.3598778702926036,0.06357248928956925
196,-0.011835839251462402,0.012956293168235959
197,0.5768276279958129,0.08900769470546706
198,0.49085762721556714,0.08395261214375764
199,0.48293546912548213,0.09473174157994779
200,0.4291982727894275,0.14076669731745817
201,0.4393016891148208,0.16212793623484284
202,-0.22366429520251802,0.08423175367206932
203,-0.4695840806073559,0.1167854920514241
204,-0.14680438472047017,0.05496713601641459
205,0.314211138716267,0.05507615623037663
206,0.314211138716267,0.06170431533696937
207,0.037664687200099564,0.05505404095926175
208,-0.244968885551683,0.011351198840385221
209,0.33628699299029197,0.003302906625265609
210,0.33628699299029197,0.009751899501460114
211,0.9950091943941691,0.003215801938453587
212,0.6044087193508394,0.03240416702471767
213,0.45604501531130354,0.03515375554254147
214,0.3331041675547487,0.10495375241837349
215,0.5438901356198681,0.020071127343406304
216,0.9474682536622457,-0.020690020807526514
217,0.8935792665432128,0.17732322574112255
218,0.0842249274065219,0.19277561370919924
219,-0.20250112904418616,0.0788776270430144
220,0.05806474456205851,0.08557214672631547
221,0.5642966414482397,0.06799783798516595
222,0.6865187816743196,0.04897449630129813
223,0.04527624997334428,0.0006222277379458555
224,-0.1084063827248053,0.15592833360916417
225,0.013610356993016727,0.14902863502582459
226,0.3491078754043173,0.1715839249539405
227,0.6723497299564108,0.16634544451417443
228,0.5075883388500604,0.13751446540349738
229,0.33398368559646563,0.17441494158888882
230,0.4047169780452765,0.23700288149190785
